cohort,group,group_value,horizon,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
approved_pure,all,all,1,797,792,5,50,5,0.0004915627060500641,0.0017986944848653597,-0.023516325319748864,0.02394755672952526,426,364,0.5378787878787878,0.0005957634249210658,0.015351614108355371,0.011212810526258221,-0.01341568876289496,-0.009761253288723126,0.00024236548200365251,0.0006358559078459354,0.00024919722404641157,-2.473752835581108e-05,0.0008757043265785336,0.0005163002344058752,-0.00022928462691712749,0.0010787319443155232,0.0007208473329671915,768,353,410,5,18,11,0.4596354166666667,781,318,422,41,3,13,0.40717029449423814
approved_pure,all,all,3,797,787,10,50,5,0.0027678637122094734,0.0020756519846010235,-0.04159017882410456,0.045478656956431565,419,368,0.5324015247776366,0.002207569263506317,0.029620438860333,0.01995510408822554,-0.02552608636532565,-0.018587688297680094,0.0024238361649222984,0.0030456878195019607,0.000344027547287175,0.0018739573338966981,0.0034539684837964577,0.0008939063783127753,0.0014209521054769378,0.00384388417792741,0.0013469116067325356,768,353,410,5,18,11,0.4596354166666667,781,318,422,41,3,13,0.40717029449423814
approved_pure,all,all,5,797,787,10,50,5,0.0039660712373217385,0.002829064240385426,-0.05255271417017819,0.06246183183067176,420,367,0.5336721728081322,0.003403032939049235,0.039857683690405335,0.027240893242112874,-0.03326096654006544,-0.023332666962516457,0.0036211886181136375,0.004375371243099715,0.00034488261920810094,0.0029586362993287534,0.004974153137378508,0.0010074349379929851,0.0024129145024498738,0.005481808964490846,0.0015531567348718647,768,353,410,5,18,11,0.4596354166666667,781,318,422,41,3,13,0.40717029449423814
approved_pure,all,all,10,797,780,17,50,5,0.01003170467037827,0.007929047735946604,-0.07357158496175933,0.08378106362285871,447,333,0.573076923076923,0.007812175536514078,0.058853989405082095,0.039463227416669744,-0.046079684451275846,-0.031614682933610416,0.009357050870797004,0.010497008360394341,0.0006746537995812648,0.008190429264475255,0.011232050129400623,0.0018412754059030142,0.007286930369309474,0.01186060906036595,0.002744774301068795,768,353,410,5,18,11,0.4596354166666667,781,318,422,41,3,13,0.40717029449423814
approved_pure,all,all,20,797,773,24,49,5,0.020033626751504642,0.018039615449802815,-0.09879159875238146,0.1415768243134026,447,326,0.5782664941785253,0.01464414338461434,0.08776608238451256,0.060987302883824146,-0.0647831770784946,-0.04560879109500193,0.018598299120265338,0.020558220755578165,0.001435327631239304,0.016454805218206258,0.021567485087080004,0.003578821533298384,0.015175811346050514,0.022539309446350478,0.004857815405454128,768,353,410,5,18,11,0.4596354166666667,781,318,422,41,3,13,0.40717029449423814
approved_pure,year,2021,1,42,42,0,19,1,-0.0042035907418909516,-0.003043329439041287,-0.02360960583508972,0.022284991968127513,19,23,0.4523809523809524,-0.004111654513302826,0.014048120334801914,0.0111065272505112,-0.01708307537418957,-0.01502124745107708,-0.00560850017966619,-0.002657880655135993,0.0014049094377752381,-0.007549829994991615,-0.0007141368815933943,0.0033462392531006637,-0.009256077058464762,0.0007311540946857724,0.005052486316573811,40,18,22,0,2,0,0.45,41,13,27,1,1,0,0.3170731707317073
approved_pure,year,2021,3,42,42,0,19,1,0.0012659449526046358,-0.003077267248529303,-0.03893399224224176,0.04318594036736782,19,23,0.4523809523809524,-0.002019461395716561,0.029887392075329616,0.025979986890155793,-0.030922211563411444,-0.029054659843748498,-0.002371152074287007,0.0033401458565248407,0.003637097026891643,-0.006415139419843652,0.006082624785987952,0.007681084372448288,-0.009240314831004416,0.00871827333193455,0.010506259783609051,40,18,22,0,2,0,0.45,41,13,27,1,1,0,0.3170731707317073
approved_pure,year,2021,5,42,42,0,19,1,-0.004913755270779781,-0.005311181923945807,-0.0505826975445474,0.04144333648427987,17,25,0.40476190476190477,-0.0042881429299961565,0.034289489189394964,0.028605730185009226,-0.036212019144599095,-0.03110403243416804,-0.006778832339453314,-0.0024907599433151113,0.0018650770686735327,-0.010265783040155855,0.0009537104705485027,0.005352027769376074,-0.013124122115692471,0.003863820373783183,0.00821036684491269,40,18,22,0,2,0,0.45,41,13,27,1,1,0,0.3170731707317073
approved_pure,year,2021,10,42,42,0,19,1,-0.004697286463519158,-0.0019408274968866768,-0.08017447800675365,0.06659771273980451,19,23,0.4523809523809524,-0.006137260216665944,0.04638763338309645,0.038622798813192416,-0.05431215665830469,-0.04821049886575968,-0.008700316241794567,-2.9030687746444157e-06,0.0040030297782754085,-0.015293328804878489,0.005073514038669753,0.01059604234135933,-0.020498892049917453,0.009941180381749497,0.015801605586398294,40,18,22,0,2,0,0.45,41,13,27,1,1,0,0.3170731707317073
approved_pure,year,2021,20,42,42,0,19,1,-0.05306405909890781,-0.052248802791901694,-0.15198097700695917,0.0459046727948329,12,30,0.2857142857142857,-0.05229784279961691,0.05616117517600535,0.040208237524971824,-0.09675342993824416,-0.07292102944956569,-0.05812344096591259,-0.046122344881083924,0.005059381867004782,-0.06641838177006394,-0.0389447587756305,0.013354322671156132,-0.07283690011881264,-0.032614760234084474,0.019772841019904827,40,18,22,0,2,0,0.45,41,13,27,1,1,0,0.3170731707317073
