blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
bo_long_fail_price,rsi,1,2480,2436,1394,0.5722495894909688,49.09335100809097,0.018848965106634086
bo_long_fail_price,rsi,2,198,194,93,0.4793814432989691,66.99259839099265,-0.0035640947261873003
bo_long_fail_price,rsi,3,159,158,92,0.5822784810126582,69.87920921205318,0.013762661907871215
bo_long_fail_price,rsi,4,116,113,72,0.6371681415929203,73.4170760144427,0.027552263354997084
bo_long_fail_price,rsi,5,91,91,54,0.5934065934065934,79.2931622737305,0.023635717123824614
bo_long_fail_price,rsi_distance_from_avg,1,2242,2210,1251,0.5660633484162896,-2.540421034595205,0.017601788111295535
bo_long_fail_price,rsi_distance_from_avg,2,320,316,182,0.5759493670886076,4.568331722246835,0.013902641080817148
bo_long_fail_price,rsi_distance_from_avg,3,198,195,100,0.5128205128205128,6.500873632864096,0.006845843916976782
bo_long_fail_price,rsi_distance_from_avg,4,161,152,97,0.6381578947368421,9.307133898697927,0.025919357426413107
bo_long_fail_price,rsi_distance_from_avg,5,123,119,75,0.6302521008403361,13.561595550878181,0.03441624387882391
bo_long_fail_price,htf_adx,1,710,689,405,0.5878084179970973,19.824456824908346,0.016705442726376685
bo_long_fail_price,htf_adx,2,708,694,392,0.5648414985590778,23.829760964529775,0.02108637532422913
bo_long_fail_price,htf_adx,3,773,759,442,0.5823451910408433,28.89598609254438,0.019757006823038718
bo_long_fail_price,htf_adx,4,535,532,299,0.5620300751879699,36.121268043398274,0.01801652736674446
bo_long_fail_price,htf_adx,5,318,318,167,0.5251572327044025,46.5447299540494,0.006097628837810287
bo_long_fail_price,adx_margin,1,710,689,405,0.5878084179970973,1.8244568249083475,0.016705442726376685
bo_long_fail_price,adx_margin,2,708,694,392,0.5648414985590778,5.829760964529777,0.02108637532422913
bo_long_fail_price,adx_margin,3,773,759,442,0.5823451910408433,10.89598609254438,0.019757006823038718
bo_long_fail_price,adx_margin,4,535,532,299,0.5620300751879699,18.121268043398274,0.01801652736674446
bo_long_fail_price,adx_margin,5,318,318,167,0.5251572327044025,28.544729954049405,0.006097628837810287
bo_long_fail_price,ema_spread_pct,1,769,740,436,0.5891891891891892,2.3119581668445974,0.022242254417968763
bo_long_fail_price,ema_spread_pct,2,662,656,371,0.5655487804878049,5.770661780658631,0.01595776924896843
bo_long_fail_price,ema_spread_pct,3,645,643,366,0.5692068429237948,9.645412568015836,0.01228618641441839
bo_long_fail_price,ema_spread_pct,4,498,494,278,0.562753036437247,14.165842296276864,0.016905282014332574
bo_long_fail_price,ema_spread_pct,5,470,459,254,0.5533769063180828,22.08443207014124,0.02066363648264744
bo_long_fail_price,atr_pct,1,428,413,238,0.576271186440678,1.5339222366764975,0.009149906237794788
bo_long_fail_price,atr_pct,2,453,447,237,0.5302013422818792,1.9735244026114664,0.009153462890819551
bo_long_fail_price,atr_pct,3,539,530,294,0.5547169811320755,2.3869302858491066,0.009427776175990344
bo_long_fail_price,atr_pct,4,725,714,414,0.5798319327731093,2.99119692957806,0.018229585056303885
bo_long_fail_price,atr_pct,5,899,888,522,0.5878378378378378,4.721926443726166,0.03015793573178516
bo_long_fail_price,candle_range_atr,1,907,891,518,0.5813692480359147,0.7291921734108253,0.01848791022670604
bo_long_fail_price,candle_range_atr,2,631,621,380,0.6119162640901772,0.9433979912207718,0.02264611623170385
bo_long_fail_price,candle_range_atr,3,544,530,280,0.5283018867924528,1.117816684070914,0.013286550623337013
bo_long_fail_price,candle_range_atr,4,545,535,305,0.5700934579439252,1.334974274290424,0.015199912672960949
bo_long_fail_price,candle_range_atr,5,417,415,222,0.5349397590361445,1.65121187634004,0.01675568655282113
bo_long_fail_price,volume_ratio,1,834,828,462,0.5579710144927537,1.0432785692751811,0.014170226133179791
