feature,count,missing,mean,median,q20,q80
rsi,797,0,70.40849861452344,69.98856736569064,65.46294776777997,76.24390148441897
rsi_distance_from_avg,797,0,7.478615582062682,6.6848240653831255,3.563918585871207,11.034945831805945
htf_adx,797,0,31.524838417599252,29.247597499011388,21.818526889247515,41.4844709086336
adx_margin,797,0,13.52483841759925,11.247597499011388,3.8185268892475137,23.484470908633597
ema_spread_pct,797,0,11.68261575461301,9.669035610216786,4.300724572125946,17.103793296920383
atr_pct,797,0,2.6633492852381626,2.3606697746896255,1.7726856594446596,3.4902152874123566
candle_range_atr,797,0,1.1654064199470227,1.1372021617952057,0.8640362228364592,1.469219948385861
volume_ratio,797,0,1.4497862415015557,1.2524084317249995,1.0886781547946331,1.6486034949961461
distance_to_breakout_atr,797,0,-0.55684372724278,-0.41571308871820456,-0.8482989934281018,-0.15951105545383396
bb_width,797,0,0.1555141089175965,0.12392286987684074,0.07744505598420612,0.21556002658793882
distance_to_squeeze_pct,765,32,43.665591240920264,34.49438381074985,-15.39539199183981,97.37882016273419
distance_to_upper_band_atr,797,0,0.01811217248496489,-0.04487448801910131,-0.5084567571232909,0.5420930927585984
bars_since_rsi_up,797,0,1.9573400250941029,2.0,0.0,4.0
bars_since_oversold,737,60,177.6078697421981,122.0,58.0,301.0
bars_since_squeeze,752,45,16.486702127659573,11.0,0.0,29.800000000000068
