hypothesis_id,group,group_value,a_n,b_n,a_mean,b_mean,delta,expected_direction
breakout:filter:bo_long_fail_trend,year,2021,42,19,-0.004697286463519158,0.05479068284607411,0.05948796930959326,1
breakout:filter:bo_long_fail_trend,year,2022,53,285,-0.008621527636765403,-0.014180513042680684,-0.005558985405915281,1
breakout:filter:bo_long_fail_trend,year,2023,224,345,0.011497848713654129,0.025869894601315283,0.014372045887661155,1
breakout:filter:bo_long_fail_trend,year,2024,311,193,0.01888031397803563,0.01824216365864033,-0.0006381503193953024,1
breakout:filter:bo_long_fail_trend,year,2025,150,165,0.00021107253389210712,0.02626852842893855,0.026057455895046443,1
breakout:filter:bo_long_fail_trend,symbol,AAPL,25,14,0.005196059465230523,0.0222137234987194,0.017017664033488877,1
breakout:filter:bo_long_fail_trend,symbol,ABNB,4,27,0.02460656219723026,-0.006433805813200937,-0.031040368010431196,1
breakout:filter:bo_long_fail_trend,symbol,AMD,15,27,0.036763612681743954,0.016029124882849573,-0.02073448779889438,1
breakout:filter:bo_long_fail_trend,symbol,AMZN,17,30,-0.01745228337349917,0.0031098225869314543,0.020562105960430625,1
breakout:filter:bo_long_fail_trend,symbol,ARM,6,14,-0.0589758953657365,0.06440846894171952,0.12338436430745602,1
breakout:filter:bo_long_fail_trend,symbol,ASML,16,30,0.04518263043384202,0.018441976615903945,-0.026740653817938075,1
breakout:filter:bo_long_fail_trend,symbol,AVGO,30,13,0.026478422750125408,0.03871642681516823,0.012238004065042822,1
breakout:filter:bo_long_fail_trend,symbol,BAC,10,26,-0.0036864802139834453,-0.003400914838835051,0.00028556537514839433,1
breakout:filter:bo_long_fail_trend,symbol,CAT,24,14,0.013123210854599951,0.0779962358965239,0.06487302504192394,1
breakout:filter:bo_long_fail_trend,symbol,COIN,12,30,-0.006623572947853752,-0.057742704763893954,-0.0511191318160402,1
breakout:filter:bo_long_fail_trend,symbol,COP,10,16,-0.009149425795658195,0.01783410260886708,0.026983528404525274,1
breakout:filter:bo_long_fail_trend,symbol,COST,30,17,0.0027358122387317867,0.030553059565646277,0.027817247326914492,1
breakout:filter:bo_long_fail_trend,symbol,CRM,11,16,0.010050994693053917,0.0012825875157793237,-0.008768407177274593,1
breakout:filter:bo_long_fail_trend,symbol,CRWD,12,26,0.023612080038382676,0.00564877686744565,-0.017963303170937025,1
breakout:filter:bo_long_fail_trend,symbol,CVX,14,29,0.012694677648036294,-0.007290759465778783,-0.019985437113815077,1
breakout:filter:bo_long_fail_trend,symbol,DDOG,9,25,-0.007492933329502639,0.00799569302094247,0.015488626350445109,1
breakout:filter:bo_long_fail_trend,symbol,DE,12,13,-0.015428882331818336,-0.009350317582688169,0.0060785647491301675,1
breakout:filter:bo_long_fail_trend,symbol,ETN,25,20,0.016536377455338095,0.014377736658447483,-0.0021586407968906124,1
breakout:filter:bo_long_fail_trend,symbol,GE,26,9,0.021792521129542948,0.02510893313538756,0.0033164120058446107,1
breakout:filter:bo_long_fail_trend,symbol,GOOGL,9,20,0.03088918301614248,-0.0037093340778619867,-0.034598517094004466,1
breakout:filter:bo_long_fail_trend,symbol,GS,15,18,0.033275388212796,0.015173831676459656,-0.01810155653633634,1
breakout:filter:bo_long_fail_trend,symbol,HD,12,21,0.0032181614144089765,0.013674749006993255,0.010456587592584278,1
breakout:filter:bo_long_fail_trend,symbol,HON,9,22,-0.006438363116159529,-0.0013811432870297978,0.005057219829129731,1
breakout:filter:bo_long_fail_trend,symbol,HOOD,21,23,0.00625559860111962,0.04683125772248224,0.04057565912136262,1
breakout:filter:bo_long_fail_trend,symbol,JPM,23,12,0.014429290762868334,0.014451616461737047,2.2325698868713023e-05,1
breakout:filter:bo_long_fail_trend,symbol,LLY,29,9,-0.01470109366915228,0.004390061745791189,0.01909115541494347,1
breakout:filter:bo_long_fail_trend,symbol,MA,11,19,0.00014813790857020665,-0.019580632248330832,-0.01972877015690104,1
breakout:filter:bo_long_fail_trend,symbol,META,22,17,0.02779355547280695,0.05497162021208457,0.02717806473927762,1
breakout:filter:bo_long_fail_trend,symbol,MRVL,17,26,-0.012202691743580078,0.00879038126961507,0.020993073013195147,1
