observation_id,symbol,timestamp,direction,sole_blocker
NVDA|2021-10-29T00:00:00|Long,NVDA,2021-10-29,Long,bo_long_fail_rsi
NVDA|2021-11-01T00:00:00|Long,NVDA,2021-11-01,Long,bo_long_fail_rsi
NVDA|2021-11-02T00:00:00|Long,NVDA,2021-11-02,Long,bo_long_fail_rsi
NVDA|2021-11-22T00:00:00|Long,NVDA,2021-11-22,Long,bo_long_fail_price
NVDA|2021-11-23T00:00:00|Long,NVDA,2021-11-23,Long,bo_long_fail_price
NVDA|2021-12-15T00:00:00|Long,NVDA,2021-12-15,Long,bo_long_fail_price
NVDA|2021-12-16T00:00:00|Long,NVDA,2021-12-16,Long,bo_long_fail_price
NVDA|2021-12-17T00:00:00|Long,NVDA,2021-12-17,Long,bo_long_fail_price
NVDA|2022-01-28T00:00:00|Long,NVDA,2022-01-28,Long,bo_long_fail_price
NVDA|2022-01-31T00:00:00|Long,NVDA,2022-01-31,Long,bo_long_fail_price
NVDA|2022-02-02T00:00:00|Long,NVDA,2022-02-02,Long,bo_long_fail_price
NVDA|2022-03-08T00:00:00|Long,NVDA,2022-03-08,Long,bo_long_fail_price
NVDA|2022-03-16T00:00:00|Long,NVDA,2022-03-16,Long,bo_long_fail_trend
NVDA|2022-03-18T00:00:00|Long,NVDA,2022-03-18,Long,bo_long_fail_trend
NVDA|2022-03-21T00:00:00|Long,NVDA,2022-03-21,Long,bo_long_fail_trend
NVDA|2022-03-24T00:00:00|Long,NVDA,2022-03-24,Long,bo_long_fail_rsi
NVDA|2022-05-27T00:00:00|Long,NVDA,2022-05-27,Long,bo_long_fail_trend
NVDA|2022-11-08T00:00:00|Long,NVDA,2022-11-08,Long,bo_long_fail_trend
NVDA|2022-11-10T00:00:00|Long,NVDA,2022-11-10,Long,bo_long_fail_trend
NVDA|2022-11-11T00:00:00|Long,NVDA,2022-11-11,Long,bo_long_fail_trend
NVDA|2022-12-13T00:00:00|Long,NVDA,2022-12-13,Long,bo_long_fail_trend
NVDA|2023-01-12T00:00:00|Long,NVDA,2023-01-12,Long,bo_long_fail_trend
NVDA|2023-01-13T00:00:00|Long,NVDA,2023-01-13,Long,bo_long_fail_trend
NVDA|2023-01-23T00:00:00|Long,NVDA,2023-01-23,Long,bo_long_fail_trend
NVDA|2023-01-24T00:00:00|Long,NVDA,2023-01-24,Long,bo_long_fail_trend
NVDA|2023-01-26T00:00:00|Long,NVDA,2023-01-26,Long,bo_long_fail_trend
NVDA|2023-01-27T00:00:00|Long,NVDA,2023-01-27,Long,bo_long_fail_trend
NVDA|2023-02-01T00:00:00|Long,NVDA,2023-02-01,Long,bo_long_fail_trend
NVDA|2023-02-02T00:00:00|Long,NVDA,2023-02-02,Long,bo_long_fail_trend
NVDA|2023-02-08T00:00:00|Long,NVDA,2023-02-08,Long,bo_long_fail_price
NVDA|2023-02-09T00:00:00|Long,NVDA,2023-02-09,Long,bo_long_fail_price
NVDA|2023-02-10T00:00:00|Long,NVDA,2023-02-10,Long,bo_long_fail_price
NVDA|2023-02-14T00:00:00|Long,NVDA,2023-02-14,Long,bo_long_fail_price
NVDA|2023-02-22T00:00:00|Long,NVDA,2023-02-22,Long,bo_long_fail_price
NVDA|2023-02-24T00:00:00|Long,NVDA,2023-02-24,Long,bo_long_fail_price
NVDA|2023-03-03T00:00:00|Long,NVDA,2023-03-03,Long,bo_long_fail_volume
NVDA|2023-03-15T00:00:00|Long,NVDA,2023-03-15,Long,bo_long_fail_price
NVDA|2023-03-21T00:00:00|Long,NVDA,2023-03-21,Long,bo_long_fail_price
NVDA|2023-03-22T00:00:00|Long,NVDA,2023-03-22,Long,bo_long_fail_rsi
NVDA|2023-03-31T00:00:00|Long,NVDA,2023-03-31,Long,bo_long_fail_volume
NVDA|2023-04-03T00:00:00|Long,NVDA,2023-04-03,Long,bo_long_fail_volume
NVDA|2023-04-05T00:00:00|Long,NVDA,2023-04-05,Long,bo_long_fail_price
NVDA|2023-04-18T00:00:00|Long,NVDA,2023-04-18,Long,bo_long_fail_price
