symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
ABNB,Long,Pullback,2021-11-01,2021-11-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2021-12-07,2021-12-10,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2022-04-13,2022-04-13,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2023-03-16,2023-03-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2023-04-18,2023-04-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2023-04-28,2023-04-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2023-06-02,2023-06-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2023-08-22,2023-08-28,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-08-29,485,1,True,converted,True,True,True,Reclaim
ABNB,Long,Pullback,2023-08-30,2023-08-31,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-09-01,488,1,True,converted,True,True,True,Reclaim
ABNB,Long,Pullback,2023-09-29,2023-10-04,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2023-10-10,2023-10-11,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2023-11-14,2023-11-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2023-11-17,2023-11-17,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2023-12-04,2023-12-05,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2024-01-08,2024-01-09,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2024-02-15,2024-02-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2024-04-15,2024-04-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-04-17,644,1,True,converted,True,True,True,Reclaim
ABNB,Long,Pullback,2024-04-18,2024-04-22,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-04-23,648,1,True,converted,True,True,True,Reclaim
ABNB,Long,Pullback,2024-04-24,2024-04-25,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2024-04-30,2024-04-30,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2024-05-20,2024-05-20,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2024-05-28,2024-06-03,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ABNB,Long,Pullback,2024-06-25,2024-06-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2024-07-16,2024-07-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2024-07-22,2024-07-22,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Pullback,2025-06-26,2025-06-26,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2021-11-01,2021-11-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2021-12-06,2021-12-06,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2021-12-13,2021-12-13,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2022-03-18,2022-03-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2022-08-01,2022-08-02,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2022-08-11,2022-08-11,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2022-09-09,2022-09-09,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2022-10-17,2022-10-18,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2023-02-02,2023-02-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2023-02-15,2023-02-16,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2023-05-08,2023-05-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2023-06-02,2023-06-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2023-06-16,2023-06-16,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
ABNB,Long,Breakout,2023-07-03,2023-07-03,1,Volume,False,1,Volume,5,5,True,False,True,2023-07-11,450,5,True,converted,False,False,True,Volume
ABNB,Long,Breakout,2023-07-12,2023-07-13,2,Price,False,1,Price -> Price,5,5,True,False,True,2023-07-14,453,1,True,converted,True,True,True,Price
ABNB,Long,Breakout,2023-07-21,2023-07-21,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
ABNB,Long,Breakout,2023-07-27,2023-07-28,2,Price,True,2,Price -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price -> Volume
ABNB,Long,Breakout,2023-08-02,2023-08-04,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2023-08-29,2023-08-30,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2023-09-01,2023-09-05,2,Price,True,2,Price -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price -> RSI
ABNB,Long,Breakout,2023-09-08,2023-09-11,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
ABNB,Long,Breakout,2023-10-20,2023-10-23,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2023-10-26,2023-10-30,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2023-11-01,2023-11-06,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2023-11-08,2023-11-08,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2023-11-14,2023-11-15,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2023-12-04,2023-12-04,1,Price,False,1,Price,5,5,True,False,True,2023-12-07,555,3,True,converted,False,True,True,Price
ABNB,Long,Breakout,2023-12-13,2023-12-14,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
ABNB,Long,Breakout,2024-01-22,2024-01-22,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2024-01-26,2024-01-29,2,Trend,True,2,Trend -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> RSI
ABNB,Long,Breakout,2024-02-13,2024-02-14,2,Price,False,1,Price -> Price,5,5,True,False,True,2024-02-15,602,1,True,converted,True,True,True,Price
ABNB,Long,Breakout,2024-02-16,2024-02-16,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-02-29,2024-02-29,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-03-06,2024-03-06,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
ABNB,Long,Breakout,2024-03-15,2024-03-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-03-21,2024-03-21,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-04-12,2024-04-15,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-04-17,2024-04-19,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-04-23,2024-04-24,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-05-28,2024-05-28,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-06-25,2024-06-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2024-08-06,2024-08-06,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Breakout,2024-11-06,2024-11-07,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2024-11-25,2024-11-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2025-02-07,2025-02-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2025-02-12,2025-02-12,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2025-04-29,2025-04-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2025-05-12,2025-05-13,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2025-06-05,2025-06-06,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Breakout,2025-07-14,2025-07-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Squeeze,2021-11-12,2021-11-12,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
ABNB,Long,Squeeze,2023-07-11,2023-07-13,3,Release,False,1,Release -> Release -> Release,5,5,True,False,True,2023-07-14,453,1,True,converted,True,True,True,Release
ABNB,Long,Squeeze,2023-08-11,2023-08-15,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Squeeze,2023-09-05,2023-09-11,5,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze -> Recent Squeeze -> Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
ABNB,Long,Squeeze,2023-10-18,2023-10-20,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Squeeze,2023-11-15,2023-11-15,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ABNB,Long,Squeeze,2023-11-17,2023-11-17,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
ABNB,Long,Squeeze,2023-12-01,2023-12-01,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
ABNB,Long,Squeeze,2023-12-07,2023-12-11,3,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
