symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
AMD,Long,Pullback,2021-12-06,2021-12-06,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2021-12-14,2021-12-14,1,RSI,False,1,RSI,5,5,True,False,True,2021-12-15,58,1,True,converted,True,True,True,RSI
AMD,Long,Pullback,2021-12-16,2021-12-20,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2021-12-21,62,1,True,converted,True,True,True,Reclaim
AMD,Long,Pullback,2021-12-22,2021-12-23,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2022-01-05,2022-01-10,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2022-01-12,2022-01-12,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2022-02-02,2022-02-02,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2022-02-04,2022-02-07,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2022-02-09,2022-02-09,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
AMD,Long,Pullback,2023-04-28,2023-04-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
AMD,Long,Pullback,2023-05-05,2023-05-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
AMD,Long,Pullback,2023-06-27,2023-06-27,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
AMD,Long,Pullback,2023-06-30,2023-06-30,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2023-07-10,2023-07-10,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMD,Long,Pullback,2023-07-28,2023-07-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
AMD,Long,Pullback,2023-08-03,2023-08-03,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
