symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
AMZN,Long,Pullback,2023-08-03,2023-08-07,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Pullback,2023-10-02,2023-10-10,7,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-10-11,515,1,True,converted,True,True,True,Reclaim
AMZN,Long,Pullback,2023-10-27,2023-10-30,2,Reclaim,True,2,Reclaim -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> Trend
AMZN,Long,Pullback,2024-01-05,2024-01-08,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
AMZN,Long,Pullback,2024-04-22,2024-04-22,1,RSI,False,1,RSI,5,5,True,False,True,2024-04-26,651,4,True,converted,False,False,True,RSI
AMZN,Long,Pullback,2024-04-29,2024-04-30,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-05-01,654,1,True,converted,True,True,True,Reclaim
AMZN,Long,Pullback,2024-05-02,2024-05-03,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Pullback,2024-06-05,2024-06-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
AMZN,Long,Pullback,2024-07-26,2024-07-30,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-07-31,716,1,True,converted,True,True,True,Reclaim
AMZN,Long,Pullback,2024-08-01,2024-08-01,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Pullback,2024-08-13,2024-08-16,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Pullback,2024-08-21,2024-08-21,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
AMZN,Long,Pullback,2024-08-30,2024-09-04,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Pullback,2024-09-10,2024-09-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
AMZN,Long,Pullback,2024-10-09,2024-10-09,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
AMZN,Long,Pullback,2025-03-05,2025-03-05,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Pullback,2025-08-01,2025-08-05,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2025-08-06,970,1,True,converted,True,True,True,Reclaim
AMZN,Long,Pullback,2025-08-07,2025-08-07,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Pullback,2025-08-12,2025-08-14,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
AMZN,Long,Breakout,2021-11-05,2021-11-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
AMZN,Long,Breakout,2021-11-18,2021-11-18,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
AMZN,Long,Breakout,2021-12-15,2021-12-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
