symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
BAC,Long,Pullback,2021-11-22,2021-11-23,2,RSI,True,2,RSI -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
BAC,Long,Pullback,2021-11-26,2021-12-01,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
BAC,Long,Pullback,2021-12-07,2021-12-17,9,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
BAC,Long,Pullback,2021-12-21,2021-12-29,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
BAC,Long,Pullback,2022-01-26,2022-01-26,1,RSI,False,1,RSI,5,5,True,False,True,2022-01-31,89,3,True,converted,False,True,True,RSI
BAC,Long,Pullback,2022-01-28,2022-01-28,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-01-31,89,1,True,converted,True,True,True,Reclaim
BAC,Long,Pullback,2022-02-01,2022-02-01,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
BAC,Long,Pullback,2024-01-22,2024-01-23,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
BAC,Long,Pullback,2024-02-13,2024-02-20,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
BAC,Long,Pullback,2024-04-18,2024-04-22,3,Reclaim,True,2,RSI -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
BAC,Long,Pullback,2024-08-08,2024-08-15,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
BAC,Long,Pullback,2024-08-19,2024-08-19,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
