symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
COIN,Long,Pullback,2021-12-07,2021-12-09,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
COIN,Long,Pullback,2021-12-23,2021-12-27,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
COIN,Long,Pullback,2023-08-23,2023-08-23,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-08-29,485,4,False,converted,False,False,True,Reclaim
COIN,Long,Pullback,2023-08-30,2023-09-01,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
COIN,Long,Pullback,2023-09-14,2023-09-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
COIN,Long,Pullback,2023-10-17,2023-10-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
COIN,Long,Pullback,2023-10-23,2023-10-24,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
COIN,Long,Pullback,2023-10-31,2023-10-31,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
COIN,Long,Pullback,2024-01-26,2024-01-26,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-01-29,589,1,True,converted,True,True,True,Reclaim
COIN,Long,Pullback,2024-01-30,2024-02-02,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
COIN,Long,Pullback,2024-02-08,2024-02-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
COIN,Long,Pullback,2024-02-12,2024-02-12,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
COIN,Long,Pullback,2024-04-16,2024-04-18,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
COIN,Long,Pullback,2024-04-22,2024-04-25,4,Reclaim,True,2,RSI -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
