symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
DDOG,Long,Pullback,2021-12-08,2021-12-09,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2021-12-15,58,4,True,converted,False,False,True,Reclaim
DDOG,Long,Pullback,2021-12-13,2021-12-14,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2021-12-15,58,1,True,converted,True,True,True,Reclaim
DDOG,Long,Pullback,2021-12-16,2021-12-17,2,Reclaim,True,2,Reclaim -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> Trend
DDOG,Long,Pullback,2021-12-21,2021-12-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2022-02-24,2022-02-24,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
DDOG,Long,Pullback,2022-03-02,2022-03-02,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
DDOG,Long,Pullback,2023-08-18,2023-08-23,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
DDOG,Long,Pullback,2023-10-06,2023-10-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2023-11-07,2023-11-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2024-02-15,2024-02-15,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
DDOG,Long,Pullback,2024-02-21,2024-02-22,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
DDOG,Long,Pullback,2024-03-19,2024-03-26,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
DDOG,Long,Pullback,2024-04-05,2024-04-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2024-04-18,2024-04-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2024-04-23,2024-04-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2024-05-06,2024-05-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2024-06-11,2024-06-12,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-06-13,684,1,True,converted,True,True,True,Reclaim
DDOG,Long,Pullback,2024-06-14,2024-06-14,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
DDOG,Long,Pullback,2024-07-23,2024-07-23,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
DDOG,Long,Pullback,2024-10-02,2024-10-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
DDOG,Long,Pullback,2024-11-01,2024-11-06,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
