symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
GE,Long,Pullback,2021-10-28,2021-10-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2021-11-05,2021-11-08,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GE,Long,Pullback,2022-02-15,2022-02-15,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2022-12-21,2022-12-23,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GE,Long,Pullback,2023-08-18,2023-08-18,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GE,Long,Pullback,2023-10-11,2023-10-11,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2023-10-24,2023-10-24,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2023-11-06,2023-11-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2024-06-17,2024-06-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2024-07-22,2024-07-22,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2024-08-06,2024-08-06,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
GE,Long,Pullback,2024-09-04,2024-09-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GE,Long,Pullback,2024-10-23,2024-10-23,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
GE,Long,Pullback,2024-11-05,2024-11-05,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-11-06,785,1,True,converted,True,True,True,Reclaim
GE,Long,Pullback,2024-11-07,2024-11-07,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-11-08,787,1,True,converted,True,True,True,Reclaim
GE,Long,Pullback,2024-11-11,2024-11-12,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GE,Long,Pullback,2024-12-11,2024-12-11,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GE,Long,Pullback,2024-12-19,2024-12-27,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GE,Long,Pullback,2025-01-02,2025-01-10,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GE,Long,Pullback,2025-01-14,2025-01-14,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
GE,Long,Pullback,2025-03-04,2025-03-11,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2025-03-12,869,1,True,converted,True,True,True,Reclaim
GE,Long,Pullback,2025-03-17,2025-03-19,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
