symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
GOOGL,Long,Pullback,2021-10-27,2021-10-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2021-12-07,2021-12-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2021-12-15,2021-12-15,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2021-12-22,2021-12-22,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2022-02-02,2022-02-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2023-07-10,2023-07-11,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-07-12,451,1,True,converted,True,True,True,Reclaim
GOOGL,Long,Pullback,2023-07-13,2023-07-14,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GOOGL,Long,Pullback,2023-09-21,2023-09-22,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-09-25,503,1,True,converted,True,True,True,Reclaim
GOOGL,Long,Pullback,2023-09-29,2023-09-29,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-10-02,508,1,True,converted,True,True,True,Reclaim
GOOGL,Long,Pullback,2023-10-25,2023-10-31,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GOOGL,Long,Pullback,2023-11-02,2023-11-07,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-11-08,535,1,True,converted,True,True,True,Reclaim
GOOGL,Long,Pullback,2023-11-09,2023-11-10,2,Reclaim,True,2,Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
GOOGL,Long,Pullback,2023-12-07,2023-12-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2023-12-18,2023-12-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2024-02-01,2024-02-01,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
GOOGL,Long,Pullback,2024-02-15,2024-02-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GOOGL,Long,Pullback,2024-02-21,2024-02-21,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
GOOGL,Long,Pullback,2024-02-27,2024-02-29,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GOOGL,Long,Pullback,2024-03-07,2024-03-13,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-03-14,621,1,True,converted,True,True,True,Reclaim
GOOGL,Long,Pullback,2024-04-26,2024-04-29,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GOOGL,Long,Pullback,2024-07-31,2024-08-15,12,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
GOOGL,Long,Pullback,2024-09-16,2024-09-20,5,Reclaim,True,2,Reclaim -> Reclaim -> Reclaim -> Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
GOOGL,Long,Pullback,2024-09-27,2024-09-27,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
GOOGL,Long,Pullback,2024-10-08,2024-10-08,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
GOOGL,Long,Pullback,2024-10-14,2024-10-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2024-10-21,2024-10-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
GOOGL,Long,Pullback,2024-10-25,2024-10-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
