symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
HD,Long,Pullback,2021-12-23,2021-12-27,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HD,Long,Pullback,2022-01-24,2022-01-24,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HD,Long,Pullback,2022-01-28,2022-01-31,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HD,Long,Pullback,2022-02-09,2022-02-09,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HD,Long,Pullback,2022-11-10,2022-11-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HD,Long,Pullback,2023-01-31,2023-01-31,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HD,Long,Pullback,2023-08-28,2023-08-29,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HD,Long,Pullback,2024-05-15,2024-05-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HD,Long,Pullback,2024-06-12,2024-06-12,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HD,Long,Pullback,2024-06-17,2024-06-17,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HD,Long,Pullback,2024-07-10,2024-07-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HD,Long,Pullback,2024-08-02,2024-08-05,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-08-06,720,1,True,converted,True,True,True,Reclaim
HD,Long,Pullback,2024-08-14,2024-08-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HD,Long,Pullback,2024-10-31,2024-10-31,1,RSI,False,1,RSI,5,5,True,False,True,2024-11-07,786,5,True,converted,False,False,True,RSI
