symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
HON,Long,Pullback,2021-11-01,2021-11-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2023-01-04,2023-01-05,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-01-06,324,1,True,converted,True,True,True,Reclaim
HON,Long,Pullback,2023-01-10,2023-01-10,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2023-01-26,2023-01-26,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2023-01-31,2023-01-31,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2023-02-13,2023-02-15,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2023-02-17,2023-02-17,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2023-04-27,2023-04-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2023-06-02,2023-06-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-01-18,2024-01-25,6,Reclaim,True,2,RSI -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
HON,Long,Pullback,2024-02-01,2024-02-01,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2024-02-12,2024-02-12,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2024-02-20,2024-02-20,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-03-06,2024-03-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-03-19,2024-03-19,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-03-26,2024-03-26,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-05-07,2024-05-10,4,Reclaim,True,2,Trend -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> Reclaim
HON,Long,Pullback,2024-05-30,2024-06-06,6,Reclaim,True,2,RSI -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
HON,Long,Pullback,2024-09-04,2024-09-04,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2024-09-12,2024-09-12,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-09-16,2024-09-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-09-24,2024-09-24,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-10-08,2024-10-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2024-11-01,2024-11-01,1,RSI,False,1,RSI,5,5,True,False,True,2024-11-06,785,3,True,converted,False,True,True,RSI
HON,Long,Pullback,2024-11-05,2024-11-05,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-11-06,785,1,True,converted,True,True,True,Reclaim
HON,Long,Pullback,2024-11-07,2024-11-08,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2025-01-02,2025-01-03,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2025-01-21,2025-01-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2025-01-23,2025-01-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2025-01-27,2025-01-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2025-01-30,2025-01-30,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2025-02-04,2025-02-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2025-03-27,2025-03-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2025-04-01,2025-04-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Pullback,2025-06-24,2025-06-24,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2025-07-24,2025-07-30,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2025-08-05,2025-08-06,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Pullback,2025-08-13,2025-08-13,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
HON,Long,Breakout,2021-11-05,2021-11-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2022-03-18,2022-03-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2022-04-19,2022-04-19,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2022-05-04,2022-05-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2022-11-10,2022-11-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2022-11-22,2022-11-22,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
HON,Long,Breakout,2023-01-04,2023-01-06,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
HON,Long,Breakout,2023-02-24,2023-02-27,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
HON,Long,Breakout,2023-03-02,2023-03-02,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
HON,Long,Breakout,2023-03-09,2023-03-09,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
HON,Long,Breakout,2023-04-28,2023-04-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2023-06-29,2023-06-30,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2023-07-11,2023-07-11,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
HON,Long,Breakout,2023-09-13,2023-09-13,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
