symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
LLY,Long,Pullback,2021-11-30,2021-12-01,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2021-12-14,2021-12-16,3,Trend,True,2,Trend -> Trend -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> Reclaim
LLY,Long,Pullback,2022-01-28,2022-02-03,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-02-16,2022-02-16,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-04-25,2022-04-25,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Pullback,2022-04-28,2022-04-29,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-05-04,2022-05-05,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-05-12,2022-05-17,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2022-05-20,166,3,True,converted,False,True,True,Reclaim
LLY,Long,Pullback,2022-05-19,2022-05-19,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-05-20,166,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2022-05-23,2022-05-24,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-06-10,2022-06-15,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2022-06-21,186,3,True,converted,False,True,True,Reclaim
LLY,Long,Pullback,2022-06-22,2022-06-24,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-08-04,2022-08-04,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-08-12,2022-08-12,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-08-15,224,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2022-08-16,2022-08-16,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-08-17,226,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2022-08-18,2022-08-19,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-09-07,2022-09-07,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-09-08,241,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2022-09-22,2022-09-22,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-09-23,252,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2022-09-26,2022-09-27,2,Reclaim,True,2,Reclaim -> Trend,5,5,True,False,True,2022-09-28,255,1,True,converted,True,True,True,Reclaim -> Trend
LLY,Long,Pullback,2022-09-29,2022-09-29,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-10-13,2022-10-17,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2022-11-14,2022-11-16,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2023-01-11,2023-01-11,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2023-01-31,2023-02-13,10,Reclaim,True,2,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
LLY,Long,Pullback,2023-03-15,2023-03-15,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2023-03-20,2023-03-20,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Pullback,2023-03-24,2023-03-24,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Pullback,2023-07-14,2023-07-14,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Pullback,2023-08-09,2023-08-09,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2023-10-06,2023-10-09,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2023-11-03,2023-11-03,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2023-12-27,2023-12-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2024-04-23,2024-04-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2024-04-30,2024-04-30,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2024-05-06,2024-05-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2024-07-18,2024-07-22,3,Reclaim,True,2,Reclaim -> Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
LLY,Long,Pullback,2024-08-01,2024-08-07,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-08-08,722,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2024-08-09,2024-08-12,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2024-09-06,2024-09-09,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2024-09-12,2024-09-13,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2024-10-08,2024-10-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2024-10-31,2024-11-01,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2024-11-08,2024-11-12,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2025-01-27,2025-01-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2025-03-19,2025-03-19,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2025-03-20,875,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2025-03-21,2025-03-21,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2025-03-24,877,1,True,converted,True,True,True,Reclaim
LLY,Long,Pullback,2025-03-25,2025-03-26,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
LLY,Long,Pullback,2025-04-17,2025-04-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Pullback,2025-05-02,2025-05-02,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Pullback,2025-07-23,2025-07-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Breakout,2021-11-05,2021-11-05,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2021-11-29,2021-12-01,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2021-12-15,2021-12-15,1,Trend,False,1,Trend,5,5,True,False,True,2021-12-16,59,1,True,converted,True,True,True,Trend
LLY,Long,Breakout,2021-12-17,2021-12-17,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-01-28,2022-01-31,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-02-02,2022-02-04,3,Price,True,2,Volume -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume -> Price
LLY,Long,Breakout,2022-02-15,2022-02-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-02-22,2022-02-22,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-02-24,2022-02-25,2,Price,True,2,Price -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price -> Volume
LLY,Long,Breakout,2022-03-03,2022-03-04,2,Trend,True,2,Trend -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> RSI
LLY,Long,Breakout,2022-03-15,2022-03-15,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2022-03-17,2022-03-18,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2022-03-31,2022-03-31,1,Price,False,1,Price,5,5,True,False,True,2022-04-06,135,4,True,converted,False,False,True,Price
LLY,Long,Breakout,2022-04-28,2022-04-29,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-05-05,2022-05-05,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-05-19,2022-05-20,2,Price,False,1,Price -> Price,5,5,True,False,True,2022-05-26,170,4,True,converted,False,False,True,Price
LLY,Long,Breakout,2022-05-25,2022-05-25,1,Price,False,1,Price,5,5,True,False,True,2022-05-26,170,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2022-06-22,2022-06-23,2,Price,False,1,Price -> Price,5,5,True,False,True,2022-06-24,189,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2022-06-27,2022-06-27,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
LLY,Long,Breakout,2022-07-15,2022-07-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-08-04,2022-08-04,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-08-15,2022-08-15,1,Price,False,1,Price,5,5,True,False,True,2022-08-19,228,4,True,converted,False,False,True,Price
LLY,Long,Breakout,2022-08-17,2022-08-17,1,Price,False,1,Price,5,5,True,False,True,2022-08-19,228,2,True,converted,False,True,True,Price
LLY,Long,Breakout,2022-09-22,2022-09-26,3,Price,False,1,Price -> Price -> Price,5,5,True,False,True,2022-09-28,255,2,True,converted,False,True,True,Price
LLY,Long,Breakout,2022-09-29,2022-09-29,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-10-26,2022-10-26,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
LLY,Long,Breakout,2022-10-28,2022-10-31,2,Price,True,2,Price -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price -> RSI
LLY,Long,Breakout,2022-11-08,2022-11-08,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2022-11-10,2022-11-16,5,Price,False,1,Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-02-01,2023-02-03,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-03-09,2023-03-15,5,Price,False,1,Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-04-25,2023-04-28,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,True,2023-05-01,402,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2023-05-02,2023-05-02,1,Price,False,1,Price,5,5,True,False,True,2023-05-03,404,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2023-05-04,2023-05-04,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-05-10,2023-05-10,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
LLY,Long,Breakout,2023-05-12,2023-05-12,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-05-22,2023-05-23,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-06-15,2023-06-16,2,Volume,True,2,Volume -> Price,5,5,True,False,True,2023-06-22,438,3,True,converted,False,True,True,Volume -> Price
LLY,Long,Breakout,2023-06-23,2023-06-28,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,True,2023-06-30,444,2,True,converted,False,True,True,Price
LLY,Long,Breakout,2023-07-07,2023-07-07,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-08-08,2023-08-10,3,Price,True,2,Trend -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> Price
LLY,Long,Breakout,2023-08-14,2023-08-14,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-08-22,2023-08-22,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
LLY,Long,Breakout,2023-09-13,2023-09-13,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-10-05,2023-10-05,1,Price,False,1,Price,5,5,True,False,True,2023-10-06,512,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2023-10-10,2023-10-10,1,Price,False,1,Price,5,5,True,False,True,2023-10-11,515,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2023-11-02,2023-11-02,1,Price,False,1,Price,5,5,True,False,True,2023-11-08,535,4,True,converted,False,False,True,Price
LLY,Long,Breakout,2023-11-06,2023-11-07,2,Price,True,2,Price -> Volume,5,5,True,False,True,2023-11-08,535,1,True,converted,True,True,True,Price -> Volume
LLY,Long,Breakout,2023-11-09,2023-11-09,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2023-11-30,2023-12-01,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-01-02,2024-01-03,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Breakout,2024-01-31,2024-01-31,1,Price,False,1,Price,5,5,True,False,True,2024-02-02,593,2,True,converted,False,True,True,Price
LLY,Long,Breakout,2024-02-05,2024-02-05,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2024-02-16,2024-02-16,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2024-03-01,2024-03-01,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-03-07,2024-03-08,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-04-03,2024-04-03,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-04-30,2024-04-30,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Breakout,2024-05-15,2024-05-15,1,Trend,False,1,Trend,5,5,True,False,True,2024-05-21,668,4,True,converted,False,False,True,Trend
LLY,Long,Breakout,2024-05-23,2024-05-23,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-06-03,2024-06-03,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2024-06-07,2024-06-10,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2024-06-25,2024-06-25,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-06-28,2024-06-28,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-07-02,2024-07-05,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-07-09,2024-07-12,4,Volume,True,2,Volume -> Volume -> Price -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume -> Price -> Volume
LLY,Long,Breakout,2024-07-17,2024-07-19,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-08-01,2024-08-05,3,Price,False,1,Price -> Price -> Price,5,5,True,False,True,2024-08-09,723,4,True,converted,False,False,True,Price
LLY,Long,Breakout,2024-08-07,2024-08-08,2,Price,False,1,Price -> Price,5,5,True,False,True,2024-08-09,723,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2024-08-14,2024-08-14,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
LLY,Long,Breakout,2024-08-20,2024-08-20,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2024-09-06,2024-09-06,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-10-31,2024-11-05,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-11-08,2024-11-08,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-11-15,2024-11-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2024-11-26,2024-11-26,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2025-01-27,2025-01-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Breakout,2025-02-26,2025-02-26,1,Volume,False,1,Volume,5,5,True,False,True,2025-03-03,862,3,True,converted,False,True,True,Volume
LLY,Long,Breakout,2025-02-28,2025-02-28,1,Price,False,1,Price,5,5,True,False,True,2025-03-03,862,1,True,converted,True,True,True,Price
LLY,Long,Breakout,2025-03-19,2025-03-24,4,Price,True,2,Price -> Price -> Price -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price -> Volume
LLY,Long,Breakout,2025-04-09,2025-04-10,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
LLY,Long,Breakout,2025-04-17,2025-04-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Breakout,2025-04-30,2025-04-30,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
LLY,Long,Breakout,2025-07-25,2025-07-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Breakout,2025-08-26,2025-08-26,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
LLY,Long,Breakout,2025-09-16,2025-09-16,1,Trend,False,1,Trend,5,3,False,False,,,,,,censored,False,False,,Trend
