symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
MS,Long,Pullback,2021-12-07,2021-12-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Pullback,2022-12-15,2022-12-15,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2023-01-06,2023-01-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Pullback,2023-03-03,2023-03-06,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2023-03-08,2023-03-09,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2023-04-27,2023-04-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Pullback,2024-01-24,2024-01-25,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2024-01-29,2024-01-30,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2024-02-15,2024-02-15,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-02-16,603,1,True,converted,True,True,True,Reclaim
MS,Long,Pullback,2024-02-20,2024-02-22,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-02-23,607,1,True,converted,True,True,True,Reclaim
MS,Long,Pullback,2024-03-01,2024-03-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Pullback,2024-04-11,2024-04-11,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-04-17,644,4,True,converted,False,False,True,Reclaim
MS,Long,Pullback,2024-04-15,2024-04-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-04-17,644,1,True,converted,True,True,True,Reclaim
MS,Long,Pullback,2024-04-18,2024-04-22,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2024-06-28,2024-06-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Pullback,2024-08-12,2024-08-13,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-08-14,726,1,True,converted,True,True,True,Reclaim
MS,Long,Pullback,2024-08-15,2024-08-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2024-09-13,2024-09-13,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-09-16,748,1,True,converted,True,True,True,Reclaim
MS,Long,Pullback,2024-09-17,2024-09-18,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-09-19,751,1,True,converted,True,True,True,Reclaim
MS,Long,Pullback,2024-09-20,2024-09-20,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2024-12-18,2024-12-20,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-12-23,817,1,True,converted,True,True,True,Reclaim
MS,Long,Pullback,2024-12-24,2025-01-07,9,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2025-01-15,831,5,True,converted,False,False,True,Reclaim
MS,Long,Pullback,2025-01-10,2025-01-13,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2025-01-15,831,2,True,converted,False,True,True,Reclaim
MS,Long,Pullback,2025-01-16,2025-01-16,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2025-02-20,2025-02-25,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2025-02-28,861,3,True,converted,False,True,True,Reclaim
MS,Long,Pullback,2025-03-03,2025-03-07,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2025-03-17,2025-03-21,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2025-04-02,2025-04-02,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Pullback,2025-04-29,2025-04-29,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MS,Long,Breakout,2021-11-23,2021-11-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2021-12-07,2021-12-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-01-04,2022-01-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-03-16,2022-03-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-04-19,2022-04-20,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-07-15,2022-07-19,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-07-21,2022-07-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-07-29,2022-07-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-11-10,2022-11-11,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-11-30,2022-11-30,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2022-12-13,2022-12-16,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2023-02-17,2023-02-21,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2023-03-03,2023-03-03,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2023-03-09,2023-03-10,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2023-03-23,2023-03-24,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2023-04-17,2023-04-18,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2023-06-06,2023-06-07,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2023-07-18,2023-07-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2023-09-13,2023-09-14,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2023-11-03,2023-11-03,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2023-12-01,2023-12-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2023-12-08,2023-12-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2023-12-12,2023-12-14,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2024-01-04,2024-01-04,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2024-01-24,2024-01-24,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2024-02-13,2024-02-13,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2024-02-16,2024-02-16,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2024-03-04,2024-03-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2024-03-20,2024-03-21,2,Trend,True,2,Trend -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> RSI
MS,Long,Breakout,2024-04-11,2024-04-17,5,Price,False,1,Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2024-04-19,2024-04-19,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2024-05-09,2024-05-10,2,Volume,False,1,Volume -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MS,Long,Breakout,2024-05-14,2024-05-15,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MS,Long,Breakout,2024-05-21,2024-05-21,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MS,Long,Breakout,2024-07-01,2024-07-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2024-07-11,2024-07-11,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MS,Long,Breakout,2024-08-14,2024-08-14,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2024-08-16,2024-08-19,2,Volume,False,1,Volume -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MS,Long,Breakout,2024-09-13,2024-09-13,1,Price,False,1,Price,5,5,True,False,True,2024-09-20,752,5,True,converted,False,False,True,Price
MS,Long,Breakout,2024-09-17,2024-09-19,3,Price,False,1,Price -> Price -> Price,5,5,True,False,True,2024-09-20,752,1,True,converted,True,True,True,Price
MS,Long,Breakout,2024-10-11,2024-10-14,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MS,Long,Breakout,2024-10-16,2024-10-16,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MS,Long,Breakout,2024-12-17,2024-12-20,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-01-07,2025-01-07,1,Price,False,1,Price,5,5,True,False,True,2025-01-15,831,5,True,converted,False,False,True,Price
MS,Long,Breakout,2025-01-10,2025-01-10,1,Price,False,1,Price,5,5,True,False,True,2025-01-15,831,3,True,converted,False,True,True,Price
MS,Long,Breakout,2025-01-21,2025-01-23,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-02-20,2025-02-25,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-02-28,2025-03-07,6,Price,False,1,Price -> Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-03-17,2025-03-17,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-03-21,2025-03-21,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-04-02,2025-04-11,8,Price,False,1,Price -> Price -> Price -> Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-05-15,2025-05-15,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MS,Long,Breakout,2025-06-05,2025-06-06,2,Trend,True,2,Trend -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> Volume
MS,Long,Breakout,2025-06-11,2025-06-11,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-06-18,2025-06-20,2,Price,False,1,Price -> Price,5,5,True,False,True,2025-06-23,939,1,True,converted,True,True,True,Price
MS,Long,Breakout,2025-06-27,2025-06-27,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MS,Long,Breakout,2025-07-23,2025-07-23,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-07-30,2025-07-30,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MS,Long,Breakout,2025-08-13,2025-08-13,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-08-15,2025-08-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Breakout,2025-08-28,2025-08-29,2,Volume,False,1,Volume -> Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MS,Long,Breakout,2025-09-09,2025-09-11,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Breakout,2025-09-15,2025-09-16,2,Price,False,1,Price -> Price,5,3,False,False,,,,,,censored,False,False,,Price
MS,Long,Squeeze,2022-07-20,2022-07-21,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Squeeze,2022-12-19,2022-12-21,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Squeeze,2023-01-18,2023-01-18,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MS,Long,Squeeze,2023-03-09,2023-03-13,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Squeeze,2023-04-19,2023-04-19,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Squeeze,2023-06-12,2023-06-12,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Squeeze,2023-12-14,2023-12-18,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MS,Long,Squeeze,2024-01-18,2024-01-22,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MS,Long,Squeeze,2024-03-21,2024-03-21,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MS,Long,Squeeze,2024-05-09,2024-05-09,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MS,Long,Squeeze,2024-05-15,2024-05-15,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MS,Long,Squeeze,2024-07-09,2024-07-09,1,Trend,False,1,Trend,5,5,True,False,True,2024-07-10,701,1,True,converted,True,True,True,Trend
MS,Long,Squeeze,2024-07-11,2024-07-11,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MS,Long,Squeeze,2024-10-14,2024-10-14,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
