observation_id,symbol,timestamp,direction,forward_return_1,mfe_1,mae_1,complete_1,forward_return_3,mfe_3,mae_3,complete_3,forward_return_5,mfe_5,mae_5,complete_5,forward_return_10,mfe_10,mae_10,complete_10,forward_return_20,mfe_20,mae_20,complete_20,path_horizon,path_complete,target_3_stop_2_target_hit,target_3_stop_2_stop_hit,target_3_stop_2_target_before_stop,target_3_stop_2_stop_before_target,target_3_stop_2_neither,target_3_stop_2_bars_to_target,target_3_stop_2_bars_to_stop,target_3_stop_2_path_status,target_5_stop_3_target_hit,target_5_stop_3_stop_hit,target_5_stop_3_target_before_stop,target_5_stop_3_stop_before_target,target_5_stop_3_neither,target_5_stop_3_bars_to_target,target_5_stop_3_bars_to_stop,target_5_stop_3_path_status,label_end_1,label_end_3,label_end_5,label_end_10,label_end_20
MSFT|2021-09-23T00:00:00|Long,MSFT,2021-09-23,Long,-0.0007009996554598885,0.000801142463382698,-0.008779559701719064,True,-0.053545228587419946,0.000801142463382698,-0.056115628573891074,True,-0.05888631417620771,0.000801142463382698,-0.0598878441301135,True,-0.015723032091949585,0.000801142463382698,-0.06446120214971873,True,0.037388210369578845,0.038256080746684296,-0.06446120214971873,True,20,True,True,True,False,True,False,18,2,STOP_BEFORE_TARGET,False,True,False,True,False,,3,STOP_BEFORE_TARGET,2021-09-24,2021-09-28,2021-09-30,2021-10-07,2021-10-21
MSFT|2021-09-24T00:00:00|Long,MSFT,2021-09-24,Long,-0.017304134191298504,-0.009620861279744153,-0.02141307343048049,True,-0.05127778784212744,-0.009620861279744153,-0.05545350180408992,True,-0.03424085448809222,-0.009620861279744153,-0.06033070716674238,True,-0.015032570263064926,-0.009052919324614939,-0.06380492972801488,True,0.03277099501779013,0.039218272907986185,-0.06380492972801488,True,20,True,True,True,False,True,False,17,1,STOP_BEFORE_TARGET,False,True,False,True,False,,2,STOP_BEFORE_TARGET,2021-09-27,2021-09-29,2021-10-01,2021-10-08,2021-10-22
MSFT|2021-09-27T00:00:00|Long,MSFT,2021-09-27,Long,-0.03620363710755581,-0.011523998006922276,-0.038821133720143175,True,-0.04164258571857915,-0.011523998006922276,-0.04266246638911719,True,-0.0375974014050513,-0.011523998006922276,-0.04731962060148576,True,0.00020395538584860873,0.012917658563122991,-0.04731962060148576,True,0.04745552169785494,0.05751770111780208,-0.04731962060148576,True,20,True,True,True,False,True,False,13,1,STOP_BEFORE_TARGET,True,True,False,True,False,16,1,STOP_BEFORE_TARGET,2021-09-28,2021-09-30,2021-10-04,2021-10-11,2021-10-25
MSFT|2021-09-28T00:00:00|Long,MSFT,2021-09-28,Long,0.00169304107268764,0.011463036561571327,-0.001798741774155066,True,0.01968121228156039,0.022785067095726808,-0.00786533773688336,True,0.018482015219394077,0.024266383850913398,-0.011533539575279028,True,0.03301360126918351,0.05096646715210773,-0.011533539575279028,True,0.09378526159793421,0.10186232365231884,-0.011533539575279028,True,20,True,True,False,True,False,False,6,,TARGET_BEFORE_STOP,True,False,True,False,False,9,,TARGET_BEFORE_STOP,2021-09-29,2021-10-01,2021-10-05,2021-10-12,2021-10-26
MSFT|2021-09-29T00:00:00|Long,MSFT,2021-09-29,Long,-0.007323896381216999,0.01348586821220299,-0.008380298883142623,True,-0.0031338543959067433,0.021056376712422997,-0.01320422535211263,True,0.03207741320972701,0.03390846789722701,-0.01320422535211263,True,0.04334506182603426,0.04919014514332076,-0.01320422535211263,True,0.1379225824920225,0.1482394581109705,-0.01320422535211263,True,20,True,True,False,True,False,False,5,,TARGET_BEFORE_STOP,True,False,True,False,False,11,,TARGET_BEFORE_STOP,2021-09-30,2021-10-04,2021-10-06,2021-10-13,2021-10-27
MSFT|2021-09-30T00:00:00|Long,MSFT,2021-09-30,Long,0.025468190741349206,0.028589660806964234,-0.0022346937173866044,True,0.024262187897646115,0.03007938445251135,-0.005923713635755945,True,0.045864046750606624,0.05221339571366168,-0.005923713635755945,True,0.07388615770481666,0.07573061353946842,-0.005923713635755945,True,0.15050365584157976,0.15671109027917973,-0.005923713635755945,True,20,True,True,False,True,False,False,3,,TARGET_BEFORE_STOP,True,False,True,False,False,5,,TARGET_BEFORE_STOP,2021-10-01,2021-10-05,2021-10-07,2021-10-14,2021-10-28
MSFT|2021-10-01T00:00:00|Long,MSFT,2021-10-01,Long,-0.020719545574164888,-0.004669685489498865,-0.030612265363795133,True,0.013870560924896802,0.01566931402164995,-0.030612265363795133,True,0.019889311236960472,0.026080969857268377,-0.030612265363795133,True,0.052265600250980926,0.05309583458818534,-0.030612265363795133,True,0.14707709483218445,0.14839153576884923,-0.030612265363795133,True,20,True,True,True,False,True,False,6,1,STOP_BEFORE_TARGET,True,True,False,True,False,10,1,STOP_BEFORE_TARGET,2021-10-04,2021-10-06,2021-10-08,2021-10-15,2021-10-29
MSFT|2021-10-04T00:00:00|Long,MSFT,2021-10-04,Long,0.019956994477063006,0.025749740108492514,0.0033202730035784,True,0.041468056089136285,0.0477907173781722,0.0033202730035784,True,0.03927811172381257,0.05248849082694007,0.0033202730035784,True,0.08540858480612368,0.0886581448985162,0.0033202730035784,True,0.1633994283464777,0.17268912146537851,0.0033202730035784,True,20,True,True,False,True,False,False,2,,TARGET_BEFORE_STOP,True,False,True,False,False,5,,TARGET_BEFORE_STOP,2021-10-05,2021-10-07,2021-10-11,2021-10-18,2021-11-01
MSFT|2021-10-05T00:00:00|Long,MSFT,2021-10-05,Long,0.015064328296249263,0.016865199309074264,-0.011255021090482376,True,0.021090165299667563,0.027289114199741116,-0.011255021090482376,True,0.014267886749732117,0.03189496863694363,-0.011255021090482376,True,0.06742623826791716,0.07113165719870707,-0.011255021090482376,True,0.15365699410109057,0.15476520615745692,-0.011255021090482376,True,20,True,True,False,True,False,False,4,,TARGET_BEFORE_STOP,True,False,True,False,False,7,,TARGET_BEFORE_STOP,2021-10-06,2021-10-08,2021-10-12,2021-10-19,2021-11-02
MSFT|2021-10-06T00:00:00|Long,MSFT,2021-10-06,Long,0.005936408989499542,0.012043360763165367,0.002763563565397753,True,0.003821178706765016,0.01658086081001775,-0.0012281579255334352,True,0.010917445214952526,0.01658086081001775,-0.002592812548284029,True,0.048787209666006914,0.05660000574722934,-0.002592812548284029,True,0.1395039974478971,0.1425744963782043,-0.002592812548284029,True,20,True,True,False,True,False,False,6,,TARGET_BEFORE_STOP,True,False,True,False,False,8,,TARGET_BEFORE_STOP,2021-10-07,2021-10-11,2021-10-13,2021-10-20,2021-11-03
