symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
MSFT,Long,Pullback,2021-12-07,2021-12-08,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2021-12-14,2021-12-20,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2021-12-21,62,1,True,converted,True,True,True,Reclaim
MSFT,Long,Pullback,2021-12-22,2021-12-27,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2022-02-02,2022-02-02,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2022-02-09,2022-02-09,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2023-04-26,2023-04-27,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2023-07-28,2023-07-28,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MSFT,Long,Pullback,2023-09-15,2023-09-15,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2023-09-29,2023-10-05,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-10-06,512,1,True,converted,True,True,True,Reclaim
MSFT,Long,Pullback,2024-01-08,2024-01-08,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-03-06,2024-03-06,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-03-12,2024-03-13,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-04-15,2024-04-18,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-04-24,2024-05-03,8,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-05-06,657,1,True,converted,True,True,True,Reclaim
MSFT,Long,Pullback,2024-05-07,2024-05-07,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-06-04,2024-06-04,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MSFT,Long,Pullback,2024-07-22,2024-07-22,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MSFT,Long,Pullback,2024-08-09,2024-08-15,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-08-30,2024-09-05,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-09-11,745,4,True,converted,False,False,True,Reclaim
MSFT,Long,Pullback,2024-09-09,2024-09-10,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-09-11,745,1,True,converted,True,True,True,Reclaim
MSFT,Long,Pullback,2024-09-12,2024-09-16,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-10-09,2024-10-11,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2024-11-07,2024-11-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MSFT,Long,Pullback,2024-11-12,2024-11-12,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MSFT,Long,Pullback,2024-11-26,2024-11-26,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MSFT,Long,Pullback,2024-12-20,2024-12-23,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MSFT,Long,Pullback,2025-01-06,2025-01-10,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2025-01-17,833,5,True,converted,False,False,True,Reclaim
MSFT,Long,Pullback,2025-01-15,2025-01-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2025-01-17,833,1,True,converted,True,True,True,Reclaim
MSFT,Long,Pullback,2025-01-21,2025-01-21,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2025-01-22,835,1,True,converted,True,True,True,Reclaim
