symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
MU,Long,Pullback,2022-01-20,2022-01-24,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2022-01-31,2022-02-07,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2022-02-09,2022-02-09,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Pullback,2022-03-17,2022-03-17,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2023-04-26,2023-04-26,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2023-05-11,2023-05-11,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2023-06-13,2023-06-13,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2023-07-11,2023-07-13,3,Reclaim,True,2,Reclaim -> Reclaim -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> Trend
MU,Long,Pullback,2023-07-17,2023-07-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2023-08-14,2023-08-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2023-08-29,2023-08-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2023-10-31,2023-10-31,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-11-01,530,1,True,converted,True,True,True,Reclaim
MU,Long,Pullback,2023-11-03,2023-11-03,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2023-12-08,2023-12-12,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2024-02-20,2024-02-20,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-02-22,606,2,True,converted,False,True,True,Reclaim
MU,Long,Pullback,2024-04-29,2024-04-29,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2024-05-03,2024-05-03,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2024-07-03,2024-07-05,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2024-07-31,2024-07-31,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2024-08-15,2024-08-15,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2024-10-23,2024-10-23,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2024-11-05,2024-11-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2024-11-25,2024-11-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2024-12-04,2024-12-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2024-12-09,2024-12-09,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2025-03-14,2025-03-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Pullback,2025-07-24,2025-07-24,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Pullback,2025-07-29,2025-08-06,7,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2025-08-07,971,1,True,converted,True,True,True,Reclaim
MU,Long,Pullback,2025-08-08,2025-08-12,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Pullback,2025-08-20,2025-08-22,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
MU,Long,Breakout,2021-11-19,2021-11-19,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2021-11-23,2021-11-24,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2021-11-29,2021-12-02,4,Price,False,1,Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2021-12-17,2021-12-20,2,Price,False,1,Price -> Price,5,5,True,False,True,2021-12-21,62,1,True,converted,True,True,True,Price
MU,Long,Breakout,2022-01-05,2022-01-06,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-01-20,2022-01-24,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-01-31,2022-01-31,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-02-09,2022-02-10,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2022-02-15,2022-02-15,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2022-03-02,2022-03-02,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-03-07,2022-03-08,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-03-16,2022-03-16,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-03-18,2022-03-21,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-03-23,2022-03-23,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2022-03-29,2022-03-29,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2022-08-12,2022-08-12,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2022-10-04,2022-10-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2022-11-10,2022-11-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-01-04,2023-01-06,3,Trend,False,1,Trend -> Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-01-23,2023-01-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-01-27,2023-01-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-03-21,2023-03-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-03-23,2023-03-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-03-29,2023-03-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-05-15,2023-05-15,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-05-18,2023-05-22,3,Price,True,2,Trend -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> Price
MU,Long,Breakout,2023-05-25,2023-05-26,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2023-06-16,2023-06-16,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2023-08-30,2023-08-31,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2023-11-01,2023-11-02,2,Price,True,2,Price -> Trend,5,5,True,False,True,2023-11-03,532,1,True,converted,True,True,True,Price -> Trend
MU,Long,Breakout,2023-11-09,2023-11-09,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2023-11-14,2023-11-14,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2023-12-08,2023-12-11,2,Price,False,1,Price -> Price,5,5,True,False,True,2023-12-14,560,3,True,converted,False,True,True,Price
MU,Long,Breakout,2023-12-13,2023-12-13,1,Volume,False,1,Volume,5,5,True,False,True,2023-12-14,560,1,True,converted,True,True,True,Volume
MU,Long,Breakout,2023-12-15,2023-12-15,1,Price,False,1,Price,5,5,True,False,True,2023-12-21,565,4,True,converted,False,False,True,Price
MU,Long,Breakout,2024-01-22,2024-01-25,4,Price,True,2,Volume -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume -> Price
MU,Long,Breakout,2024-02-22,2024-02-22,1,Price,False,1,Price,5,5,True,False,True,2024-02-26,608,2,True,converted,False,True,True,Price
MU,Long,Breakout,2024-02-27,2024-03-01,4,Price,True,2,Price -> Price -> Price -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price -> RSI
MU,Long,Breakout,2024-03-07,2024-03-07,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2024-03-20,2024-03-20,1,Price,False,1,Price,5,5,True,False,True,2024-03-21,626,1,True,converted,True,True,True,Price
MU,Long,Breakout,2024-03-22,2024-03-22,1,Price,False,1,Price,5,5,True,False,True,2024-03-25,628,1,False,converted,True,True,True,Price
MU,Long,Breakout,2024-03-26,2024-03-27,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2024-04-01,2024-04-01,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2024-04-03,2024-04-03,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2024-05-28,2024-05-28,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
MU,Long,Breakout,2024-05-31,2024-06-03,2,Price,False,1,Price -> Price,5,5,True,False,True,2024-06-05,678,2,True,converted,False,True,True,Price
MU,Long,Breakout,2024-06-06,2024-06-06,1,Price,False,1,Price,5,5,True,False,True,2024-06-12,683,4,True,converted,False,False,True,Price
MU,Long,Breakout,2024-06-10,2024-06-10,1,Volume,False,1,Volume,5,5,True,False,True,2024-06-12,683,2,True,converted,False,True,True,Volume
MU,Long,Breakout,2024-06-18,2024-06-18,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
MU,Long,Breakout,2024-07-05,2024-07-05,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2024-07-31,2024-08-07,6,Price,False,1,Price -> Price -> Price -> Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2024-08-15,2024-08-15,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2024-09-11,2024-09-12,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2024-11-06,2024-11-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2024-12-16,2024-12-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2025-01-06,2025-01-07,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2025-02-18,2025-02-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2025-03-14,2025-03-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2025-06-03,2025-06-03,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2025-06-05,2025-06-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Breakout,2025-06-16,2025-06-16,1,RSI,False,1,RSI,5,5,True,False,True,2025-06-24,940,5,True,converted,False,False,True,RSI
MU,Long,Breakout,2025-06-20,2025-06-20,1,RSI,False,1,RSI,5,5,True,False,True,2025-06-24,940,2,True,converted,False,True,True,RSI
MU,Long,Breakout,2025-06-25,2025-06-27,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2025-07-31,2025-08-01,2,Price,False,1,Price -> Price,5,5,True,False,True,2025-08-08,972,5,True,converted,False,False,True,Price
MU,Long,Breakout,2025-08-20,2025-08-20,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Breakout,2025-09-04,2025-09-12,7,RSI,True,2,Trend -> Trend -> RSI -> RSI -> RSI -> RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> RSI
MU,Long,Breakout,2025-09-18,2025-09-18,1,RSI,False,1,RSI,5,1,False,False,,,,,,censored,False,,,RSI
MU,Long,Squeeze,2021-11-23,2021-11-24,2,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MU,Long,Squeeze,2021-12-21,2021-12-22,2,Release,False,1,Release -> Release,5,5,True,False,True,2021-12-23,64,1,True,converted,True,True,True,Release
MU,Long,Squeeze,2021-12-28,2021-12-29,2,Price,True,2,Price -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price -> Recent Squeeze
MU,Long,Squeeze,2022-01-21,2022-01-25,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Squeeze,2022-02-15,2022-02-16,2,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MU,Long,Squeeze,2022-05-17,2022-05-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Squeeze,2022-11-08,2022-11-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Squeeze,2022-11-10,2022-11-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Squeeze,2023-03-23,2023-03-24,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
MU,Long,Squeeze,2023-05-18,2023-05-19,2,Trend,True,2,Trend -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> Recent Squeeze
MU,Long,Squeeze,2023-05-25,2023-05-26,2,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MU,Long,Squeeze,2023-07-07,2023-07-07,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Squeeze,2023-07-31,2023-07-31,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MU,Long,Squeeze,2023-10-27,2023-10-30,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Squeeze,2023-11-03,2023-11-06,2,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MU,Long,Squeeze,2023-11-10,2023-11-10,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MU,Long,Squeeze,2023-12-15,2023-12-18,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Squeeze,2023-12-21,2023-12-22,2,Recent Squeeze,False,1,Recent Squeeze -> Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
MU,Long,Squeeze,2024-01-22,2024-01-22,1,Release,False,1,Release,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Release
MU,Long,Squeeze,2024-01-24,2024-01-26,3,Price,False,1,Price -> Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
MU,Long,Squeeze,2024-02-27,2024-02-27,1,Recent Squeeze,False,1,Recent Squeeze,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Recent Squeeze
