symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
NKE,Long,Pullback,2021-12-07,2021-12-07,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NKE,Long,Pullback,2021-12-13,2021-12-14,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2021-12-21,62,5,True,converted,False,False,True,Reclaim
NKE,Long,Pullback,2021-12-27,2021-12-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Pullback,2022-12-21,2022-12-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Pullback,2023-02-14,2023-02-14,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NKE,Long,Pullback,2023-03-03,2023-03-03,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Pullback,2023-03-16,2023-03-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Pullback,2023-03-29,2023-03-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Pullback,2023-03-31,2023-03-31,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Pullback,2023-04-10,2023-04-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NKE,Long,Pullback,2023-04-28,2023-05-01,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NKE,Long,Pullback,2023-05-03,2023-05-08,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NKE,Long,Pullback,2025-09-10,2025-09-10,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
