symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
NOW,Long,Pullback,2021-11-29,2021-11-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2021-12-07,2021-12-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2021-12-27,2021-12-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2023-05-11,2023-05-16,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NOW,Long,Pullback,2023-08-04,2023-08-04,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-08-07,469,1,True,converted,True,True,True,Reclaim
NOW,Long,Pullback,2023-08-08,2023-08-08,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NOW,Long,Pullback,2023-08-10,2023-08-16,5,Reclaim,True,2,RSI -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
NOW,Long,Pullback,2023-08-21,2023-08-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2023-08-25,2023-08-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2023-09-28,2023-10-06,7,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-10-09,513,1,True,converted,True,True,True,Reclaim
NOW,Long,Pullback,2023-10-10,2023-10-11,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-10-17,519,4,True,converted,False,False,True,Reclaim
NOW,Long,Pullback,2023-10-18,2023-10-27,8,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-10-30,528,1,True,converted,True,True,True,Reclaim
NOW,Long,Pullback,2023-10-31,2023-11-02,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NOW,Long,Pullback,2024-03-07,2024-03-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2024-03-18,2024-03-18,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2024-04-05,2024-04-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2024-06-05,2024-06-12,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NOW,Long,Pullback,2024-07-19,2024-07-19,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2024-07-25,2024-07-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
NOW,Long,Pullback,2025-01-06,2025-01-14,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2025-01-15,831,1,True,converted,True,True,True,Reclaim
NOW,Long,Pullback,2025-01-16,2025-01-17,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
NOW,Long,Pullback,2025-02-11,2025-02-21,8,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
