symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
PANW,Long,Pullback,2021-10-29,2021-11-01,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2021-11-08,32,5,True,converted,False,False,True,Reclaim
PANW,Long,Pullback,2021-11-03,2021-11-05,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2021-11-08,32,1,True,converted,True,True,True,Reclaim
PANW,Long,Pullback,2021-12-06,2021-12-07,2,Reclaim,True,2,Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
PANW,Long,Pullback,2021-12-15,2021-12-15,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2022-01-12,2022-01-12,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2022-01-24,2022-01-24,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-01-31,89,5,True,converted,False,False,True,Reclaim
PANW,Long,Pullback,2022-02-01,2022-02-02,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2022-02-04,93,2,True,converted,False,True,True,Reclaim
PANW,Long,Pullback,2022-02-07,2022-02-08,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2022-02-09,96,1,True,converted,True,True,True,Reclaim
PANW,Long,Pullback,2022-02-10,2022-02-10,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2022-02-14,2022-02-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2022-02-24,2022-02-24,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2022-02-28,2022-02-28,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2022-04-25,2022-04-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2022-08-10,2022-08-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2022-08-23,2022-08-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2022-10-04,2022-10-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2023-05-05,2023-05-05,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-05-08,407,1,True,converted,True,True,True,Reclaim
PANW,Long,Pullback,2023-05-09,2023-05-09,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2023-05-24,2023-05-25,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2023-08-02,2023-08-02,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2023-08-14,2023-08-18,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-08-21,479,1,True,converted,True,True,True,Reclaim
PANW,Long,Pullback,2023-08-22,2023-08-22,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-08-25,483,3,True,converted,False,True,True,Reclaim
PANW,Long,Pullback,2023-08-24,2023-08-24,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-08-25,483,1,True,converted,True,True,True,Reclaim
PANW,Long,Pullback,2023-08-28,2023-08-28,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2023-09-27,2023-09-27,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-09-28,506,1,True,converted,True,True,True,Reclaim
PANW,Long,Pullback,2023-10-04,2023-10-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2023-10-31,2023-11-08,7,Reclaim,True,2,RSI -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-11-09,536,1,True,converted,True,True,True,RSI -> Reclaim
PANW,Long,Pullback,2024-01-09,2024-01-10,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2024-02-29,2024-03-07,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2024-03-13,2024-04-02,14,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2024-04-09,2024-04-12,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2024-04-16,2024-04-16,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2024-05-02,2024-05-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
PANW,Long,Pullback,2024-05-30,2024-06-03,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
PANW,Long,Pullback,2024-06-07,2024-06-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
