observation_id,symbol,timestamp,direction,forward_return_1,mfe_1,mae_1,complete_1,forward_return_3,mfe_3,mae_3,complete_3,forward_return_5,mfe_5,mae_5,complete_5,forward_return_10,mfe_10,mae_10,complete_10,forward_return_20,mfe_20,mae_20,complete_20,path_horizon,path_complete,target_3_stop_2_target_hit,target_3_stop_2_stop_hit,target_3_stop_2_target_before_stop,target_3_stop_2_stop_before_target,target_3_stop_2_neither,target_3_stop_2_bars_to_target,target_3_stop_2_bars_to_stop,target_3_stop_2_path_status,target_5_stop_3_target_hit,target_5_stop_3_stop_hit,target_5_stop_3_target_before_stop,target_5_stop_3_stop_before_target,target_5_stop_3_neither,target_5_stop_3_bars_to_target,target_5_stop_3_bars_to_stop,target_5_stop_3_path_status,label_end_1,label_end_3,label_end_5,label_end_10,label_end_20
QCOM|2021-09-23T00:00:00|Long,QCOM,2021-09-23,Long,-0.00022402194366721861,0.004779324711716937,-0.008289153759956536,True,-0.029945557881869145,0.004779324711716937,-0.03143907548901392,True,-0.036815830033206765,0.004779324711716937,-0.038906777472827336,True,-0.04532900573683052,0.004779324711716937,-0.06138451942279366,True,-0.0064222282640031825,0.004779324711716937,-0.08767086231128207,True,20,True,False,True,False,True,False,,3,STOP_BEFORE_TARGET,False,True,False,True,False,,3,STOP_BEFORE_TARGET,2021-09-24,2021-09-28,2021-09-30,2021-10-07,2021-10-21
QCOM|2021-09-24T00:00:00|Long,QCOM,2021-09-24,Long,-0.002987818499286532,0.0011950134260927392,-0.013893042594221972,True,-0.03435917191325244,0.0011950134260927392,-0.03727222371654304,True,-0.03861665656100555,0.0011950134260927392,-0.05534809823614417,True,-0.05475053453628698,0.0011950134260927392,-0.061174201842725484,True,-0.016880861093508504,0.0011950134260927392,-0.08746643476833726,True,20,True,False,True,False,True,False,,2,STOP_BEFORE_TARGET,False,True,False,True,False,,2,STOP_BEFORE_TARGET,2021-09-27,2021-09-29,2021-10-01,2021-10-08,2021-10-22
QCOM|2021-09-27T00:00:00|Long,QCOM,2021-09-27,Long,-0.026820512029100074,-0.005543828723859723,-0.028318841027030417,True,-0.03371291687171951,-0.005543828723859723,-0.0358106003318569,True,-0.05094392897826816,-0.005543828723859723,-0.056637682054060834,True,-0.06397957416454181,-0.005543828723859723,-0.0644291185899909,True,-0.011612249785516116,0.001573319752690594,-0.08473177944716037,True,20,True,False,True,False,True,False,,1,STOP_BEFORE_TARGET,False,True,False,True,False,,2,STOP_BEFORE_TARGET,2021-09-28,2021-09-30,2021-10-04,2021-10-11,2021-10-25
QCOM|2021-09-28T00:00:00|Long,QCOM,2021-09-28,Long,-0.004772864867734872,0.011932279635001208,-0.007775169778997726,True,-0.009160794753889423,0.011932279635001208,-0.02640487172397077,True,-0.018244766963392722,0.011932279635001208,-0.03240948154649659,True,-0.053502673401051526,0.011932279635001208,-0.059507283223577345,True,0.015704454509424703,0.029946109102578777,-0.059507283223577345,True,20,True,False,True,False,True,False,,3,STOP_BEFORE_TARGET,False,True,False,True,False,,4,STOP_BEFORE_TARGET,2021-09-29,2021-10-01,2021-10-05,2021-10-12,2021-10-26
QCOM|2021-09-29T00:00:00|Long,QCOM,2021-09-29,Long,-0.00232056818216686,0.013923291064000809,-0.004486400344455799,True,-0.020111374525611958,0.013923291064000809,-0.025990103976467838,True,-0.0094368907195449,0.013923291064000809,-0.02776915510356215,True,-0.03279701348859021,0.013923291064000809,-0.05499691118105243,True,0.01485147112526719,0.03488547764094019,-0.05499691118105243,True,20,True,True,True,False,True,False,16,2,STOP_BEFORE_TARGET,False,True,False,True,False,,8,STOP_BEFORE_TARGET,2021-09-30,2021-10-04,2021-10-06,2021-10-13,2021-10-27
QCOM|2021-09-30T00:00:00|Long,QCOM,2021-09-30,Long,-0.002093262696660436,0.008063332139650603,-0.019460339509842495,True,-0.011242029743164239,0.008063332139650603,-0.02550777946281446,True,-0.008838575185384556,0.01349050667391638,-0.02550777946281446,True,-0.0024809433712933426,0.01349050667391638,-0.052798866368234165,True,0.03651734276543728,0.03760277767229048,-0.052798866368234165,True,20,True,True,True,False,True,False,14,2,STOP_BEFORE_TARGET,False,True,False,True,False,,7,STOP_BEFORE_TARGET,2021-10-01,2021-10-05,2021-10-07,2021-10-14,2021-10-28
QCOM|2021-10-01T00:00:00|Long,QCOM,2021-10-01,Long,-0.015771939265019852,0.008390851650458941,-0.021676702660145875,True,-0.005050183523946705,0.008390851650458941,-0.023463632312401783,True,-0.016781940404301587,0.015616458721071425,-0.023463632312401783,True,0.011576335612252464,0.015616458721071425,-0.05081196646552,True,0.03364141361511641,0.039779308912396116,-0.05081196646552,True,20,True,True,True,False,True,False,12,1,STOP_BEFORE_TARGET,False,True,False,True,False,,7,STOP_BEFORE_TARGET,2021-10-04,2021-10-06,2021-10-08,2021-10-15,2021-10-29
QCOM|2021-10-04T00:00:00|Long,QCOM,2021-10-04,Long,0.006709807957636649,0.016498294618331855,-0.007814949963566464,True,0.009156899509949357,0.031891387005011484,-0.007814949963566464,True,-0.013735379377785129,0.031891387005011484,-0.014209054684413913,True,0.02715499529305876,0.031891387005011484,-0.03560153240737085,True,0.06417743316887092,0.0646510482497773,-0.03560153240737085,True,20,True,True,True,True,False,False,3,6,TARGET_BEFORE_STOP,True,True,False,True,False,13,6,STOP_BEFORE_TARGET,2021-10-05,2021-10-07,2021-10-11,2021-10-18,2021-11-01
QCOM|2021-10-05T00:00:00|Long,QCOM,2021-10-05,Long,0.004155875357719552,0.005802599390318575,-0.011448279608308742,True,-0.007684432972002497,0.025013741644637433,-0.011448279608308742,True,-0.0359131331835173,0.025013741644637433,-0.04202933162124123,True,0.03897123240237921,0.04132364402810973,-0.04202933162124123,True,0.06037792693441313,0.0642985730944221,-0.04202933162124123,True,20,True,True,True,False,True,False,10,4,STOP_BEFORE_TARGET,True,True,False,True,False,19,5,STOP_BEFORE_TARGET,2021-10-06,2021-10-08,2021-10-12,2021-10-19,2021-11-02
QCOM|2021-10-06T00:00:00|Long,QCOM,2021-10-06,Long,-0.0017179542784425683,0.020771542345940475,-0.0036701642172691784,True,-0.024363541907455932,0.020771542345940475,-0.024832112804943463,True,-0.02358266984726909,0.020771542345940475,-0.04599406139261775,True,0.03201629065813205,0.03865373295807939,-0.04599406139261775,True,0.08136809595188099,0.08425744768568277,-0.04599406139261775,True,20,True,True,True,False,True,False,9,3,STOP_BEFORE_TARGET,True,True,False,True,False,18,4,STOP_BEFORE_TARGET,2021-10-07,2021-10-11,2021-10-13,2021-10-20,2021-11-03
