symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
QCOM,Long,Pullback,2021-10-28,2021-10-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
QCOM,Long,Pullback,2022-01-10,2022-01-12,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
QCOM,Long,Pullback,2022-01-19,2022-01-24,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2022-01-31,89,5,True,converted,False,False,True,Reclaim
QCOM,Long,Pullback,2022-01-28,2022-01-28,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-01-31,89,1,True,converted,True,True,True,Reclaim
QCOM,Long,Pullback,2022-02-01,2022-02-03,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
QCOM,Long,Pullback,2022-03-09,2022-03-09,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
QCOM,Long,Pullback,2022-03-22,2022-03-22,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
QCOM,Long,Pullback,2022-08-25,2022-08-25,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
QCOM,Long,Pullback,2023-11-02,2023-11-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
QCOM,Long,Pullback,2024-04-17,2024-04-18,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-04-24,649,4,True,converted,False,False,True,Reclaim
QCOM,Long,Pullback,2024-04-25,2024-05-02,6,Reclaim,True,2,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
