symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
ROKU,Long,Pullback,2023-11-02,2023-11-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ROKU,Long,Pullback,2023-12-21,2023-12-21,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
ROKU,Long,Pullback,2023-12-26,2023-12-27,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ROKU,Long,Pullback,2024-01-02,2024-01-03,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-01-08,575,3,True,converted,False,True,True,Reclaim
ROKU,Long,Pullback,2024-01-09,2024-01-10,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ROKU,Long,Pullback,2024-01-23,2024-01-23,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ROKU,Long,Pullback,2024-02-02,2024-02-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ROKU,Long,Pullback,2024-02-06,2024-02-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ROKU,Long,Pullback,2024-02-08,2024-02-08,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ROKU,Long,Pullback,2024-02-13,2024-02-14,2,Reclaim,True,2,Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
ROKU,Long,Pullback,2024-11-05,2024-11-05,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-11-06,785,1,True,converted,True,True,True,Reclaim
ROKU,Long,Pullback,2024-11-07,2024-11-12,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-11-18,793,4,True,converted,False,False,True,Reclaim
ROKU,Long,Pullback,2024-11-22,2024-11-22,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-12-02,802,5,False,converted,False,False,True,Reclaim
ROKU,Long,Pullback,2024-12-03,2024-12-04,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ROKU,Long,Pullback,2025-01-03,2025-01-03,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
ROKU,Long,Pullback,2025-01-08,2025-01-13,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
ROKU,Long,Pullback,2025-01-21,2025-01-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
