symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
SHOP,Long,Pullback,2023-05-05,2023-05-05,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2023-08-02,2023-08-04,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2023-08-14,2023-08-16,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2023-08-23,2023-08-28,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2023-08-30,2023-08-30,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
SHOP,Long,Pullback,2023-11-02,2023-11-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
SHOP,Long,Pullback,2024-01-08,2024-01-08,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2024-02-02,2024-02-05,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2024-02-13,2024-02-13,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-02-14,601,1,True,converted,True,True,True,Reclaim
SHOP,Long,Pullback,2024-03-13,2024-03-13,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
SHOP,Long,Pullback,2024-04-19,2024-04-25,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2024-05-03,2024-05-03,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
SHOP,Long,Pullback,2024-07-16,2024-07-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
SHOP,Long,Pullback,2024-09-12,2024-09-13,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2024-11-07,2024-11-07,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
SHOP,Long,Pullback,2025-01-10,2025-01-13,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2025-01-21,834,5,True,converted,False,False,True,Reclaim
SHOP,Long,Pullback,2025-01-15,2025-01-15,1,RSI,False,1,RSI,5,5,True,False,True,2025-01-21,834,3,True,converted,False,True,True,RSI
SHOP,Long,Pullback,2025-02-26,2025-02-26,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
