symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
TSLA,Long,Pullback,2021-12-03,2021-12-06,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2021-12-10,2021-12-10,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
TSLA,Long,Pullback,2021-12-21,2021-12-21,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2021-12-22,63,1,True,converted,True,True,True,Reclaim
TSLA,Long,Pullback,2021-12-23,2021-12-28,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2022-01-10,2022-01-10,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
TSLA,Long,Pullback,2022-01-14,2022-01-14,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2022-02-15,2022-02-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2022-03-21,2022-03-22,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2022-04-19,2022-04-25,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2022-05-04,2022-05-04,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2022-09-07,2022-09-07,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2023-08-21,2023-08-29,7,Reclaim,True,2,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
TSLA,Long,Pullback,2023-09-12,2023-09-12,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2023-10-02,2023-10-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2023-10-04,2023-10-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2023-11-15,2023-11-17,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2024-08-13,2024-08-13,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-08-15,727,2,True,converted,False,True,True,Reclaim
TSLA,Long,Pullback,2024-08-16,2024-08-20,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2024-08-23,733,3,True,converted,False,True,True,Reclaim
TSLA,Long,Pullback,2024-08-26,2024-08-27,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2024-08-30,738,3,True,converted,False,True,True,Reclaim
TSLA,Long,Pullback,2024-08-29,2024-08-29,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-08-30,738,1,True,converted,True,True,True,Reclaim
TSLA,Long,Pullback,2024-09-03,2024-09-04,2,Reclaim,True,2,Reclaim -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> Trend
TSLA,Long,Pullback,2024-09-09,2024-09-09,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2024-10-25,2024-10-25,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2024-11-06,2024-11-06,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2025-02-04,2025-02-04,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2025-02-13,2025-02-21,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2025-06-10,2025-06-12,3,Reclaim,True,2,RSI -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
TSLA,Long,Pullback,2025-06-16,2025-06-17,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2025-06-23,2025-06-23,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2025-06-27,2025-06-30,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
TSLA,Long,Pullback,2025-07-10,2025-07-11,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2025-07-14,953,1,True,converted,True,True,True,Reclaim
TSLA,Long,Pullback,2025-07-15,2025-07-16,2,Reclaim,True,2,Reclaim -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> Trend
TSLA,Long,Pullback,2025-07-28,2025-07-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2025-08-06,2025-08-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Pullback,2025-08-22,2025-08-22,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
TSLA,Long,Breakout,2021-10-29,2021-11-01,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
TSLA,Long,Breakout,2021-11-03,2021-11-03,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
TSLA,Long,Breakout,2021-11-23,2021-11-23,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
TSLA,Long,Breakout,2021-12-03,2021-12-03,1,Price,False,1,Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
TSLA,Long,Breakout,2021-12-21,2021-12-22,2,Price,False,1,Price -> Price,5,5,True,False,True,2021-12-23,64,1,True,converted,True,True,True,Price
TSLA,Long,Breakout,2021-12-27,2021-12-27,1,Volume,False,1,Volume,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume
TSLA,Long,Breakout,2022-01-03,2022-01-03,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
