symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
V,Long,Pullback,2022-01-28,2022-01-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2022-04-28,2022-04-28,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2022-11-10,2022-11-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2022-12-21,2022-12-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2022-12-29,2022-12-29,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2023-02-23,2023-02-23,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
V,Long,Pullback,2023-03-06,2023-03-07,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2023-03-17,2023-03-20,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-03-21,374,1,True,converted,True,True,True,Reclaim
V,Long,Pullback,2023-03-22,2023-03-22,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-03-23,376,1,True,converted,True,True,True,Reclaim
V,Long,Pullback,2023-03-24,2023-03-24,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2023-05-05,2023-05-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2023-06-02,2023-06-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2023-06-06,2023-06-06,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2023-06-16,2023-06-16,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2023-06-21,2023-06-21,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2023-06-27,2023-06-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2023-08-01,2023-08-01,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2023-08-03,2023-08-07,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2023-10-02,2023-10-02,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2023-10-04,2023-10-11,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2023-10-13,2023-10-13,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
V,Long,Pullback,2023-11-01,2023-11-01,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2024-04-08,2024-04-08,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2024-04-15,2024-04-18,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2024-04-22,2024-04-29,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2024-05-06,2024-05-06,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2024-05-07,658,1,True,converted,True,True,True,Reclaim
V,Long,Pullback,2024-05-08,2024-05-13,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
V,Long,Pullback,2024-06-04,2024-06-06,3,Reclaim,True,2,Reclaim -> Reclaim -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> Trend
V,Long,Pullback,2024-06-20,2024-06-20,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2024-07-17,2024-07-17,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2024-08-15,2024-08-15,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2024-09-27,2024-09-27,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
V,Long,Pullback,2024-10-01,2024-10-04,4,Reclaim,True,2,RSI -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
V,Long,Pullback,2024-10-09,2024-10-09,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
V,Long,Pullback,2025-01-14,2025-01-16,3,Reclaim,True,2,RSI -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI -> Reclaim
V,Long,Pullback,2025-03-07,2025-03-07,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
