symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
WMT,Long,Pullback,2021-11-22,2021-11-22,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2021-11-23,43,1,True,converted,True,True,True,Reclaim
WMT,Long,Pullback,2021-11-24,2021-11-26,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2021-12-13,2021-12-13,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2021-12-15,2021-12-16,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2022-01-05,2022-01-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2022-01-19,2022-01-19,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2022-05-09,2022-05-09,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
WMT,Long,Pullback,2022-12-22,2023-01-05,9,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2023-01-06,324,1,True,converted,True,True,True,Reclaim
WMT,Long,Pullback,2023-01-09,2023-01-09,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-02-10,2023-02-10,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2023-03-20,2023-03-21,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-06-01,2023-06-01,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-06-02,425,1,True,converted,True,True,True,Reclaim
WMT,Long,Pullback,2023-06-05,2023-06-06,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-08-17,2023-08-17,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2023-08-18,478,1,True,converted,True,True,True,Reclaim
WMT,Long,Pullback,2023-08-25,2023-08-30,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-10-04,2023-10-04,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
WMT,Long,Pullback,2023-10-11,2023-10-12,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-10-13,517,1,True,converted,True,True,True,Reclaim
WMT,Long,Pullback,2023-10-17,2023-10-18,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-10-23,523,3,True,converted,False,True,True,Reclaim
WMT,Long,Pullback,2023-11-16,2023-11-17,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-11-28,2023-11-30,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-12-05,2023-12-05,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-12-19,2023-12-19,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2023-12-27,2023-12-27,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
WMT,Long,Pullback,2024-04-22,2024-04-22,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2024-04-24,2024-04-24,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2024-05-02,2024-05-02,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2024-08-12,2024-08-16,5,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2025-01-06,2025-01-06,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2025-01-16,2025-01-21,3,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2025-02-21,2025-02-21,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2025-02-25,2025-02-25,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
WMT,Long,Pullback,2025-02-28,2025-03-12,9,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2025-03-17,2025-03-24,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2025-04-09,2025-04-09,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2025-04-10,890,1,True,converted,True,True,True,Reclaim
WMT,Long,Pullback,2025-04-11,2025-04-16,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Pullback,2025-06-20,2025-06-20,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2025-07-24,2025-07-24,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Pullback,2025-09-02,2025-09-02,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2025-09-03,989,1,True,converted,True,True,True,Reclaim
WMT,Long,Pullback,2025-09-04,2025-09-05,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
WMT,Long,Breakout,2021-11-22,2021-11-23,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
WMT,Long,Breakout,2021-11-29,2021-11-30,2,Price,False,1,Price -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Price
WMT,Long,Breakout,2021-12-14,2021-12-16,3,Trend,True,3,Trend -> Volume -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend -> Volume -> Price
WMT,Long,Breakout,2022-03-30,2022-03-30,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
WMT,Long,Breakout,2022-04-01,2022-04-04,2,Volume,True,2,Volume -> Price,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Volume -> Price
WMT,Long,Breakout,2022-04-06,2022-04-07,2,RSI,False,1,RSI -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
