observation_id,symbol,timestamp,direction,forward_return_1,mfe_1,mae_1,complete_1,forward_return_3,mfe_3,mae_3,complete_3,forward_return_5,mfe_5,mae_5,complete_5,forward_return_10,mfe_10,mae_10,complete_10,forward_return_20,mfe_20,mae_20,complete_20,path_horizon,path_complete,target_3_stop_2_target_hit,target_3_stop_2_stop_hit,target_3_stop_2_target_before_stop,target_3_stop_2_stop_before_target,target_3_stop_2_neither,target_3_stop_2_bars_to_target,target_3_stop_2_bars_to_stop,target_3_stop_2_path_status,target_5_stop_3_target_hit,target_5_stop_3_stop_hit,target_5_stop_3_target_before_stop,target_5_stop_3_stop_before_target,target_5_stop_3_neither,target_5_stop_3_bars_to_target,target_5_stop_3_bars_to_stop,target_5_stop_3_path_status,label_end_1,label_end_3,label_end_5,label_end_10,label_end_20
XOM|2021-09-23T00:00:00|Long,XOM,2021-09-23,Long,0.008934798619010031,0.012964222845678552,-0.007007734986814285,True,0.04975466444966914,0.059565480065066456,-0.007007734986814285,True,0.030483493482000412,0.059565480065066456,-0.007007734986814285,True,0.06271895412606154,0.0984582822635296,-0.007007734986814285,True,0.09828305213196664,0.11895579682928359,-0.007007734986814285,True,20,True,True,False,True,False,False,2,,TARGET_BEFORE_STOP,True,False,True,False,False,3,,TARGET_BEFORE_STOP,2021-09-24,2021-09-28,2021-09-30,2021-10-07,2021-10-21
XOM|2021-09-24T00:00:00|Long,XOM,2021-09-24,Long,0.02969263899881791,0.03837470183394931,0.02135786662575745,True,0.03976386368223417,0.05018231258883876,0.02135786662575745,True,0.057996182388233564,0.05903805377444726,0.021184254514163392,True,0.0797013394760624,0.08873069277326495,0.021184254514163392,True,0.09602359376011171,0.10904668801280892,0.021184254514163392,True,20,True,True,False,True,False,False,1,,TARGET_BEFORE_STOP,True,False,True,False,False,2,,TARGET_BEFORE_STOP,2021-09-27,2021-09-29,2021-10-01,2021-10-08,2021-10-22
XOM|2021-09-27T00:00:00|Long,XOM,2021-09-27,Long,0.010455294095472523,0.019898824963868078,0.0035412999523516397,True,-0.00809442746057143,0.019898824963868078,-0.008263033222153937,True,0.040809477483604306,0.04671164407085704,-0.008263033222153937,True,0.03811133499674724,0.06340644493432968,-0.008263033222153937,True,0.08516019059076929,0.08634062390821984,-0.008263033222153937,True,20,True,True,False,True,False,False,5,,TARGET_BEFORE_STOP,True,False,True,False,False,6,,TARGET_BEFORE_STOP,2021-09-28,2021-09-30,2021-10-04,2021-10-11,2021-10-25
XOM|2021-09-28T00:00:00|Long,XOM,2021-09-28,Long,-0.0006675083787103242,0.004506015787957729,-0.014519341763525984,True,0.016855843910120738,0.017857201972947268,-0.018524646688483637,True,0.028371175148341532,0.04639523830017289,-0.018524646688483637,True,0.022029431739962968,0.05240325935078327,-0.018524646688483637,True,0.09879837032460825,0.1004673640924929,-0.018524646688483637,True,20,True,True,False,True,False,False,4,,TARGET_BEFORE_STOP,True,False,True,False,False,9,,TARGET_BEFORE_STOP,2021-09-29,2021-10-01,2021-10-05,2021-10-12,2021-10-26
XOM|2021-09-29T00:00:00|Long,XOM,2021-09-29,Long,-0.01770209342657214,0.004842970869359142,-0.017869066061088845,True,0.030728124912603683,0.03657312270615698,-0.017869066061088845,True,0.010187050759362437,0.047094182440250654,-0.017869066061088845,True,0.01987305620377877,0.05310621657401837,-0.017869066061088845,True,0.07097521892940928,0.10120242593846296,-0.017869066061088845,True,20,True,True,False,True,False,False,3,,TARGET_BEFORE_STOP,True,False,True,False,False,8,,TARGET_BEFORE_STOP,2021-09-30,2021-10-04,2021-10-06,2021-10-13,2021-10-27
XOM|2021-09-30T00:00:00|Long,XOM,2021-09-30,Long,0.03587216289185435,0.036892247448167215,0.010030604482301753,True,0.04760284344759924,0.06596397633875961,0.010030604482301753,True,0.03128187966906437,0.06596397633875961,0.010030604482301753,True,0.05406324926342365,0.07208435396914648,0.010030604482301753,True,0.09333556430216405,0.12104731015849612,0.010030604482301753,True,20,True,True,False,True,False,False,1,,TARGET_BEFORE_STOP,True,False,True,False,False,2,,TARGET_BEFORE_STOP,2021-10-01,2021-10-05,2021-10-07,2021-10-14,2021-10-28
XOM|2021-10-01T00:00:00|Long,XOM,2021-10-01,Long,0.012965713303307425,0.01870998496534715,0.00032825303895456237,True,-0.007221379033402142,0.0290497365648843,-0.019366491043256162,True,0.02051534537566413,0.0290497365648843,-0.019366491043256162,True,0.027244376154567318,0.03512226126587836,-0.019366491043256162,True,0.058099473129768375,0.08222553932606647,-0.019366491043256162,True,20,True,True,False,True,False,False,6,,TARGET_BEFORE_STOP,True,False,True,False,False,16,,TARGET_BEFORE_STOP,2021-10-04,2021-10-06,2021-10-08,2021-10-15,2021-10-29
XOM|2021-10-04T00:00:00|Long,XOM,2021-10-04,Long,-0.001620257401822811,0.015878151698862863,-0.011341554586759228,True,-0.017174357620321157,0.015878151698862863,-0.03191836004115822,True,-0.0025923500364163354,0.021710954732424792,-0.03191836004115822,True,0.013609853142811046,0.023007098847382945,-0.03191836004115822,True,0.06335055015201929,0.0706416157504719,-0.03191836004115822,True,20,True,True,True,False,True,False,11,2,STOP_BEFORE_TARGET,True,True,False,True,False,16,2,STOP_BEFORE_TARGET,2021-10-05,2021-10-07,2021-10-11,2021-10-18,2021-11-01
XOM|2021-10-05T00:00:00|Long,XOM,2021-10-05,Long,-0.0183381576274787,-0.008114248761229348,-0.03034727303309237,True,0.009087980899026737,0.012982785636606042,-0.03034727303309237,True,-0.006166784485634569,0.023369076052695892,-0.03034727303309237,True,0.03050959267612785,0.03229473730868704,-0.03034727303309237,True,0.05193120445322896,0.0723791459993377,-0.03034727303309237,True,20,True,True,True,False,True,False,10,1,STOP_BEFORE_TARGET,True,True,False,True,False,15,1,STOP_BEFORE_TARGET,2021-10-06,2021-10-08,2021-10-12,2021-10-19,2021-11-02
XOM|2021-10-06T00:00:00|Long,XOM,2021-10-06,Long,0.002810351532951394,0.009753680545820265,-0.005786118021268827,True,0.01768886865819219,0.0424863551580803,-0.005786118021268827,True,0.009588328653723499,0.0424863551580803,-0.005786118021268827,True,0.05554631678660349,0.05587695750752775,-0.005786118021268827,True,0.056868879670300077,0.092411968878781,-0.005786118021268827,True,20,True,True,False,True,False,False,2,,TARGET_BEFORE_STOP,True,False,True,False,False,9,,TARGET_BEFORE_STOP,2021-10-07,2021-10-11,2021-10-13,2021-10-20,2021-11-03
