symbol,direction,module,event_start,event_end,duration_bars,dominant_blocker,blocker_changed,unique_blocker_count,blocker_sequence,max_followup_bars,observed_followup_bars,followup_complete,event_open_at_data_end,converted,conversion_time,conversion_bar_position,bars_to_conversion,final_signal_at_conversion,status,converted_within_1_bar,converted_within_3_bars,converted_within_5_bars,blocker_transition_path
XOM,Long,Pullback,2021-11-23,2021-12-06,9,Reclaim,True,2,RSI -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2021-12-07,52,1,True,converted,True,True,True,RSI -> Reclaim
XOM,Long,Pullback,2021-12-08,2021-12-09,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
XOM,Long,Pullback,2021-12-27,2021-12-27,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
XOM,Long,Pullback,2022-03-21,2022-03-21,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
XOM,Long,Pullback,2022-04-28,2022-04-29,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
XOM,Long,Pullback,2022-05-09,2022-05-09,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
XOM,Long,Pullback,2022-06-27,2022-06-27,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-06-28,191,1,True,converted,True,True,True,Reclaim
XOM,Long,Pullback,2022-06-29,2022-07-19,14,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,True,2022-07-20,206,1,True,converted,True,True,True,Reclaim
XOM,Long,Pullback,2022-07-21,2022-07-25,3,Reclaim,True,2,Reclaim -> Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
XOM,Long,Pullback,2022-10-03,2022-10-04,2,Trend,False,1,Trend -> Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
XOM,Long,Pullback,2022-12-12,2022-12-12,1,Reclaim,False,1,Reclaim,5,5,True,False,True,2022-12-13,308,1,True,converted,True,True,True,Reclaim
XOM,Long,Pullback,2022-12-14,2022-12-20,5,Reclaim,True,2,Reclaim -> Reclaim -> Reclaim -> Reclaim -> RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim -> RSI
XOM,Long,Pullback,2022-12-23,2022-12-23,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
XOM,Long,Pullback,2023-01-05,2023-01-05,1,Trend,False,1,Trend,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Trend
XOM,Long,Pullback,2023-03-01,2023-03-02,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,True,2023-03-03,362,1,True,converted,True,True,True,Reclaim
XOM,Long,Pullback,2023-03-08,2023-03-08,1,Reclaim,False,1,Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
XOM,Long,Pullback,2023-03-20,2023-03-27,6,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
XOM,Long,Pullback,2023-03-29,2023-03-29,1,RSI,False,1,RSI,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,RSI
XOM,Long,Pullback,2023-05-02,2023-05-05,4,Reclaim,False,1,Reclaim -> Reclaim -> Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
XOM,Long,Pullback,2023-05-18,2023-05-19,2,Reclaim,False,1,Reclaim -> Reclaim,5,5,True,False,False,,,,,not_converted_within_window,False,False,False,Reclaim
