partition,module_mask,horizon,modules,status,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
discovery,3,1,Pullback + Breakout,DESCRIPTIVE ONLY,38,38,0,26,5,0.0027812143144387174,0.002230668031273142,-0.016290271374728292,0.025720608871758588,20,18,0.5263157894736842,0.002418628720918064,0.015695112941366746,0.011322998317312205,-0.014107655467105441,-0.01230503751217138,0.0014726945740045267,0.0040032359799476004,0.0013085197404341907,-0.0005497019302090202,0.005780623730724715,0.0033309162446477376,-0.0021695992304214345,0.007170147382113486,0.004950813544860152,38,19,19,0,0,0,0.5,37,13,22,2,0,1,0.35135135135135137
discovery,3,3,Pullback + Breakout,DESCRIPTIVE ONLY,38,38,0,26,5,0.0049291853017072555,0.0045879672005590955,-0.02831276080388819,0.03953760256695579,21,17,0.5526315789473685,0.005372927063034428,0.03196213762869404,0.025748201379160784,-0.024818852399096786,-0.019560813414776113,0.002264745076359644,0.0076192646863350935,0.0026644402253476114,-0.0011976873432916805,0.011461764699919606,0.006126872644998936,-0.0037816527268652793,0.013962272191727026,0.008710838028572535,38,19,19,0,0,0,0.5,37,13,22,2,0,1,0.35135135135135137
discovery,3,5,Pullback + Breakout,DESCRIPTIVE ONLY,38,38,0,26,5,0.00430356568781943,0.005485314936652941,-0.03663130820694464,0.055785687955335964,22,16,0.5789473684210527,0.005921432620326069,0.03792258871131458,0.03506672361789598,-0.03313604452784523,-0.023419722633855833,0.0012780328048944479,0.008009951329670015,0.0030255328829249823,-0.0029888910312299423,0.013075215030874873,0.007292456719049373,-0.006561144755633085,0.016160077634059574,0.010864710443452516,38,19,19,0,0,0,0.5,37,13,22,2,0,1,0.35135135135135137
discovery,3,10,Pullback + Breakout,DESCRIPTIVE ONLY,38,37,1,26,5,0.026565865243747443,0.02834756591435572,-0.049704177073705225,0.11604306853812812,25,12,0.6756756756756757,0.02925418913992362,0.06559083556845616,0.06312803291294311,-0.046244573519589494,-0.03303044648848685,0.021805867814312284,0.03554515126512864,0.0047599974294351595,0.013381426460194242,0.04220142287381422,0.013184438783553201,0.006717010453478497,0.04796919123288866,0.019848854790268947,38,19,19,0,0,0,0.5,37,13,22,2,0,1,0.35135135135135137
discovery,3,20,Pullback + Breakout,DESCRIPTIVE ONLY,38,37,1,26,5,0.029959974401680696,0.028666687011718706,-0.07704402385985634,0.1805376753996993,24,13,0.6486486486486487,0.028369017658534702,0.09754202274772053,0.08165475593267635,-0.06095946058333539,-0.049727003339897546,0.02235051556167495,0.03831541629717891,0.007609458840005745,0.011130978067634509,0.04733839252874083,0.018828996334046187,0.000518327336644496,0.05515202691870823,0.0294416470650362,38,19,19,0,0,0,0.5,37,13,22,2,0,1,0.35135135135135137
discovery,5,1,Pullback + Squeeze,LOW SAMPLE,1,1,0,1,1,-0.0031807556619213306,-0.0031807556619213306,-0.0031807556619213306,-0.0031807556619213306,0,1,0.0,-0.0031807556619213306,0.00753328464621239,0.00753328464621239,-0.010881418251233232,-0.010881418251233232,,,,,,,,,,1,1,0,0,0,0,1.0,1,1,0,0,0,0,1.0
discovery,5,3,Pullback + Squeeze,LOW SAMPLE,1,1,0,1,1,0.013727290306281947,0.013727290306281947,0.013727290306281947,0.013727290306281947,1,0,1.0,0.013727290306281947,0.015736144925159623,0.015736144925159623,-0.010881418251233232,-0.010881418251233232,,,,,,,,,,1,1,0,0,0,0,1.0,1,1,0,0,0,0,1.0
discovery,5,5,Pullback + Squeeze,LOW SAMPLE,1,1,0,1,1,0.041098150017127244,0.041098150017127244,0.041098150017127244,0.041098150017127244,1,0,1.0,0.041098150017127244,0.053653603140702444,0.053653603140702444,-0.010881418251233232,-0.010881418251233232,,,,,,,,,,1,1,0,0,0,0,1.0,1,1,0,0,0,0,1.0
discovery,5,10,Pullback + Squeeze,LOW SAMPLE,1,1,0,1,1,0.047375876578914955,0.047375876578914955,0.047375876578914955,0.047375876578914955,1,0,1.0,0.047375876578914955,0.10847904346411164,0.10847904346411164,-0.010881418251233232,-0.010881418251233232,,,,,,,,,,1,1,0,0,0,0,1.0,1,1,0,0,0,0,1.0
discovery,5,20,Pullback + Squeeze,LOW SAMPLE,1,1,0,1,1,0.061186887786914834,0.061186887786914834,0.061186887786914834,0.061186887786914834,1,0,1.0,0.061186887786914834,0.10847904346411164,0.10847904346411164,-0.010881418251233232,-0.010881418251233232,,,,,,,,,,1,1,0,0,0,0,1.0,1,1,0,0,0,0,1.0
discovery,6,1,Breakout + Squeeze,DESCRIPTIVE ONLY,144,144,0,45,5,0.005264517712169881,0.005298488679947866,-0.02076671084335714,0.03229415577376199,83,61,0.5763888888888888,0.0036736365288914537,0.020459056650233502,0.014004563155113559,-0.010860713461969759,-0.009841216010069875,0.0038303065445243673,0.0057831770922628645,0.0014342111676455137,0.002717097128085129,0.006633692425303012,0.0025474205840847522,0.0018675052473437893,0.007346959625558599,0.0033970124648260917,141,70,71,0,3,0,0.49645390070921985,144,64,77,3,0,0,0.4444444444444444
discovery,6,3,Breakout + Squeeze,DESCRIPTIVE ONLY,144,144,0,45,5,0.011860718221988278,0.006175033245558792,-0.04174400686125903,0.06815363849929973,86,58,0.5972222222222222,0.00797142483194755,0.0396216189950879,0.029462634336212656,-0.02322424503842109,-0.016742083630646498,0.009698546044233688,0.012794408679954346,0.0021621721777545892,0.007222621476069009,0.014214916125574443,0.004638096745919269,0.005527272509822719,0.015439944263153907,0.006333445712165558,141,70,71,0,3,0,0.49645390070921985,144,64,77,3,0,0,0.4444444444444444
discovery,6,5,Breakout + Squeeze,DESCRIPTIVE ONLY,144,144,0,45,5,0.009025114298686937,0.0055069744464383286,-0.04515852530206582,0.06360982553698438,80,64,0.5555555555555556,0.006019742731599849,0.049277989800316266,0.033653503103514115,-0.029950287611509942,-0.02469990523902682,0.007372885840731159,0.00983703714149611,0.0016522284579557778,0.005189088985095406,0.011306674791908843,0.003836025313591531,0.0033625255154648144,0.012704876675175647,0.005662588783222122,141,70,71,0,3,0,0.49645390070921985,144,64,77,3,0,0,0.4444444444444444
discovery,6,10,Breakout + Squeeze,DESCRIPTIVE ONLY,144,144,0,45,5,0.009562861390623166,0.008243976961049615,-0.08780254183405904,0.09767248719037566,81,63,0.5625,0.007026507186546845,0.06491614059997344,0.044175389292382294,-0.04818594212966465,-0.031253520783908584,0.007746968731347751,0.011359062515478136,0.001815892659275415,0.004484387450166872,0.014387689014751853,0.0050784739404562945,0.0014286811288868617,0.016691852274135038,0.008134180261736304,141,70,71,0,3,0,0.49645390070921985,144,64,77,3,0,0,0.4444444444444444
discovery,6,20,Breakout + Squeeze,DESCRIPTIVE ONLY,144,144,0,45,5,0.04141616265561275,0.029624748941617818,-0.1191950073764871,0.20637970082775378,91,53,0.6319444444444444,0.031494456314041554,0.11404910346633258,0.07123069293272921,-0.06594458721303889,-0.0444792931502721,0.0372775349432764,0.04356670623674654,0.0041386277123363485,0.03128228484134235,0.04780424054163338,0.0101338778142704,0.026642883685013483,0.05136181298447035,0.014773278970599268,141,70,71,0,3,0,0.49645390070921985,144,64,77,3,0,0,0.4444444444444444
discovery,7,1,Pullback + Breakout + Squeeze,LOW SAMPLE,3,3,0,3,2,-0.00238528315464126,-0.0020160158994940724,-0.010858362108959806,0.005940088897618412,1,2,0.3333333333333333,-0.00238528315464126,0.010853820690713242,0.009586980984752413,-0.012778207372114325,-0.009358575008220016,-0.0075424822804101566,0.0029565495987012302,0.0051571991257688965,,,,,,,3,1,2,0,0,0,0.3333333333333333,3,1,2,0,0,0,0.3333333333333333
discovery,7,3,Pullback + Breakout + Squeeze,LOW SAMPLE,3,3,0,3,2,0.0031157844845635476,0.01794857327073185,-0.027105941551349932,0.027404395006009708,2,1,0.6666666666666666,0.0031157844845635476,0.020006003602106432,0.021985173687656623,-0.022966218089925088,-0.009358575008220016,-0.010210498493069264,0.02385846185528051,0.013326282977632812,,,,,,,3,1,2,0,0,0,0.3333333333333333,3,1,2,0,0,0,0.3333333333333333
discovery,7,5,Pullback + Breakout + Squeeze,LOW SAMPLE,3,3,0,3,2,0.003225620045793668,0.0044055544546943715,-0.005339371352135025,0.01131863768016208,2,1,0.6666666666666666,0.003225620045793668,0.021789778419786243,0.021985173687656623,-0.022966218089925088,-0.009358575008220016,-0.0016850241745740013,0.00872623147061169,0.004910644220367669,,,,,,,3,1,2,0,0,0,0.3333333333333333,3,1,2,0,0,0,0.3333333333333333
discovery,7,10,Pullback + Breakout + Squeeze,LOW SAMPLE,3,3,0,3,2,0.008075856080650015,-0.0035319703702531013,-0.02417669113809138,0.04497153387975266,1,2,0.3333333333333333,0.008075856080650015,0.032868305558175916,0.021985173687656623,-0.033743166858777394,-0.03409497493843083,-0.016434920850152024,0.026782719786000497,0.024510776930802038,,,,,,,3,1,2,0,0,0,0.3333333333333333,3,1,2,0,0,0,0.3333333333333333
discovery,7,20,Pullback + Breakout + Squeeze,LOW SAMPLE,3,3,0,3,2,0.06635917137170284,0.07021945130056095,-0.012655394777661887,0.14382962554952433,2,1,0.6666666666666666,0.06635917137170284,0.0925151171518482,0.08104553414613758,-0.03900519263751223,-0.04988105227463535,0.018422672501671677,0.11622581020616307,0.047936498870031166,,,,,,,3,1,2,0,0,0,0.3333333333333333,3,1,2,0,0,0,0.3333333333333333
