feature,bin,group,group_value,observations,complete,median_feature,mean,median,positive_rate,mean_mfe,mean_mae
rsi,1,year,2022,1,1,35.05180171797977,-0.058616309046247705,-0.058616309046247705,0.0,0.03130714161338455,-0.07298233880817462
rsi,1,year,2023,3,3,34.68536726042723,0.08346699810075675,0.0788216611635868,1.0,0.08726283339816783,-0.010078648408791838
rsi,1,year,2024,4,4,35.14843716299613,0.03241935793688078,0.012554590783667607,0.75,0.08695861817732092,-0.042029612405689976
rsi,1,year,2025,2,2,33.58360864263402,-0.03006155350682027,-0.03006155350682027,0.5,0.05386468626913843,-0.0913382179051937
rsi,1,symbol,AAPL,1,1,33.03263622142154,0.0788216611635868,0.0788216611635868,1.0,0.08041401094252354,-0.0001136772866706659
rsi,1,symbol,AMD,1,1,35.64007085509705,0.014185252135774373,0.014185252135774373,1.0,0.06580408965998874,-0.07296250278204586
rsi,1,symbol,CVX,1,1,35.05180171797977,-0.058616309046247705,-0.058616309046247705,0.0,0.03130714161338455,-0.07298233880817462
rsi,1,symbol,GOOGL,1,1,34.66455569974603,0.010923929431560842,0.010923929431560842,1.0,0.04079491859624795,-0.026661680540490562
rsi,1,symbol,HOOD,1,1,33.69988014498247,0.12182740570672701,0.12182740570672701,1.0,0.15228431092214767,-0.01015230173847359
rsi,1,symbol,JPM,1,1,32.05094074585027,0.044785766446261865,0.044785766446261865,1.0,0.09563756450718008,-0.008518308839883026
rsi,1,symbol,NOW,1,1,35.11627653941777,-0.10490887345990241,-0.10490887345990241,0.0,0.012091808031096773,-0.17415812697050437
rsi,1,symbol,UBER,1,1,35.63231862624623,-0.017259155526539116,-0.017259155526539116,0.0,0.08895115353089933,-0.05834196456174989
rsi,1,symbol,V,1,1,35.36327809572741,0.03805077566994153,0.03805077566994153,1.0,0.04081810121076024,-0.015090610233450152
rsi,1,symbol,XOM,1,1,34.68536726042723,0.13352855746874193,0.13352855746874193,1.0,0.14055638804121973,-0.015031657706254697
rsi,2,year,2022,1,1,36.57168568706038,-0.017756497892935763,-0.017756497892935763,0.0,0.02985079008828384,-0.03193973556297347
rsi,2,year,2023,2,2,36.35755920357266,0.14341713774365772,0.14341713774365772,1.0,0.15687095862082112,-0.014709701397007557
rsi,2,year,2024,3,3,36.95145645772052,-0.02935923936381409,-0.04480499219968803,0.3333333333333333,0.002045515502027769,-0.05020319908604587
rsi,2,year,2025,3,3,36.38391859814168,-0.01282044794394821,0.0037731744169806625,0.6666666666666666,0.05543315316259512,-0.04895866923347736
rsi,2,symbol,ABNB,2,2,36.35755920357266,0.14341713774365772,0.14341713774365772,1.0,0.15687095862082112,-0.014709701397007557
rsi,2,symbol,AMZN,1,1,36.3107071075325,-0.06152815937159217,-0.06152815937159217,0.0,-0.012430391295372045,-0.09109231940843121
rsi,2,symbol,CAT,1,1,36.54723196745969,-0.045079867764082904,-0.045079867764082904,0.0,0.00889623459072797,-0.0483445851869404
rsi,2,symbol,COP,1,1,36.95145645772052,-0.04480499219968803,-0.04480499219968803,0.0,-0.010928004643310119,-0.06565230008994805
rsi,2,symbol,CRM,1,1,37.07014717661777,0.0018071418723286659,0.0018071418723286659,1.0,0.008168316558665456,-0.03661271198124916
rsi,2,symbol,HD,1,1,36.57168568706038,-0.017756497892935763,-0.017756497892935763,0.0,0.02985079008828384,-0.03193973556297347
rsi,2,symbol,SHOP,1,1,37.245093988410446,0.01929364112276688,0.01929364112276688,1.0,0.17026886437204602,-0.020453293022888452
