feature,bin,horizon,median_feature,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
rsi,1,1,34.8685844892035,10,10,0,10,4,0.007111013880333405,0.009013244491852812,-0.011802644479691083,0.018934365118847732,7,3,0.7,0.006075210054559382,0.021264052791653,0.016138182457135497,-0.006660163668760932,-0.009335305289178308,0.002923084015390049,0.01037822923347763,0.0041879298649433565,-0.00017978407041736272,0.015360237294876233,0.007290797950750768,-0.004419279536010845,0.018641307296677657,0.011530293416344251,10,8,2,0,0,0,0.8,10,5,4,1,0,0,0.5
rsi,1,3,34.8685844892035,10,10,0,10,4,0.013825076365106426,0.011350818582277045,-0.02037572114706788,0.04000531964108635,8,2,0.8,0.014621944866913886,0.0389228794388037,0.0371203282061372,-0.015979770286865293,-0.012621455985961871,0.00926393289315439,0.01909454739422065,0.004561143471952037,0.0016188881989109996,0.026812320429600085,0.012206188166195427,-0.006101819154593513,0.033751971884806366,0.01992689551969994,10,8,2,0,0,0,0.8,10,5,4,1,0,0,0.5
rsi,1,5,34.8685844892035,10,10,0,10,4,0.016739370301143763,0.01922267412194112,-0.02833145263322686,0.04637857119000503,6,4,0.6,0.012251901480174868,0.0493016341676944,0.03751067646913364,-0.02944837119750173,-0.020876145386970357,0.00719364926100605,0.022296230167086904,0.009545721040137713,-0.002131478038746756,0.03556471762774046,0.018870848339890518,-0.014471543618399085,0.04795028422068661,0.031210913919542848,10,8,2,0,0,0,0.8,10,5,4,1,0,0,0.5
rsi,1,10,34.8685844892035,10,10,0,10,4,0.02613390099899051,0.02611801390285795,-0.06324556548761318,0.1229975208829285,7,3,0.7,0.0290899157476332,0.07486594870554486,0.07310905030125614,-0.04540131694676974,-0.020876145386970357,0.014201161391240355,0.04069420927220083,0.011932739607750155,-0.010405516335592946,0.06316047828894204,0.036539417334583456,-0.031135031293070804,0.08340283329105183,0.057268932292061314,10,8,2,0,0,0,0.8,10,5,4,1,0,0,0.5
rsi,1,20,34.8685844892035,10,10,0,10,4,0.009923995236951488,0.012001266584190762,-0.07268896695198898,0.08737524412225957,6,4,0.6,0.008448342033382905,0.08669035400848897,0.08468258223671143,-0.06754336047061044,-0.07141904232242752,-0.0046883279697764,0.02322462670717397,0.014612323206727888,-0.02740136222170226,0.04738956350841195,0.03732535745865374,-0.04527095278442337,0.06511894325832635,0.055194948021374854,10,8,2,0,0,0,0.8,10,5,4,1,0,0,0.5
rsi,2,1,36.554254969086315,9,9,0,8,4,-0.00845488409673139,-0.0017709637391424282,-0.03230221926672008,0.010278975089006262,3,6,0.3333333333333333,-0.00845488409673139,0.004971168938273392,0.0025154496113204416,-0.02001592779534516,-0.010066142866133276,-0.011804836189952705,-0.004916330638008587,0.003349952093221316,-0.017600478285718497,0.002206255916827956,0.009145594188987107,-0.025651904046323448,0.007071155763463427,0.01719701994959206,9,2,7,0,0,0,0.2222222222222222,9,3,6,0,0,0,0.3333333333333333
rsi,2,3,36.554254969086315,9,9,0,8,4,-0.005407850795771774,-0.012405793366517925,-0.029943355319441388,0.044760752177796945,2,7,0.2222222222222222,-0.005407850795771774,0.01705533542742832,0.005744746851147342,-0.03219083763576885,-0.024022681159769244,-0.014900387955773309,0.0022071109842775605,0.009492537160001535,-0.02481380857553639,0.009798253847435434,0.019405957779764615,-0.03158149127462573,0.02251527532576872,0.026173640478853955,9,2,7,0,0,0,0.2222222222222222,9,3,6,0,0,0,0.3333333333333333
rsi,2,5,36.554254969086315,9,9,0,8,4,0.00582136157771022,0.0003429999955510965,-0.047607632816773535,0.06361909850390411,5,4,0.5555555555555556,0.00582136157771022,0.024065281781504317,0.008168316558665456,-0.03519394365393934,-0.030070867227354192,-0.00578623543768611,0.01357870823433592,0.01160759701539633,-0.023637706920063322,0.030342395810789808,0.029459068497773543,-0.03772065446587375,0.05073296801683397,0.043542016043583966,9,2,7,0,0,0,0.2222222222222222,9,3,6,0,0,0,0.3333333333333333
rsi,2,10,36.554254969086315,9,9,0,8,4,0.015837635074565863,0.0018071418723286659,-0.04836952608558476,0.12672475042202752,5,4,0.5555555555555556,0.015837635074565863,0.05733652370264386,0.00889623459072797,-0.039871638146173144,-0.03533039526911241,-0.0035873834510769115,0.02550835938033562,0.019425018525642775,-0.027264866823164924,0.048991955834409316,0.04310250189773079,-0.04229237930707472,0.07747527275676575,0.05813001438164058,9,2,7,0,0,0,0.2222222222222222,9,3,6,0,0,0,0.3333333333333333
rsi,2,20,36.554254969086315,9,9,0,8,4,-0.0018853942722071675,0.025589190679718765,-0.12014836477783508,0.0837007616290149,5,4,0.5555555555555556,-0.0018853942722071675,0.09152675081415462,0.09124174983384292,-0.09000692768483085,-0.08746857541686237,-0.012872162865225939,0.014247360173926651,0.010986768593018772,-0.04344531747719856,0.048449987025667475,0.0415599232049914,-0.0881603895812279,0.07752095479883209,0.08627499530902073,9,2,7,0,0,0,0.2222222222222222,9,3,6,0,0,0,0.3333333333333333
rsi,3,1,38.18313347664818,9,9,0,8,4,-0.002004022190536562,0.0018319732138560862,-0.026537524558849435,0.018018699467373046,5,4,0.5555555555555556,-0.002004022190536562,0.011181322507251408,0.008745560937499564,-0.014069089802246982,-0.009951452422809592,-0.004962346565780179,0.0010683739617151772,0.002958324375243617,-0.011096786805218603,0.008641778662014895,0.009092764614682041,-0.01915604891546968,0.014189005683298395,0.017152026724933118,9,5,4,0,0,0,0.5555555555555556,9,3,4,2,0,0,0.3333333333333333
rsi,3,3,38.18313347664818,9,9,0,8,4,0.024601286357271695,0.013926136163409097,-0.033869129776847084,0.06764053123146062,7,2,0.7777777777777778,0.024601286357271695,0.04033188534342629,0.02322461330696801,-0.022710308121426975,-0.009951452422809592,0.012153488789776373,0.034384063871512174,0.012447797567495322,-0.0013165760234217228,0.04957514995860587,0.025917862380693418,-0.015605066640185628,0.06747642690319466,0.040206352997457326,9,5,4,0,0,0,0.5555555555555556,9,3,4,2,0,0,0.3333333333333333
rsi,3,5,38.18313347664818,9,9,0,8,4,0.05066914285185456,0.03203882695098392,0.007607597741203278,0.10727207671431015,8,1,0.8888888888888888,0.05066914285185456,0.06537653578574952,0.047754823855894024,-0.026091735247356935,-0.009951452422809592,0.03890002275133163,0.061583345150885954,0.011769120100522931,0.021698625140844214,0.07578453222688841,0.028970517711010346,0.005693858881572728,0.10030200579735404,0.04497528397028183,9,5,4,0,0,0,0.5555555555555556,9,3,4,2,0,0,0.3333333333333333
rsi,3,10,38.18313347664818,9,9,0,8,4,0.054385513028374084,0.04641986501712503,0.005435918499720853,0.11739203525408037,8,1,0.8888888888888888,0.054385513028374084,0.08349667652279145,0.053883431186797726,-0.029679498815344634,-0.009951452422809592,0.03647462296380874,0.0692356251674219,0.017910890064565345,0.019753929410009457,0.0840049824160285,0.03463158361836463,0.0031175640768369983,0.10764487398272343,0.051267948951537086,9,5,4,0,0,0,0.5555555555555556,9,3,4,2,0,0,0.3333333333333333
rsi,3,20,38.18313347664818,9,9,0,8,4,0.06581828758378026,0.04106831787618215,-0.028187607563673996,0.16578315487631645,7,2,0.7777777777777778,0.06581828758378026,0.10591300623025998,0.10324523828744803,-0.0371779460690381,-0.025546833552507753,0.04991328226482507,0.08654454471375357,0.015905005318955195,0.016230124911703708,0.11469980112707372,0.04958816267207655,-0.01600076489060384,0.1538248324850639,0.0818190524743841,9,5,4,0,0,0,0.5555555555555556,9,3,4,2,0,0,0.3333333333333333
rsi,4,1,40.74305387810382,9,9,0,9,4,-0.006756014782472835,-0.002524359981375457,-0.04197876023010751,0.01749986797295069,4,5,0.4444444444444444,-0.006756014782472835,0.011185359991369406,0.0074248540927468465,-0.020108673899930058,-0.012180643598002971,-0.011395100631105715,-0.0018823209961769116,0.0046390858486328795,-0.018950812665345373,0.008012540361114706,0.01219479788287254,-0.028065718642933474,0.01349577537771346,0.02130970386046064,9,3,6,0,0,0,0.3333333333333333,9,4,5,0,0,0,0.4444444444444444
rsi,4,3,40.74305387810382,9,9,0,9,4,-0.009769277515770565,-0.016938510941923335,-0.04582917392118855,0.04695641354040343,3,6,0.3333333333333333,-0.009769277515770565,0.026434994026566017,0.015977744235855296,-0.033840894629142006,-0.02640486087208127,-0.017504299926484626,-0.001744992112787433,0.007735022410714061,-0.03232570889903935,0.010000619439497963,0.022556431383268787,-0.04291356301308161,0.02516731633807867,0.03314428549731104,9,3,6,0,0,0,0.3333333333333333,9,4,5,0,0,0,0.4444444444444444
rsi,4,5,40.74305387810382,9,9,0,9,4,0.0011547403964313999,0.002380926685046303,-0.05139184000248866,0.059223237181407304,5,4,0.5555555555555556,0.0011547403964313999,0.032987784704377604,0.025320084936836684,-0.04272935062027769,-0.042857214602147975,-0.008898884391159795,0.014127685309572799,0.010053624787591194,-0.026237566685613944,0.028794522284725732,0.027392307082045344,-0.04544040333645588,0.047443337557164955,0.046595143732887284,9,3,6,0,0,0,0.3333333333333333,9,4,5,0,0,0,0.4444444444444444
rsi,4,10,40.74305387810382,9,9,0,9,4,-0.0003443171669288425,-0.015777249883596522,-0.06576007952968368,0.07866969654232157,4,5,0.4444444444444444,-0.0003443171669288425,0.05771917730213949,0.05609133142208633,-0.05135382974663497,-0.0465307685754498,-0.014012611692236138,0.012169160382547284,0.013668294525307295,-0.03788810112198645,0.03426013608990586,0.03754378395505761,-0.06046787134562984,0.06363747019093907,0.060123554178700994,9,3,6,0,0,0,0.3333333333333333,9,4,5,0,0,0,0.4444444444444444
rsi,4,20,40.74305387810382,9,9,0,9,4,0.01490760984717633,-0.0012004458236662963,-0.07836678124883249,0.10255256276218506,4,5,0.4444444444444444,0.01490760984717633,0.07596093345644019,0.06757237171944985,-0.09013750026227393,-0.12481436702827997,-0.0022643080667918286,0.02806308565754574,0.01717191791396816,-0.03012654044305772,0.056098378342177235,0.04503415029023405,-0.05901152374069521,0.09285375735275853,0.07391913358787154,9,3,6,0,0,0,0.3333333333333333,9,4,5,0,0,0,0.4444444444444444
rsi,5,1,43.254443322312596,10,10,0,9,4,0.010324876182860609,0.005755741727266561,-0.005401266783064206,0.036778053249650576,6,4,0.6,0.01051606633110555,0.02109607362789766,0.01751075673822855,-0.004526687229860415,-0.00262596236833057,0.007151537680856079,0.013668161483305087,0.0031733385020045295,0.00039988180340498413,0.018577333060749632,0.009924994379455624,-0.0053917289527127595,0.02604148131843398,0.015716605135573367,10,5,5,0,0,0,0.5,10,7,3,0,0,0,0.7
rsi,5,3,43.254443322312596,10,10,0,9,4,0.032021612087076025,0.036405527863863196,-0.0017984935105257113,0.06115831389252422,8,2,0.8,0.03376275547850317,0.03952166493563791,0.0437699233474933,-0.007564952535939484,-0.00600279202641385,0.028483629038028133,0.03710727815072582,0.0035379830490478922,0.019845751710247383,0.046754025623012785,0.012175860376828641,0.00998905667456389,0.054054167499588156,0.022032555412512134,10,5,5,0,0,0,0.5,10,7,3,0,0,0,0.7
rsi,5,5,43.254443322312596,10,10,0,9,4,0.03116231689955349,0.02482045593668114,-0.008398194905710522,0.09577178534851405,7,3,0.7,0.028030673285829685,0.062223574220978774,0.06210480664151763,-0.010460957650072988,-0.017208928798761625,0.023633230163775904,0.03590772042313214,0.0075290867357775855,0.01084127724168977,0.04773364452771579,0.02032103965786372,0.003058076994175973,0.059266556804931,0.028104239905377516,10,5,5,0,0,0,0.5,10,7,3,0,0,0,0.7
rsi,5,10,43.254443322312596,10,10,0,9,4,0.039275165065468055,0.0428751985610476,-0.03482123356452534,0.09760592179738044,7,3,0.7,0.03760423319880975,0.0766061640307826,0.0650613891517765,-0.015185059716607552,-0.020126845178473574,0.029182818839910547,0.04788223852066262,0.010092346225557509,0.01314121517960311,0.06785740244930162,0.026133949885864947,-0.0028081906432184446,0.08135852077415455,0.0420833557086865,10,5,5,0,0,0,0.5,10,7,3,0,0,0,0.7
rsi,5,20,43.254443322312596,10,10,0,9,4,0.08820002371522866,0.0884738671634695,0.010221478000188845,0.19318721367218852,9,1,0.9,0.0851396688874741,0.1166803415582284,0.11675473222942467,-0.01916621005737711,-0.020126845178473574,0.075596950424522,0.09808278160348682,0.01260307329070666,0.04896402332052251,0.12164532536412431,0.03923600039470615,0.027482458477358307,0.148917588953099,0.06071756523787035,10,5,5,0,0,0,0.5,10,7,3,0,0,0,0.7
rsi_distance_from_avg,1,1,0.6838346418354888,10,10,0,10,4,0.0029937324817848722,-0.0018743248856251116,-0.011802644479691083,0.014124935675780092,4,6,0.4,0.0009286083063737155,0.01591694375650996,0.011476980112861801,-0.011460495716434227,-0.01109024713227752,-0.0016516730941083216,0.00580347212397926,0.004645405575893194,-0.005100423862015369,0.009524789505567757,0.00809415634380024,-0.008548242588646171,0.014535707552215915,0.011541975070431042,10,4,6,0,0,0,0.4,10,4,5,1,0,0,0.4
rsi_distance_from_avg,1,3,0.6838346418354888,10,10,0,10,4,0.00918774881818003,0.009463191791584391,-0.01860467613742316,0.04060355709533815,6,4,0.6,0.008077488615441136,0.028179964588269834,0.01713853714051694,-0.022092870068859138,-0.02338212806811002,0.0034466384474008344,0.013941961230969099,0.005741110370779195,-0.005860490374200714,0.022117422198166165,0.015048239192380745,-0.012745013956791817,0.03112051159315188,0.021932762774971845,10,4,6,0,0,0,0.4,10,4,5,1,0,0,0.4
rsi_distance_from_avg,1,5,0.6838346418354888,10,10,0,10,4,0.01819135016215323,0.019325002234960698,-0.021876693676554683,0.04687980334904631,6,4,0.6,0.013380637992670363,0.047224932141053666,0.03432197296761297,-0.027328886618461935,-0.02596424147430637,0.008806960217683235,0.023299551511527343,0.009384389944469995,-0.0002209245783080238,0.03575765771532085,0.018412274740461254,-0.011837700018992692,0.04822040034329915,0.030029050181145923,10,4,6,0,0,0,0.4,10,4,5,1,0,0,0.4
rsi_distance_from_avg,1,10,0.6838346418354888,10,10,0,10,4,0.036234119227702886,0.02611801390285795,-0.051062768333664854,0.1229975208829285,7,3,0.7,0.04171518853352367,0.07218259592560955,0.05331109543537449,-0.04517712435849658,-0.02639956415956246,0.02542362608980966,0.05191667397077014,0.010810493137893225,-0.0012301804437210612,0.07544388334065867,0.03746429967142395,-0.028131361908049324,0.1005996003634551,0.06436548113575222,10,4,6,0,0,0,0.4,10,4,5,1,0,0,0.4
rsi_distance_from_avg,1,20,0.6838346418354888,10,10,0,10,4,0.0555258675163661,0.07354782574205587,-0.07268896695198898,0.14745418202091107,8,2,0.8,0.0579265849783904,0.11667601434011206,0.11445868657513047,-0.04959606141709775,-0.03331410172517768,0.039292332425785816,0.07389337368430132,0.016233535090580287,0.018026761894660983,0.10368308245843916,0.03749910562170512,-0.005950424099319118,0.11700215913205132,0.06147629161568522,10,4,6,0,0,0,0.4,10,4,5,1,0,0,0.4
rsi_distance_from_avg,2,1,2.0751035628028873,9,9,0,8,4,0.0037116848264457936,0.0029016444956913023,-0.006983046382885071,0.016734012166761937,6,3,0.6666666666666666,0.0037116848264457936,0.012161073585806944,0.008745560937499564,-0.006701044974522323,-0.006677827817564319,0.0017469582990616295,0.006848299737659616,0.001964726527384164,-0.002265096373156491,0.009990143500534917,0.005976781199602285,-0.006175931087835318,0.013801810823415528,0.009887615914281112,9,7,2,0,0,0,0.7777777777777778,9,5,3,1,0,0,0.5555555555555556
rsi_distance_from_avg,2,3,2.0751035628028873,9,9,0,8,4,0.012708756571077333,0.008252062499340296,-0.01887389562763897,0.04232060058269931,6,3,0.6666666666666666,0.012708756571077333,0.030189176198712038,0.015977744235855296,-0.01217951292515846,-0.007851328035819227,0.007437930190877656,0.016660643483764184,0.005270826380199677,-0.0029993826498950402,0.026798168919368665,0.015708139220972372,-0.009966853593539493,0.03649854025362842,0.022675610164616826,9,7,2,0,0,0,0.7777777777777778,9,5,3,1,0,0,0.5555555555555556
rsi_distance_from_avg,2,5,2.0751035628028873,9,9,0,8,4,0.008546645287017108,0.01867061606160325,-0.02903409040879563,0.044081549614336794,6,3,0.6666666666666666,0.008546645287017108,0.03706655251065172,0.03130714161338455,-0.022687433051784715,-0.012180643598002971,0.0027583086098117576,0.013774022009437309,0.005788336677205351,-0.006879570001725917,0.02644519781193237,0.015426215288743026,-0.020352094823222283,0.034914392703609964,0.028898740110239393,9,7,2,0,0,0,0.7777777777777778,9,5,3,1,0,0,0.5555555555555556
rsi_distance_from_avg,2,10,2.0751035628028873,9,9,0,8,4,0.02294085138927013,0.022898744145653183,-0.02553058623048083,0.058503659483299386,7,2,0.7777777777777778,0.02294085138927013,0.05507338516787027,0.04004194270226735,-0.02590034212478039,-0.012180643598002971,0.004403734902965389,0.03313549644370986,0.018537116486304742,-0.0036744353346708594,0.046755997533981554,0.026615286723940992,-0.017573787070869373,0.06346601666031387,0.0405146384601395,9,7,2,0,0,0,0.7777777777777778,9,5,3,1,0,0,0.5555555555555556
rsi_distance_from_avg,2,20,2.0751035628028873,9,9,0,8,4,0.020990507573834423,0.01439411803817725,-0.040196476050792886,0.08694033465547145,5,4,0.5555555555555556,0.020990507573834423,0.08082142086590606,0.07170902235326793,-0.05131555474749001,-0.03661271198124916,0.01083849357003551,0.030381539857008477,0.010152014003798913,-0.010466046273333382,0.04833334055621006,0.031456553847167806,-0.025694896589474076,0.06932500912105721,0.0466854041633085,9,7,2,0,0,0,0.7777777777777778,9,5,3,1,0,0,0.5555555555555556
rsi_distance_from_avg,3,1,2.8623857393550267,9,9,0,8,3,-0.005889505350242328,-0.0032225473744458277,-0.029428298081024207,0.019008300681513778,4,5,0.4444444444444444,-0.005889505350242328,0.009653197263360632,0.004618940861887522,-0.01755632685398978,-0.01380314351210954,-0.009333515120449165,-0.0014960611415945763,0.003444009770206837,-0.016819627310663443,0.005720385039134542,0.010930121960421115,-0.026026357704732994,0.013580607510299214,0.020136852354490666,9,4,5,0,0,0,0.4444444444444444,9,4,5,0,0,0,0.4444444444444444
