filter,research_label,ablation_status,a_observations,a_complete,a_censored,a_symbols,a_years,a_mean,a_median,a_q10,a_q90,a_positive,a_negative,a_positive_rate,a_trimmed_mean,a_mean_mfe,a_median_mfe,a_mean_mae,a_median_mae,a_mean_without_top_1,a_mean_without_bottom_1,a_top_1_influence,a_mean_without_top_3,a_mean_without_bottom_3,a_top_3_influence,a_mean_without_top_5,a_mean_without_bottom_5,a_top_5_influence,a_target_3_stop_2_resolved,a_target_3_stop_2_target_before_stop_count,a_target_3_stop_2_stop_before_target_count,a_target_3_stop_2_neither_count,a_target_3_stop_2_ambiguous_count,a_target_3_stop_2_censored_count,a_target_3_stop_2_rate,a_target_5_stop_3_resolved,a_target_5_stop_3_target_before_stop_count,a_target_5_stop_3_stop_before_target_count,a_target_5_stop_3_neither_count,a_target_5_stop_3_ambiguous_count,a_target_5_stop_3_censored_count,a_target_5_stop_3_rate,b_observations,b_complete,b_censored,b_symbols,b_years,b_mean,b_median,b_q10,b_q90,b_positive,b_negative,b_positive_rate,b_trimmed_mean,b_mean_mfe,b_median_mfe,b_mean_mae,b_median_mae,b_mean_without_top_1,b_mean_without_bottom_1,b_top_1_influence,b_mean_without_top_3,b_mean_without_bottom_3,b_top_3_influence,b_mean_without_top_5,b_mean_without_bottom_5,b_top_5_influence,b_target_3_stop_2_resolved,b_target_3_stop_2_target_before_stop_count,b_target_3_stop_2_stop_before_target_count,b_target_3_stop_2_neither_count,b_target_3_stop_2_ambiguous_count,b_target_3_stop_2_censored_count,b_target_3_stop_2_rate,b_target_5_stop_3_resolved,b_target_5_stop_3_target_before_stop_count,b_target_5_stop_3_stop_before_target_count,b_target_5_stop_3_neither_count,b_target_5_stop_3_ambiguous_count,b_target_5_stop_3_censored_count,b_target_5_stop_3_rate,delta_mean,delta_median,delta_trimmed,delta_positive_rate,delta_without_winner_top_1,delta_without_winner_top_3,delta_without_winner_top_5,informative_years,year_agreement,one_year_dependent,informative_symbols,symbol_agreement,one_symbol_dependent,tail_dependent,low_sample
mr_long_fail_trend,LOW SAMPLE,NOT SAFE FOR ABLATION,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,2,2,0,2,2,0.0753738516424185,0.0753738516424185,0.04951493494518178,0.10123276833965522,2,0,1.0,0.0753738516424185,0.11784820454485301,0.11784820454485301,-0.02932393771839681,-0.02932393771839681,0.043050205770872596,0.1076974975139644,0.0323236458715459,,,,,,,2,1,1,0,0,0,0.5,2,1,1,0,0,0,0.5,0.04807597634308476,0.048417488944867415,0.05020053271528788,0.34042553191489366,0.015752330471538855,,,0,,False,0,,False,False,True
mr_long_fail_slow_ema,MIXED,NOT SAFE FOR ABLATION,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,78,78,0,35,5,0.023373898785501966,0.020862827159295216,-0.06916938915806245,0.10816689363002405,51,27,0.6538461538461539,0.0230045562057292,0.0710266472085533,0.06108481222036177,-0.04829073060494476,-0.024099749301607576,0.020819012023222176,0.025689489236189973,0.0025548867622797906,0.01591829246692627,0.03003230404245625,0.007455606318575697,0.011933185359327048,0.03405988198818766,0.011440713426174918,76,37,39,0,2,0,0.4868421052631579,78,40,38,0,0,0,0.5128205128205128,-0.003923976513831775,-0.006093535538255868,-0.002168762721401419,-0.005728314238952481,-0.00022017742153691844,0.005633872313335175,0.010787530262332297,4,0.5,True,0,,True,True,False
mr_long_fail_oversold,MIXED,NOT SAFE FOR ABLATION,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,1294,1281,13,50,5,0.004774880670663305,0.001988557127060586,-0.07337173329993696,0.08793103448275863,654,626,0.5105386416861827,0.00279198474739524,0.053890407842120444,0.03659360549206103,-0.05137169643755911,-0.03775167881886732,0.004261474063302117,0.0050439266338537184,0.0005134066073611875,0.0036370421780806622,0.005558297796228469,0.0011378384925826426,0.0030714029419562547,0.005985896769403311,0.0017034777287070501,1272,522,741,9,18,4,0.41037735849056606,1280,458,749,73,2,12,0.3578125,-0.022522994628670436,-0.024967805570490498,-0.02238133417973538,-0.14903582639892365,-0.01881919553637558,-0.012965145801503486,-0.007811487852506365,4,1.0,False,0,,False,False,False
mr_long_fail_rsi_cross,MIXED,NOT SAFE FOR ABLATION,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,151,151,0,38,4,0.020498320459232448,0.021059854617268448,-0.04360404651720118,0.09666902055015991,99,52,0.6556291390728477,0.022309247971125337,0.06516187166649032,0.05547606064019228,-0.04009212692072188,-0.02838590956213738,0.019374753672797666,0.022539243218471176,0.0011235667864347813,0.017332676825135042,0.025740105674904035,0.0031656436340974058,0.015442343352693877,0.027653773211706565,0.005055977106538571,151,82,69,0,0,0,0.543046357615894,150,72,74,4,1,0,0.48,-0.006799554840101293,-0.005896508080282636,-0.0028640709560052817,-0.003945329012258636,-0.003095755747806437,0.002758293987065657,0.007911951936062778,4,1.0,False,0,,False,True,False
mr_long_fail_candle,LOW SAMPLE,NOT SAFE FOR ABLATION,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,10,10,0,10,3,0.011539081137125717,0.04637333299343749,-0.09486951068240483,0.0829872280398465,7,3,0.7,0.021727443283916764,0.07160516956168521,0.06230014213759216,-0.08996243426655373,-0.042626519227374204,-0.00041165293725370985,0.032546137119763854,0.011950734074379427,-0.02270327365162404,0.06465234535506899,0.034242354788749756,-0.05793000343174546,0.08100816570599689,0.06946908456887117,9,4,5,0,1,0,0.4444444444444444,10,4,6,0,0,0,0.4,-0.015758794162208024,0.019416970295886404,-0.0034458756432138547,0.04042553191489362,-0.012054995069913168,-0.006200945335041074,-0.001047287386043953,1,1.0,True,0,,True,False,True
long_fail_direction,LOW SAMPLE,SAFE FINAL GATE,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
long_fail_volatility,LOW SAMPLE,SAFE FINAL GATE,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
long_fail_candle,LOW SAMPLE,SAFE FINAL GATE,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,6,6,0,6,1,0.013889012293392214,0.03259907369464887,-0.039981866400592925,0.0490498295861207,5,1,0.8333333333333334,0.013889012293392214,0.03794112211209535,0.04886891958745532,-0.07974164189904531,-0.060746170005261335,0.005837531729365497,0.03463290839383659,0.008051480564026717,-0.01787546661386256,0.04565349120064699,0.03176447890725478,-0.08983046820882967,0.0541464151135258,0.10371948050222189,6,0,6,0,0,0,0.0,6,0,6,0,0,0,0.0,-0.013408863005941527,0.0056427109970977885,-0.011284306633738405,0.17375886524822703,-0.00970506391364667,-0.0038510141787745766,0.0013026437702225446,1,0.0,False,0,,True,True,True
long_fail_session,LOW SAMPLE,SAFE FINAL GATE,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
long_fail_confirmed,LOW SAMPLE,SAFE FINAL GATE,47,47,0,31,4,0.02729787529933374,0.026956362697551084,-0.05769876263135116,0.11808885760725522,31,16,0.6595744680851063,0.02517331892713062,0.07024877713003082,0.054729052622538354,-0.0360427333405776,-0.026661680540490562,0.023594076207038885,0.0301719350549693,0.0037037990922948565,0.01774002647216679,0.03529037577671214,0.00955784882716695,0.01258636852316967,0.03983145244269462,0.014711506776164071,47,23,24,0,0,0,0.48936170212765956,47,22,22,3,0,0,0.46808510638297873,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
