requirement,reaching,passing,failing,blocked_rate,otherwise_qualified_blocked,scope
mr_long_fail_trend,49604,22237,27367,0.5517095395532619,2,"all bars; conjunction display order, not causal priority"
mr_long_fail_slow_ema,22237,19714,2523,0.11345954939964924,78,"all bars; conjunction display order, not causal priority"
mr_long_fail_oversold,19714,356,19358,0.9819417672719895,1294,"all bars; conjunction display order, not causal priority"
mr_long_fail_rsi_cross,356,65,291,0.8174157303370787,151,"all bars; conjunction display order, not causal priority"
mr_long_fail_candle,65,54,11,0.16923076923076924,10,"all bars; conjunction display order, not causal priority"
long_fail_direction,54,54,0,0.0,0,"all bars; conjunction display order, not causal priority"
long_fail_volatility,54,54,0,0.0,0,"all bars; conjunction display order, not causal priority"
long_fail_candle,54,47,7,0.12962962962962962,6,"all bars; conjunction display order, not causal priority"
long_fail_session,47,47,0,0.0,0,"all bars; conjunction display order, not causal priority"
long_fail_confirmed,47,47,0,0.0,0,"all bars; conjunction display order, not causal priority"
long_fail_score,53,53,0,0.0,0,derived score=1 for pure active; not a second module failure
