observation_id,symbol,timestamp,direction,sole_blocker
NVDA|2021-12-15T00:00:00|Long,NVDA,2021-12-15,Long,mr_long_fail_oversold
NVDA|2022-01-03T00:00:00|Long,NVDA,2022-01-03,Long,mr_long_fail_oversold
NVDA|2022-01-28T00:00:00|Long,NVDA,2022-01-28,Long,mr_long_fail_slow_ema
NVDA|2023-02-14T00:00:00|Long,NVDA,2023-02-14,Long,mr_long_fail_oversold
NVDA|2023-03-02T00:00:00|Long,NVDA,2023-03-02,Long,mr_long_fail_oversold
NVDA|2023-03-08T00:00:00|Long,NVDA,2023-03-08,Long,mr_long_fail_oversold
NVDA|2023-03-14T00:00:00|Long,NVDA,2023-03-14,Long,mr_long_fail_oversold
NVDA|2023-03-30T00:00:00|Long,NVDA,2023-03-30,Long,mr_long_fail_oversold
NVDA|2023-04-18T00:00:00|Long,NVDA,2023-04-18,Long,mr_long_fail_oversold
NVDA|2023-04-28T00:00:00|Long,NVDA,2023-04-28,Long,mr_long_fail_oversold
NVDA|2023-05-05T00:00:00|Long,NVDA,2023-05-05,Long,mr_long_fail_oversold
NVDA|2023-05-15T00:00:00|Long,NVDA,2023-05-15,Long,mr_long_fail_oversold
NVDA|2023-06-01T00:00:00|Long,NVDA,2023-06-01,Long,mr_long_fail_oversold
NVDA|2023-06-13T00:00:00|Long,NVDA,2023-06-13,Long,mr_long_fail_oversold
NVDA|2023-07-07T00:00:00|Long,NVDA,2023-07-07,Long,mr_long_fail_oversold
NVDA|2023-07-28T00:00:00|Long,NVDA,2023-07-28,Long,mr_long_fail_oversold
NVDA|2023-09-27T00:00:00|Long,NVDA,2023-09-27,Long,mr_long_fail_oversold
NVDA|2023-10-30T00:00:00|Long,NVDA,2023-10-30,Long,mr_long_fail_oversold
NVDA|2023-11-01T00:00:00|Long,NVDA,2023-11-01,Long,mr_long_fail_oversold
NVDA|2024-01-29T00:00:00|Long,NVDA,2024-01-29,Long,mr_long_fail_oversold
NVDA|2024-02-09T00:00:00|Long,NVDA,2024-02-09,Long,mr_long_fail_oversold
NVDA|2024-02-29T00:00:00|Long,NVDA,2024-02-29,Long,mr_long_fail_oversold
NVDA|2024-04-11T00:00:00|Long,NVDA,2024-04-11,Long,mr_long_fail_oversold
NVDA|2024-06-03T00:00:00|Long,NVDA,2024-06-03,Long,mr_long_fail_oversold
NVDA|2024-06-12T00:00:00|Long,NVDA,2024-06-12,Long,mr_long_fail_oversold
NVDA|2024-07-03T00:00:00|Long,NVDA,2024-07-03,Long,mr_long_fail_oversold
NVDA|2024-07-08T00:00:00|Long,NVDA,2024-07-08,Long,mr_long_fail_oversold
NVDA|2024-08-06T00:00:00|Long,NVDA,2024-08-06,Long,mr_long_fail_oversold
NVDA|2024-08-08T00:00:00|Long,NVDA,2024-08-08,Long,mr_long_fail_oversold
NVDA|2024-08-23T00:00:00|Long,NVDA,2024-08-23,Long,mr_long_fail_oversold
NVDA|2024-10-21T00:00:00|Long,NVDA,2024-10-21,Long,mr_long_fail_oversold
NVDA|2025-02-05T00:00:00|Long,NVDA,2025-02-05,Long,mr_long_fail_oversold
NVDA|2025-06-03T00:00:00|Long,NVDA,2025-06-03,Long,mr_long_fail_oversold
NVDA|2025-06-12T00:00:00|Long,NVDA,2025-06-12,Long,mr_long_fail_oversold
NVDA|2025-06-24T00:00:00|Long,NVDA,2025-06-24,Long,mr_long_fail_oversold
NVDA|2025-07-03T00:00:00|Long,NVDA,2025-07-03,Long,mr_long_fail_oversold
NVDA|2025-07-28T00:00:00|Long,NVDA,2025-07-28,Long,mr_long_fail_oversold
NVDA|2025-07-30T00:00:00|Long,NVDA,2025-07-30,Long,mr_long_fail_oversold
NVDA|2025-08-08T00:00:00|Long,NVDA,2025-08-08,Long,mr_long_fail_oversold
NVDA|2025-08-26T00:00:00|Long,NVDA,2025-08-26,Long,mr_long_fail_oversold
NVDA|2025-09-10T00:00:00|Long,NVDA,2025-09-10,Long,mr_long_fail_oversold
AMD|2021-11-01T00:00:00|Long,AMD,2021-11-01,Long,mr_long_fail_oversold
