filter,status,baseline_overlap,extra_signals,union_signals,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
pb_long_fail_trend,NOT SAFE FOR ABLATION,291,,,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
pb_long_fail_slow_ema,NOT SAFE FOR ABLATION,291,,,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
pb_long_fail_rsi,NOT SAFE FOR ABLATION,291,,,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
pb_long_fail_touch,NOT SAFE FOR ABLATION,291,,,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
pb_long_fail_reclaim,NOT SAFE FOR ABLATION,291,,,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
long_fail_direction,SAFE FINAL GATE,291,0.0,291.0,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
long_fail_volatility,SAFE FINAL GATE,291,0.0,291.0,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
long_fail_candle,SAFE FINAL GATE,291,7.0,298.0,298,295,3,49,5,0.019641857182801516,0.01148586663382778,-0.06551310797311562,0.10868320047713295,170,125,0.576271186440678,0.014553558278981622,0.06640164867843942,0.04767951529568237,-0.049304388954748396,-0.03175210543827833,0.01741823681591632,0.02034887191228357,0.002223620366885195,0.01481977314861907,0.021595223355290367,0.004822084034182446,0.012766204688744228,0.022772019437065395,0.006875652494057288,291,141,150,0,5,2,0.4845360824742268,294,140,147,7,2,2,0.47619047619047616
long_fail_session,SAFE FINAL GATE,291,0.0,291.0,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
long_fail_confirmed,SAFE FINAL GATE,291,0.0,291.0,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
long_fail_score,NOT SAFE FOR ABLATION,291,,,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,
