cohort,group,group_value,horizon,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
approved_pure,all,all,1,291,291,0,49,5,-1.9134267299348247e-05,0.0006197405641037435,-0.02799728662148948,0.026125737688043937,149,142,0.5120274914089347,0.00013547564880421286,0.015833930375817512,0.010998004875693912,-0.015242060232435106,-0.011161055848236678,-0.001092119455112961,0.00035076338597974196,0.0010729851878136126,-0.0015704232448068875,0.001005039201979323,0.0015512889775075392,-0.0020169662132068036,0.00158740944482751,0.0019978319459074555,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
approved_pure,all,all,3,291,290,1,49,5,0.004099756881568764,0.00635213009160418,-0.050958421292674895,0.05452805672218599,170,120,0.5862068965517241,0.004740269547468444,0.032855420355146464,0.02220792618248113,-0.029511836911874666,-0.017114861608536536,0.002694039232337153,0.005012072289858159,0.0014057176492316107,0.0006114485680646066,0.006274417008555932,0.003488308313504157,-0.00040065422906754224,0.007357501414113454,0.004500411110636306,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
approved_pure,all,all,5,291,290,1,49,5,0.006446121434534584,0.008678242149855686,-0.07205501664014155,0.07120463364200952,170,120,0.5862068965517241,0.006326184021853003,0.04386745213366457,0.030529959813530683,-0.036768642521381865,-0.020613126247815472,0.0042354186940775996,0.007129979000149155,0.002210702740456984,0.0021612652470414852,0.008297824136924505,0.004284856187493098,0.0012097027976103777,0.009432112736801498,0.005236418636924206,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
approved_pure,all,all,10,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
approved_pure,all,all,20,291,284,7,49,5,0.03064167878648003,0.013485567213067484,-0.08954793712826063,0.16416864128192574,172,112,0.6056338028169014,0.02449987743371431,0.09577077646875197,0.07646000508716555,-0.07138198196272136,-0.05325842954723092,0.028254447821795453,0.03206199448557684,0.002387230964684576,0.024581026023634163,0.033818276333956405,0.006060652762845866,0.022183705761712268,0.03555240981105116,0.008457973024767761,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979
approved_pure,year,2021,1,17,17,0,14,1,-0.00226629141658742,-0.00014460882059619262,-0.03310056129946828,0.02473197564773049,7,10,0.4117647058823529,-0.002832929055864512,0.01576172997868352,0.009761042155503441,-0.019477958079430195,-0.018750274716617943,-0.0060091135710809845,0.0009453079510838708,0.0037428221544935645,-0.010639075767520418,0.0059912633682334205,0.008372784350932999,-0.014398949910691128,0.010592912392745568,0.012132658494103707,16,3,13,0,1,0,0.1875,17,5,12,0,0,0,0.29411764705882354
approved_pure,year,2021,3,17,17,0,14,1,-0.002125704700049691,-0.012335403615053475,-0.04278657302195952,0.0666244945093113,7,10,0.4117647058823529,-0.002799972499018429,0.028382615016056916,0.01419652914605618,-0.03285061214108639,-0.02455248663534748,-0.007189819332267568,0.002306283870634994,0.005064114632217877,-0.01781715380569662,0.00888957447105247,0.01569144910564693,-0.025636969880656196,0.016599290367306275,0.023511265180606505,16,3,13,0,1,0,0.1875,17,5,12,0,0,0,0.29411764705882354
approved_pure,year,2021,5,17,17,0,14,1,-0.01520547356233456,-0.013143697001647747,-0.08076701945849843,0.04713016757564086,7,10,0.4117647058823529,-0.014006493551472817,0.03481571690239121,0.018849626910454775,-0.05283841272873923,-0.05419270380343555,-0.019963910926293953,-0.009322992438192283,0.004758437363959393,-0.02963228203863862,0.001143361285977624,0.01442680847630406,-0.03954162432245231,0.010809325524935251,0.024336150760117754,16,3,13,0,1,0,0.1875,17,5,12,0,0,0,0.29411764705882354
approved_pure,year,2021,10,17,17,0,14,1,-0.032300640834909855,-0.02842460967965177,-0.07740290059943389,0.02012779657109231,3,14,0.17647058823529413,-0.0315896309283398,0.0466703945945283,0.03677076954411618,-0.07426084249892642,-0.06712001235028109,-0.037778124440032305,-0.026156585442377984,0.00547748360512245,-0.04667239969940856,-0.018323510927296813,0.014371758864498707,-0.052378054504851224,-0.011748688663793453,0.02007741366994137,16,3,13,0,1,0,0.1875,17,5,12,0,0,0,0.29411764705882354
approved_pure,year,2021,20,17,17,0,14,1,-0.09402812316080761,-0.07849308494206653,-0.19068309733731884,-0.01935313124612548,2,15,0.11764705882352941,-0.09687077234921596,0.05080428288373312,0.051972192257473626,-0.1289029209458231,-0.13358192876080077,-0.10440142765989036,-0.0863198022758577,0.010373304499082747,-0.11733207384578472,-0.07095420322104448,0.023303950684977107,-0.12733246925463143,-0.05574671921234903,0.03330434609382382,16,3,13,0,1,0,0.1875,17,5,12,0,0,0,0.29411764705882354
approved_pure,year,2022,1,42,42,0,18,1,-0.0015459446952660644,-0.0007241333165200481,-0.02959579369951776,0.02957810476297042,19,23,0.4523809523809524,0.0002866843137757842,0.011750262753438998,0.007881442234582314,-0.01938662662664312,-0.015019225676150882,-0.0028520715930332695,0.0009216245737147806,0.001306126897767205,-0.0051615786626356425,0.003605764123496834,0.003615633967369578,-0.00710023711207827,0.005607707028565939,0.005554292416812205,42,16,26,0,0,0,0.38095238095238093,42,16,26,0,0,0,0.38095238095238093
