blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
long_fail_candle,rsi,1,0,0,0,,,
long_fail_candle,rsi,2,3,3,2,0.6666666666666666,49.755391611050996,0.03666308970340008
long_fail_candle,rsi,3,1,1,1,1.0,51.43684997347885,0.0745734472507884
long_fail_candle,rsi,4,2,2,1,0.5,52.56887108979842,0.023558414042919695
long_fail_candle,rsi,5,1,1,1,1.0,54.26225510056555,0.010661090563843123
long_fail_candle,rsi_distance_from_avg,1,1,1,0,0.0,0.3963611656748043,-0.104401096880407
long_fail_candle,rsi_distance_from_avg,2,1,1,1,1.0,1.5873054996259697,0.07044090344673304
long_fail_candle,rsi_distance_from_avg,3,0,0,0,,,
long_fail_candle,rsi_distance_from_avg,4,4,4,4,1.0,8.652541677311909,0.09732899917681359
long_fail_candle,rsi_distance_from_avg,5,1,1,0,0.0,12.362164156984456,-0.11301516826290925
long_fail_candle,htf_adx,1,0,0,0,,,
long_fail_candle,htf_adx,2,2,2,1,0.5,20.554878636552296,0.023558414042919695
long_fail_candle,htf_adx,3,2,2,2,1.0,21.909990508190177,0.042617268907315764
long_fail_candle,htf_adx,4,2,2,1,0.5,24.969782696468364,-0.01698009671683698
long_fail_candle,htf_adx,5,1,1,1,1.0,27.158956926642546,0.1439494625438742
long_fail_candle,adx_margin,1,0,0,0,,,
long_fail_candle,adx_margin,2,2,2,1,0.5,2.554878636552294,0.023558414042919695
long_fail_candle,adx_margin,3,2,2,2,1.0,3.909990508190175,0.042617268907315764
long_fail_candle,adx_margin,4,2,2,1,0.5,6.969782696468366,-0.01698009671683698
long_fail_candle,adx_margin,5,1,1,1,1.0,9.158956926642546,0.1439494625438742
long_fail_candle,ema_spread_pct,1,2,2,1,0.5,2.962696182084072,-0.014913824814809296
long_fail_candle,ema_spread_pct,2,1,1,1,1.0,5.165834120615304,0.010661090563843123
long_fail_candle,ema_spread_pct,3,1,1,0,0.0,7.583478650420818,-0.11301516826290925
long_fail_candle,ema_spread_pct,4,1,1,1,1.0,12.961170694276575,0.16013199634874864
long_fail_candle,ema_spread_pct,5,2,2,2,1.0,26.129368380122354,0.10719518299530362
long_fail_candle,atr_pct,1,0,0,0,,,
long_fail_candle,atr_pct,2,2,2,0,0.0,2.2308731870289957,-0.10870813257165812
long_fail_candle,atr_pct,3,1,1,1,1.0,2.8182354998263133,0.1439494625438742
long_fail_candle,atr_pct,4,2,2,2,1.0,3.732795396050972,0.04055099700528808
long_fail_candle,atr_pct,5,2,2,2,1.0,5.113799117356599,0.11735272179976852
long_fail_candle,candle_range_atr,1,0,0,0,,,
long_fail_candle,candle_range_atr,2,0,0,0,,,
long_fail_candle,candle_range_atr,3,0,0,0,,,
long_fail_candle,candle_range_atr,4,0,0,0,,,
long_fail_candle,candle_range_atr,5,7,7,5,0.7142857142857143,2.05283952509382,0.03462009071581017
long_fail_candle,volume_ratio,1,0,0,0,,,
long_fail_candle,volume_ratio,2,0,0,0,,,
long_fail_candle,volume_ratio,3,0,0,0,,,
long_fail_candle,volume_ratio,4,0,0,0,,,
long_fail_candle,volume_ratio,5,7,7,5,0.7142857142857143,1.8215298414557908,0.03462009071581017
long_fail_candle,distance_to_breakout_atr,1,0,0,0,,,
long_fail_candle,distance_to_breakout_atr,2,2,2,2,1.0,0.8035825516815145,0.042617268907315764
long_fail_candle,distance_to_breakout_atr,3,3,3,2,0.6666666666666666,1.1406160124431646,0.06368876354323787
long_fail_candle,distance_to_breakout_atr,4,2,2,1,0.5,1.955500292983472,-0.01698009671683698
long_fail_candle,distance_to_breakout_atr,5,0,0,0,,,
long_fail_candle,bb_width,1,0,0,0,,,
long_fail_candle,bb_width,2,3,3,1,0.3333333333333333,0.09839809592170916,-0.06891839152649104
long_fail_candle,bb_width,3,2,2,2,1.0,0.140039228267392,0.10719518299530362
long_fail_candle,bb_width,4,2,2,2,1.0,0.17412459599053068,0.11735272179976852
long_fail_candle,bb_width,5,0,0,0,,,
long_fail_candle,distance_to_squeeze_pct,1,1,1,1,1.0,-11.271617003727929,0.010661090563843123
long_fail_candle,distance_to_squeeze_pct,2,1,1,1,1.0,20.124134401741035,0.07044090344673304
long_fail_candle,distance_to_squeeze_pct,3,3,3,3,1.0,41.93300053043767,0.12621830204780374
long_fail_candle,distance_to_squeeze_pct,4,0,0,0,,,
long_fail_candle,distance_to_squeeze_pct,5,1,1,0,0.0,93.87055775191564,-0.11301516826290925
