feature,bin,outcome_view,eligible,poor,poor_rate,all_approved_poor_rate,enrichment
rsi,1,negative_return_5,59,20,0.3389830508474576,0.41379310344827586,0.8192090395480226
rsi,1,negative_return_20,55,20,0.36363636363636365,0.39436619718309857,0.9220779220779222
rsi,1,stop_before_target_3_2,59,29,0.4915254237288136,0.5105633802816901,0.9627118644067797
rsi,2,negative_return_5,58,27,0.46551724137931033,0.41379310344827586,1.125
rsi,2,negative_return_20,58,22,0.3793103448275862,0.39436619718309857,0.9618226600985221
rsi,2,stop_before_target_3_2,56,30,0.5357142857142857,0.5105633802816901,1.0492610837438423
rsi,3,negative_return_5,58,27,0.46551724137931033,0.41379310344827586,1.125
rsi,3,negative_return_20,58,22,0.3793103448275862,0.39436619718309857,0.9618226600985221
rsi,3,stop_before_target_3_2,57,29,0.5087719298245614,0.5105633802816901,0.9964912280701755
rsi,4,negative_return_5,57,22,0.38596491228070173,0.41379310344827586,0.9327485380116959
rsi,4,negative_return_20,55,25,0.45454545454545453,0.39436619718309857,1.1525974025974026
rsi,4,stop_before_target_3_2,54,23,0.42592592592592593,0.5105633802816901,0.834227330779055
rsi,5,negative_return_5,58,24,0.41379310344827586,0.41379310344827586,1.0
rsi,5,negative_return_20,58,23,0.39655172413793105,0.39436619718309857,1.0055418719211824
rsi,5,stop_before_target_3_2,58,34,0.5862068965517241,0.5105633802816901,1.1481569560047562
rsi_distance_from_avg,1,negative_return_5,59,19,0.3220338983050847,0.41379310344827586,0.7782485875706214
rsi_distance_from_avg,1,negative_return_20,57,18,0.3157894736842105,0.39436619718309857,0.8007518796992481
rsi_distance_from_avg,1,stop_before_target_3_2,59,29,0.4915254237288136,0.5105633802816901,0.9627118644067797
rsi_distance_from_avg,2,negative_return_5,57,25,0.43859649122807015,0.41379310344827586,1.0599415204678362
rsi_distance_from_avg,2,negative_return_20,57,30,0.5263157894736842,0.39436619718309857,1.3345864661654137
rsi_distance_from_avg,2,stop_before_target_3_2,57,28,0.49122807017543857,0.5105633802816901,0.9621294615849969
rsi_distance_from_avg,3,negative_return_5,58,28,0.4827586206896552,0.41379310344827586,1.1666666666666667
rsi_distance_from_avg,3,negative_return_20,57,15,0.2631578947368421,0.39436619718309857,0.6672932330827068
rsi_distance_from_avg,3,stop_before_target_3_2,55,32,0.5818181818181818,0.5105633802816901,1.1395611285266458
rsi_distance_from_avg,4,negative_return_5,58,26,0.4482758620689655,0.41379310344827586,1.0833333333333333
rsi_distance_from_avg,4,negative_return_20,56,24,0.42857142857142855,0.39436619718309857,1.086734693877551
rsi_distance_from_avg,4,stop_before_target_3_2,56,26,0.4642857142857143,0.5105633802816901,0.9093596059113301
rsi_distance_from_avg,5,negative_return_5,58,22,0.3793103448275862,0.41379310344827586,0.9166666666666666
rsi_distance_from_avg,5,negative_return_20,57,25,0.43859649122807015,0.39436619718309857,1.112155388471178
rsi_distance_from_avg,5,stop_before_target_3_2,57,30,0.5263157894736842,0.5105633802816901,1.030852994555354
htf_adx,1,negative_return_5,59,27,0.4576271186440678,0.41379310344827586,1.1059322033898304
htf_adx,1,negative_return_20,59,24,0.4067796610169492,0.39436619718309857,1.0314769975786926
htf_adx,1,stop_before_target_3_2,58,29,0.5,0.5105633802816901,0.9793103448275863
htf_adx,2,negative_return_5,58,27,0.46551724137931033,0.41379310344827586,1.125
htf_adx,2,negative_return_20,57,20,0.3508771929824561,0.39436619718309857,0.8897243107769424
htf_adx,2,stop_before_target_3_2,57,34,0.5964912280701754,0.5105633802816901,1.1683000604960678
htf_adx,3,negative_return_5,58,17,0.29310344827586204,0.41379310344827586,0.7083333333333333
htf_adx,3,negative_return_20,56,23,0.4107142857142857,0.39436619718309857,1.0414540816326532
htf_adx,3,stop_before_target_3_2,57,25,0.43859649122807015,0.5105633802816901,0.8590441621294616
htf_adx,4,negative_return_5,57,29,0.5087719298245614,0.41379310344827586,1.2295321637426901
htf_adx,4,negative_return_20,54,23,0.42592592592592593,0.39436619718309857,1.0800264550264551
htf_adx,4,stop_before_target_3_2,56,31,0.5535714285714286,0.5105633802816901,1.0842364532019706
htf_adx,5,negative_return_5,58,20,0.3448275862068966,0.41379310344827586,0.8333333333333334
htf_adx,5,negative_return_20,58,22,0.3793103448275862,0.39436619718309857,0.9618226600985221
htf_adx,5,stop_before_target_3_2,56,26,0.4642857142857143,0.5105633802816901,0.9093596059113301
adx_margin,1,negative_return_5,59,27,0.4576271186440678,0.41379310344827586,1.1059322033898304
adx_margin,1,negative_return_20,59,24,0.4067796610169492,0.39436619718309857,1.0314769975786926
adx_margin,1,stop_before_target_3_2,58,29,0.5,0.5105633802816901,0.9793103448275863
adx_margin,2,negative_return_5,58,27,0.46551724137931033,0.41379310344827586,1.125
adx_margin,2,negative_return_20,57,20,0.3508771929824561,0.39436619718309857,0.8897243107769424
adx_margin,2,stop_before_target_3_2,57,34,0.5964912280701754,0.5105633802816901,1.1683000604960678
adx_margin,3,negative_return_5,58,17,0.29310344827586204,0.41379310344827586,0.7083333333333333
adx_margin,3,negative_return_20,56,23,0.4107142857142857,0.39436619718309857,1.0414540816326532
adx_margin,3,stop_before_target_3_2,57,25,0.43859649122807015,0.5105633802816901,0.8590441621294616
adx_margin,4,negative_return_5,57,29,0.5087719298245614,0.41379310344827586,1.2295321637426901
adx_margin,4,negative_return_20,54,23,0.42592592592592593,0.39436619718309857,1.0800264550264551
adx_margin,4,stop_before_target_3_2,56,31,0.5535714285714286,0.5105633802816901,1.0842364532019706
adx_margin,5,negative_return_5,58,20,0.3448275862068966,0.41379310344827586,0.8333333333333334
adx_margin,5,negative_return_20,58,22,0.3793103448275862,0.39436619718309857,0.9618226600985221
adx_margin,5,stop_before_target_3_2,56,26,0.4642857142857143,0.5105633802816901,0.9093596059113301
ema_spread_pct,1,negative_return_5,59,30,0.5084745762711864,0.41379310344827586,1.228813559322034
ema_spread_pct,1,negative_return_20,59,24,0.4067796610169492,0.39436619718309857,1.0314769975786926
ema_spread_pct,1,stop_before_target_3_2,59,33,0.559322033898305,0.5105633802816901,1.095499707773232
ema_spread_pct,2,negative_return_5,58,21,0.3620689655172414,0.41379310344827586,0.875
ema_spread_pct,2,negative_return_20,57,21,0.3684210526315789,0.39436619718309857,0.9342105263157895
ema_spread_pct,2,stop_before_target_3_2,58,26,0.4482758620689655,0.5105633802816901,0.8780023781212842
ema_spread_pct,3,negative_return_5,58,22,0.3793103448275862,0.41379310344827586,0.9166666666666666
ema_spread_pct,3,negative_return_20,56,20,0.35714285714285715,0.39436619718309857,0.9056122448979592
ema_spread_pct,3,stop_before_target_3_2,55,30,0.5454545454545454,0.5105633802816901,1.0683385579937303
ema_spread_pct,4,negative_return_5,58,20,0.3448275862068966,0.41379310344827586,0.8333333333333334
ema_spread_pct,4,negative_return_20,58,28,0.4827586206896552,0.39436619718309857,1.2241379310344829
ema_spread_pct,4,stop_before_target_3_2,56,27,0.48214285714285715,0.5105633802816901,0.9443349753694582
ema_spread_pct,5,negative_return_5,57,27,0.47368421052631576,0.41379310344827586,1.144736842105263
ema_spread_pct,5,negative_return_20,54,19,0.35185185185185186,0.39436619718309857,0.8921957671957673
ema_spread_pct,5,stop_before_target_3_2,56,29,0.5178571428571429,0.5105633802816901,1.0142857142857145
atr_pct,1,negative_return_5,59,25,0.423728813559322,0.41379310344827586,1.024011299435028
atr_pct,1,negative_return_20,56,27,0.48214285714285715,0.39436619718309857,1.222576530612245
atr_pct,1,stop_before_target_3_2,58,26,0.4482758620689655,0.5105633802816901,0.8780023781212842
atr_pct,2,negative_return_5,58,23,0.39655172413793105,0.41379310344827586,0.9583333333333334
atr_pct,2,negative_return_20,58,26,0.4482758620689655,0.39436619718309857,1.1366995073891626
atr_pct,2,stop_before_target_3_2,56,31,0.5535714285714286,0.5105633802816901,1.0842364532019706
atr_pct,3,negative_return_5,57,20,0.3508771929824561,0.41379310344827586,0.847953216374269
atr_pct,3,negative_return_20,57,20,0.3508771929824561,0.39436619718309857,0.8897243107769424
atr_pct,3,stop_before_target_3_2,57,26,0.45614035087719296,0.5105633802816901,0.8934059286146401
atr_pct,4,negative_return_5,58,19,0.3275862068965517,0.41379310344827586,0.7916666666666666
atr_pct,4,negative_return_20,57,14,0.24561403508771928,0.39436619718309857,0.6228070175438597
atr_pct,4,stop_before_target_3_2,57,26,0.45614035087719296,0.5105633802816901,0.8934059286146401
atr_pct,5,negative_return_5,58,33,0.5689655172413793,0.41379310344827586,1.375
atr_pct,5,negative_return_20,56,25,0.44642857142857145,0.39436619718309857,1.1320153061224492
atr_pct,5,stop_before_target_3_2,56,36,0.6428571428571429,0.5105633802816901,1.259113300492611
candle_range_atr,1,negative_return_5,59,20,0.3389830508474576,0.41379310344827586,0.8192090395480226
candle_range_atr,1,negative_return_20,56,16,0.2857142857142857,0.39436619718309857,0.7244897959183674
candle_range_atr,1,stop_before_target_3_2,59,32,0.5423728813559322,0.5105633802816901,1.0623027469316189
candle_range_atr,2,negative_return_5,57,25,0.43859649122807015,0.41379310344827586,1.0599415204678362
candle_range_atr,2,negative_return_20,57,20,0.3508771929824561,0.39436619718309857,0.8897243107769424
candle_range_atr,2,stop_before_target_3_2,57,30,0.5263157894736842,0.5105633802816901,1.030852994555354
candle_range_atr,3,negative_return_5,58,19,0.3275862068965517,0.41379310344827586,0.7916666666666666
candle_range_atr,3,negative_return_20,58,20,0.3448275862068966,0.39436619718309857,0.8743842364532021
candle_range_atr,3,stop_before_target_3_2,58,25,0.43103448275862066,0.5105633802816901,0.8442330558858502
candle_range_atr,4,negative_return_5,58,27,0.46551724137931033,0.41379310344827586,1.125
candle_range_atr,4,negative_return_20,55,28,0.509090909090909,0.39436619718309857,1.2909090909090908
candle_range_atr,4,stop_before_target_3_2,54,27,0.5,0.5105633802816901,0.9793103448275863
candle_range_atr,5,negative_return_5,58,29,0.5,0.41379310344827586,1.2083333333333333
candle_range_atr,5,negative_return_20,58,28,0.4827586206896552,0.39436619718309857,1.2241379310344829
candle_range_atr,5,stop_before_target_3_2,56,31,0.5535714285714286,0.5105633802816901,1.0842364532019706
volume_ratio,1,negative_return_5,59,24,0.4067796610169492,0.41379310344827586,0.9830508474576272
volume_ratio,1,negative_return_20,56,22,0.39285714285714285,0.39436619718309857,0.9961734693877552
volume_ratio,1,stop_before_target_3_2,59,33,0.559322033898305,0.5105633802816901,1.095499707773232
volume_ratio,2,negative_return_5,58,22,0.3793103448275862,0.41379310344827586,0.9166666666666666
volume_ratio,2,negative_return_20,58,13,0.22413793103448276,0.39436619718309857,0.5683497536945813
volume_ratio,2,stop_before_target_3_2,58,29,0.5,0.5105633802816901,0.9793103448275863
volume_ratio,3,negative_return_5,57,21,0.3684210526315789,0.41379310344827586,0.8903508771929824
volume_ratio,3,negative_return_20,56,26,0.4642857142857143,0.39436619718309857,1.177295918367347
volume_ratio,3,stop_before_target_3_2,56,24,0.42857142857142855,0.5105633802816901,0.8394088669950739
volume_ratio,4,negative_return_5,58,30,0.5172413793103449,0.41379310344827586,1.25
volume_ratio,4,negative_return_20,57,24,0.42105263157894735,0.39436619718309857,1.0676691729323309
volume_ratio,4,stop_before_target_3_2,54,30,0.5555555555555556,0.5105633802816901,1.0881226053639848
volume_ratio,5,negative_return_5,58,23,0.39655172413793105,0.41379310344827586,0.9583333333333334
volume_ratio,5,negative_return_20,57,27,0.47368421052631576,0.39436619718309857,1.2011278195488722
volume_ratio,5,stop_before_target_3_2,57,29,0.5087719298245614,0.5105633802816901,0.9964912280701755
distance_to_breakout_atr,1,negative_return_5,59,24,0.4067796610169492,0.41379310344827586,0.9830508474576272
distance_to_breakout_atr,1,negative_return_20,58,17,0.29310344827586204,0.39436619718309857,0.7432266009852216
distance_to_breakout_atr,1,stop_before_target_3_2,57,32,0.5614035087719298,0.5105633802816901,1.0995765275257108
distance_to_breakout_atr,2,negative_return_5,57,20,0.3508771929824561,0.41379310344827586,0.847953216374269
distance_to_breakout_atr,2,negative_return_20,54,18,0.3333333333333333,0.39436619718309857,0.8452380952380952
distance_to_breakout_atr,2,stop_before_target_3_2,57,30,0.5263157894736842,0.5105633802816901,1.030852994555354
distance_to_breakout_atr,3,negative_return_5,58,27,0.46551724137931033,0.41379310344827586,1.125
distance_to_breakout_atr,3,negative_return_20,57,27,0.47368421052631576,0.39436619718309857,1.2011278195488722
distance_to_breakout_atr,3,stop_before_target_3_2,55,29,0.5272727272727272,0.5105633802816901,1.0327272727272727
distance_to_breakout_atr,4,negative_return_5,58,27,0.46551724137931033,0.41379310344827586,1.125
distance_to_breakout_atr,4,negative_return_20,57,27,0.47368421052631576,0.39436619718309857,1.2011278195488722
distance_to_breakout_atr,4,stop_before_target_3_2,57,26,0.45614035087719296,0.5105633802816901,0.8934059286146401
distance_to_breakout_atr,5,negative_return_5,58,22,0.3793103448275862,0.41379310344827586,0.9166666666666666
distance_to_breakout_atr,5,negative_return_20,58,23,0.39655172413793105,0.39436619718309857,1.0055418719211824
distance_to_breakout_atr,5,stop_before_target_3_2,58,28,0.4827586206896552,0.5105633802816901,0.9455410225921522
bb_width,1,negative_return_5,59,25,0.423728813559322,0.41379310344827586,1.024011299435028
bb_width,1,negative_return_20,58,26,0.4482758620689655,0.39436619718309857,1.1366995073891626
bb_width,1,stop_before_target_3_2,57,27,0.47368421052631576,0.5105633802816901,0.9277676950998185
bb_width,2,negative_return_5,57,19,0.3333333333333333,0.41379310344827586,0.8055555555555555
bb_width,2,negative_return_20,57,23,0.40350877192982454,0.39436619718309857,1.0231829573934836
bb_width,2,stop_before_target_3_2,57,29,0.5087719298245614,0.5105633802816901,0.9964912280701755
bb_width,3,negative_return_5,58,22,0.3793103448275862,0.41379310344827586,0.9166666666666666
bb_width,3,negative_return_20,56,17,0.30357142857142855,0.39436619718309857,0.7697704081632653
bb_width,3,stop_before_target_3_2,58,27,0.46551724137931033,0.5105633802816901,0.9117717003567182
bb_width,4,negative_return_5,58,22,0.3793103448275862,0.41379310344827586,0.9166666666666666
bb_width,4,negative_return_20,57,15,0.2631578947368421,0.39436619718309857,0.6672932330827068
bb_width,4,stop_before_target_3_2,56,26,0.4642857142857143,0.5105633802816901,0.9093596059113301
bb_width,5,negative_return_5,58,32,0.5517241379310345,0.41379310344827586,1.3333333333333333
bb_width,5,negative_return_20,56,31,0.5535714285714286,0.39436619718309857,1.4036989795918369
bb_width,5,stop_before_target_3_2,56,36,0.6428571428571429,0.5105633802816901,1.259113300492611
distance_to_squeeze_pct,1,negative_return_5,57,19,0.3333333333333333,0.41379310344827586,0.8055555555555555
distance_to_squeeze_pct,1,negative_return_20,57,18,0.3157894736842105,0.39436619718309857,0.8007518796992481
distance_to_squeeze_pct,1,stop_before_target_3_2,56,30,0.5357142857142857,0.5105633802816901,1.0492610837438423
distance_to_squeeze_pct,2,negative_return_5,56,22,0.39285714285714285,0.41379310344827586,0.9494047619047619
distance_to_squeeze_pct,2,negative_return_20,54,23,0.42592592592592593,0.39436619718309857,1.0800264550264551
distance_to_squeeze_pct,2,stop_before_target_3_2,55,22,0.4,0.5105633802816901,0.783448275862069
distance_to_squeeze_pct,3,negative_return_5,55,24,0.43636363636363634,0.41379310344827586,1.0545454545454545
distance_to_squeeze_pct,3,negative_return_20,55,19,0.34545454545454546,0.39436619718309857,0.8759740259740261
distance_to_squeeze_pct,3,stop_before_target_3_2,55,34,0.6181818181818182,0.5105633802816901,1.210783699059561
distance_to_squeeze_pct,4,negative_return_5,56,22,0.39285714285714285,0.41379310344827586,0.9494047619047619
distance_to_squeeze_pct,4,negative_return_20,53,20,0.37735849056603776,0.39436619718309857,0.9568733153638815
distance_to_squeeze_pct,4,stop_before_target_3_2,56,27,0.48214285714285715,0.5105633802816901,0.9443349753694582
distance_to_squeeze_pct,5,negative_return_5,57,25,0.43859649122807015,0.41379310344827586,1.0599415204678362
distance_to_squeeze_pct,5,negative_return_20,56,25,0.44642857142857145,0.39436619718309857,1.1320153061224492
distance_to_squeeze_pct,5,stop_before_target_3_2,54,25,0.46296296296296297,0.5105633802816901,0.9067688378033206
distance_to_upper_band_atr,1,negative_return_5,59,26,0.4406779661016949,0.41379310344827586,1.0649717514124293
distance_to_upper_band_atr,1,negative_return_20,58,18,0.3103448275862069,0.39436619718309857,0.7869458128078819
distance_to_upper_band_atr,1,stop_before_target_3_2,58,34,0.5862068965517241,0.5105633802816901,1.1481569560047562
distance_to_upper_band_atr,2,negative_return_5,57,21,0.3684210526315789,0.41379310344827586,0.8903508771929824
distance_to_upper_band_atr,2,negative_return_20,57,23,0.40350877192982454,0.39436619718309857,1.0231829573934836
distance_to_upper_band_atr,2,stop_before_target_3_2,56,27,0.48214285714285715,0.5105633802816901,0.9443349753694582
distance_to_upper_band_atr,3,negative_return_5,58,25,0.43103448275862066,0.41379310344827586,1.0416666666666665
distance_to_upper_band_atr,3,negative_return_20,58,22,0.3793103448275862,0.39436619718309857,0.9618226600985221
distance_to_upper_band_atr,3,stop_before_target_3_2,57,24,0.42105263157894735,0.5105633802816901,0.8246823956442831
distance_to_upper_band_atr,4,negative_return_5,58,25,0.43103448275862066,0.41379310344827586,1.0416666666666665
distance_to_upper_band_atr,4,negative_return_20,56,26,0.4642857142857143,0.39436619718309857,1.177295918367347
distance_to_upper_band_atr,4,stop_before_target_3_2,56,33,0.5892857142857143,0.5105633802816901,1.1541871921182267
distance_to_upper_band_atr,5,negative_return_5,58,23,0.39655172413793105,0.41379310344827586,0.9583333333333334
distance_to_upper_band_atr,5,negative_return_20,55,23,0.41818181818181815,0.39436619718309857,1.0603896103896104
distance_to_upper_band_atr,5,stop_before_target_3_2,57,27,0.47368421052631576,0.5105633802816901,0.9277676950998185
bars_since_rsi_up,1,negative_return_5,119,49,0.4117647058823529,0.41379310344827586,0.9950980392156863
bars_since_rsi_up,1,negative_return_20,117,54,0.46153846153846156,0.39436619718309857,1.1703296703296704
bars_since_rsi_up,1,stop_before_target_3_2,116,59,0.5086206896551724,0.5105633802816901,0.9961950059453032
bars_since_rsi_up,2,negative_return_5,92,36,0.391304347826087,0.41379310344827586,0.9456521739130436
bars_since_rsi_up,2,negative_return_20,88,28,0.3181818181818182,0.39436619718309857,0.8068181818181819
bars_since_rsi_up,2,stop_before_target_3_2,89,41,0.4606741573033708,0.5105633802816901,0.9022859356838435
bars_since_rsi_up,3,negative_return_5,29,16,0.5517241379310345,0.41379310344827586,1.3333333333333333
bars_since_rsi_up,3,negative_return_20,29,12,0.41379310344827586,0.39436619718309857,1.0492610837438425
bars_since_rsi_up,3,stop_before_target_3_2,29,20,0.6896551724137931,0.5105633802816901,1.3507728894173605
bars_since_rsi_up,4,negative_return_5,50,19,0.38,0.41379310344827586,0.9183333333333333
bars_since_rsi_up,4,negative_return_20,50,18,0.36,0.39436619718309857,0.9128571428571429
bars_since_rsi_up,4,stop_before_target_3_2,50,25,0.5,0.5105633802816901,0.9793103448275863
bars_since_oversold,1,negative_return_5,54,21,0.3888888888888889,0.41379310344827586,0.9398148148148149
bars_since_oversold,1,negative_return_20,54,19,0.35185185185185186,0.39436619718309857,0.8921957671957673
bars_since_oversold,1,stop_before_target_3_2,53,25,0.4716981132075472,0.5105633802816901,0.9238776837996097
bars_since_oversold,2,negative_return_5,54,26,0.48148148148148145,0.41379310344827586,1.1635802469135803
bars_since_oversold,2,negative_return_20,54,21,0.3888888888888889,0.39436619718309857,0.9861111111111112
bars_since_oversold,2,stop_before_target_3_2,54,28,0.5185185185185185,0.5105633802816901,1.015581098339719
bars_since_oversold,3,negative_return_5,49,19,0.3877551020408163,0.41379310344827586,0.9370748299319728
bars_since_oversold,3,negative_return_20,45,20,0.4444444444444444,0.39436619718309857,1.126984126984127
bars_since_oversold,3,stop_before_target_3_2,48,26,0.5416666666666666,0.5105633802816901,1.060919540229885
bars_since_oversold,4,negative_return_5,53,13,0.24528301886792453,0.41379310344827586,0.5927672955974843
