feature,count,missing,mean,median,q20,q80
rsi,291,0,50.91959101191935,50.73608014473719,48.239156761027964,53.73739828638568
rsi_distance_from_avg,291,0,5.418416391674961,5.763753172248663,1.2248751248257719,10.155390530033927
htf_adx,291,0,23.078454531076837,22.216209989540623,19.386695426659408,26.13575661936162
adx_margin,291,0,5.078454531076834,4.216209989540623,1.3866954266594078,8.135756619361619
ema_spread_pct,291,0,10.662466207194113,8.201270272836963,3.7405101726302474,15.97120691866939
atr_pct,291,0,3.3607502773931546,2.879939491829204,2.100694941378614,4.550467492421544
candle_range_atr,291,0,1.0042234297429824,0.973587413017921,0.7161782550480479,1.2496173235458454
volume_ratio,291,0,1.0787304489855427,0.9894129556553282,0.8121944717826985,1.2728327891843345
distance_to_breakout_atr,291,0,1.265993877250493,1.2163644621075533,0.38285763085443275,2.1548362433692176
bb_width,291,0,0.14771791071026438,0.12755796263745192,0.0833612578369737,0.19722413518820195
distance_to_squeeze_pct,282,9,40.645937356603994,32.505136368333524,1.892834617405299,80.55265794341213
distance_to_upper_band_atr,291,0,2.3003199703433577,2.3262984983561945,1.3210268969053385,3.278901648674114
bars_since_rsi_up,291,0,1.5120274914089347,1.0,0.0,3.0
bars_since_oversold,264,27,171.5568181818182,114.0,32.0,288.6
bars_since_squeeze,273,18,15.106227106227106,8.0,0.4000000000000057,27.600000000000023
