filter,horizon,a_observations,a_complete,a_censored,a_symbols,a_years,a_mean,a_median,a_q10,a_q90,a_positive,a_negative,a_positive_rate,a_trimmed_mean,a_mean_mfe,a_median_mfe,a_mean_mae,a_median_mae,a_mean_without_top_1,a_mean_without_bottom_1,a_top_1_influence,a_mean_without_top_3,a_mean_without_bottom_3,a_top_3_influence,a_mean_without_top_5,a_mean_without_bottom_5,a_top_5_influence,a_target_3_stop_2_resolved,a_target_3_stop_2_target_before_stop_count,a_target_3_stop_2_stop_before_target_count,a_target_3_stop_2_neither_count,a_target_3_stop_2_ambiguous_count,a_target_3_stop_2_censored_count,a_target_3_stop_2_rate,a_target_5_stop_3_resolved,a_target_5_stop_3_target_before_stop_count,a_target_5_stop_3_stop_before_target_count,a_target_5_stop_3_neither_count,a_target_5_stop_3_ambiguous_count,a_target_5_stop_3_censored_count,a_target_5_stop_3_rate,b_observations,b_complete,b_censored,b_symbols,b_years,b_mean,b_median,b_q10,b_q90,b_positive,b_negative,b_positive_rate,b_trimmed_mean,b_mean_mfe,b_median_mfe,b_mean_mae,b_median_mae,b_mean_without_top_1,b_mean_without_bottom_1,b_top_1_influence,b_mean_without_top_3,b_mean_without_bottom_3,b_top_3_influence,b_mean_without_top_5,b_mean_without_bottom_5,b_top_5_influence,b_target_3_stop_2_resolved,b_target_3_stop_2_target_before_stop_count,b_target_3_stop_2_stop_before_target_count,b_target_3_stop_2_neither_count,b_target_3_stop_2_ambiguous_count,b_target_3_stop_2_censored_count,b_target_3_stop_2_rate,b_target_5_stop_3_resolved,b_target_5_stop_3_target_before_stop_count,b_target_5_stop_3_stop_before_target_count,b_target_5_stop_3_neither_count,b_target_5_stop_3_ambiguous_count,b_target_5_stop_3_censored_count,b_target_5_stop_3_rate,delta_mean,delta_median,delta_trimmed,delta_positive_rate,delta_without_winner_top_1,delta_without_winner_top_3,delta_without_winner_top_5,informative_years,year_agreement,one_year_dependent,informative_symbols,symbol_agreement,one_symbol_dependent,tail_dependent,low_sample
pb_long_fail_trend,1,291,291,0,49,5,-1.9134267299348247e-05,0.0006197405641037435,-0.02799728662148948,0.026125737688043937,149,142,0.5120274914089347,0.00013547564880421286,0.015833930375817512,0.010998004875693912,-0.015242060232435106,-0.011161055848236678,-0.001092119455112961,0.00035076338597974196,0.0010729851878136126,-0.0015704232448068875,0.001005039201979323,0.0015512889775075392,-0.0020169662132068036,0.00158740944482751,0.0019978319459074555,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,469,468,1,50,5,0.00025137247751133384,-0.00042722897734398524,-0.027269976554998496,0.027246207814682663,231,236,0.4935897435897436,0.00014056038677299186,0.014844399758812079,0.010202063254650118,-0.013799030471068608,-0.010944528364417838,4.68364429317755e-06,0.0006001125216106152,0.00024668883321815626,-0.0004183036284534166,0.0010543099867500955,0.0006696761059647504,-0.0007554706720199882,0.001434992962052667,0.001006843149531322,458,206,252,0,8,3,0.4497816593886463,463,203,246,14,2,4,0.43844492440604754,0.0002705067448106821,-0.0010469695414477287,5.084737968779002e-06,-0.018437747819191053,2.3817911592525796e-05,-0.00039916936115406835,-0.00073633640472064,5,0.4,True,29,0.5172413793103449,True,True,False
pb_long_fail_trend,3,291,290,1,49,5,0.004099756881568764,0.00635213009160418,-0.050958421292674895,0.05452805672218599,170,120,0.5862068965517241,0.004740269547468444,0.032855420355146464,0.02220792618248113,-0.029511836911874666,-0.017114861608536536,0.002694039232337153,0.005012072289858159,0.0014057176492316107,0.0006114485680646066,0.006274417008555932,0.003488308313504157,-0.00040065422906754224,0.007357501414113454,0.004500411110636306,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,469,467,2,50,5,0.0006074315358621933,0.0019017582515499232,-0.05499691003717246,0.05370217001609846,242,225,0.5182012847965739,0.0007115279919090334,0.0298288315835539,0.020901694545345295,-0.027056235367520467,-0.0177703032622466,2.8238778554518594e-05,0.0010310706028282203,0.0005791927573076748,-0.0006696651461267173,0.0016715057065116445,0.0012770966819889108,-0.0011799001951514818,0.0022225214296340977,0.001787331731013675,458,206,252,0,8,3,0.4497816593886463,463,203,246,14,2,4,0.43844492440604754,-0.0034923253457065703,-0.004450371840054257,-0.004028741555559411,-0.06800561175515019,-0.0020866076964749596,-4.017032202413302e-06,0.0010080857649297356,5,0.8,False,29,0.7241379310344828,False,True,False
pb_long_fail_trend,5,291,290,1,49,5,0.006446121434534584,0.008678242149855686,-0.07205501664014155,0.07120463364200952,170,120,0.5862068965517241,0.006326184021853003,0.04386745213366457,0.030529959813530683,-0.036768642521381865,-0.020613126247815472,0.0042354186940775996,0.007129979000149155,0.002210702740456984,0.0021612652470414852,0.008297824136924505,0.004284856187493098,0.0012097027976103777,0.009432112736801498,0.005236418636924206,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,469,467,2,50,5,0.0026237612373478376,0.0018397325476680049,-0.06581024659818413,0.0645059074920048,241,226,0.5160599571734475,0.0014504360014966267,0.04128303677429704,0.02767215571968884,-0.036920115526581775,-0.025697383629735726,0.0019821344129590315,0.0030809487649348824,0.0006416268243888061,0.0008386702996330609,0.003934240746794535,0.0017850909377147767,-2.863986706916692e-05,0.004613070132335103,0.0026524011044170045,458,206,252,0,8,3,0.4497816593886463,463,203,246,14,2,4,0.43844492440604754,-0.003822360197186746,-0.006838509602187681,-0.004875748020356376,-0.07014693937827654,-0.001611657456729762,0.0004624959903063524,0.00141405843973746,5,0.6,False,29,0.7931034482758621,False,True,False
pb_long_fail_trend,10,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,469,460,9,50,5,0.007760686202209442,0.008076465645123765,-0.08800882808785,0.09677766186860531,253,207,0.55,0.00829151357841412,0.061560554554459704,0.04610152813672397,-0.05260735094856705,-0.03576192288475433,0.00709983179157584,0.00846698689204507,0.0006608544106336024,0.005936750200777831,0.009621142536350071,0.0018239360014316109,0.004903358462326995,0.0106135327181546,0.0028573277398824468,458,206,252,0,8,3,0.4497816593886463,463,203,246,14,2,4,0.43844492440604754,-0.011517116693331445,-0.00339039746937142,-0.005718585374395128,-0.022916666666666585,-0.00923799320151434,-0.006572763357040015,-0.004464963001766365,5,0.6,False,29,0.6206896551724138,False,False,False
pb_long_fail_trend,20,291,284,7,49,5,0.03064167878648003,0.013485567213067484,-0.08954793712826063,0.16416864128192574,172,112,0.6056338028169014,0.02449987743371431,0.09577077646875197,0.07646000508716555,-0.07138198196272136,-0.05325842954723092,0.028254447821795453,0.03206199448557684,0.002387230964684576,0.024581026023634163,0.033818276333956405,0.006060652762845866,0.022183705761712268,0.03555240981105116,0.008457973024767761,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,469,453,16,50,5,0.017002971262735027,0.013948760419726591,-0.12183271905972126,0.14813595641081043,243,210,0.5364238410596026,0.008393374959568697,0.09710581144598487,0.06953166818621814,-0.07653018583095883,-0.050981071767003616,0.014653608794832807,0.017893973601420463,0.0023493624679022194,0.011177755923065639,0.019428904902472004,0.005825215339669388,0.0086861173778839,0.02089432881662381,0.008316853884851127,458,206,252,0,8,3,0.4497816593886463,463,203,246,14,2,4,0.43844492440604754,-0.013638707523745002,0.0004631932066591071,-0.016106502474145613,-0.06920996175729877,-0.011251476559060426,-0.007578054760899136,-0.005180734498977241,5,0.6,False,29,0.6551724137931034,False,False,False
pb_long_fail_slow_ema,1,291,291,0,49,5,-1.9134267299348247e-05,0.0006197405641037435,-0.02799728662148948,0.026125737688043937,149,142,0.5120274914089347,0.00013547564880421286,0.015833930375817512,0.010998004875693912,-0.015242060232435106,-0.011161055848236678,-0.001092119455112961,0.00035076338597974196,0.0010729851878136126,-0.0015704232448068875,0.001005039201979323,0.0015512889775075392,-0.0020169662132068036,0.00158740944482751,0.0019978319459074555,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_slow_ema,3,291,290,1,49,5,0.004099756881568764,0.00635213009160418,-0.050958421292674895,0.05452805672218599,170,120,0.5862068965517241,0.004740269547468444,0.032855420355146464,0.02220792618248113,-0.029511836911874666,-0.017114861608536536,0.002694039232337153,0.005012072289858159,0.0014057176492316107,0.0006114485680646066,0.006274417008555932,0.003488308313504157,-0.00040065422906754224,0.007357501414113454,0.004500411110636306,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_slow_ema,5,291,290,1,49,5,0.006446121434534584,0.008678242149855686,-0.07205501664014155,0.07120463364200952,170,120,0.5862068965517241,0.006326184021853003,0.04386745213366457,0.030529959813530683,-0.036768642521381865,-0.020613126247815472,0.0042354186940775996,0.007129979000149155,0.002210702740456984,0.0021612652470414852,0.008297824136924505,0.004284856187493098,0.0012097027976103777,0.009432112736801498,0.005236418636924206,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_slow_ema,10,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_slow_ema,20,291,284,7,49,5,0.03064167878648003,0.013485567213067484,-0.08954793712826063,0.16416864128192574,172,112,0.6056338028169014,0.02449987743371431,0.09577077646875197,0.07646000508716555,-0.07138198196272136,-0.05325842954723092,0.028254447821795453,0.03206199448557684,0.002387230964684576,0.024581026023634163,0.033818276333956405,0.006060652762845866,0.022183705761712268,0.03555240981105116,0.008457973024767761,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
