filter,research_label,ablation_status,a_observations,a_complete,a_censored,a_symbols,a_years,a_mean,a_median,a_q10,a_q90,a_positive,a_negative,a_positive_rate,a_trimmed_mean,a_mean_mfe,a_median_mfe,a_mean_mae,a_median_mae,a_mean_without_top_1,a_mean_without_bottom_1,a_top_1_influence,a_mean_without_top_3,a_mean_without_bottom_3,a_top_3_influence,a_mean_without_top_5,a_mean_without_bottom_5,a_top_5_influence,a_target_3_stop_2_resolved,a_target_3_stop_2_target_before_stop_count,a_target_3_stop_2_stop_before_target_count,a_target_3_stop_2_neither_count,a_target_3_stop_2_ambiguous_count,a_target_3_stop_2_censored_count,a_target_3_stop_2_rate,a_target_5_stop_3_resolved,a_target_5_stop_3_target_before_stop_count,a_target_5_stop_3_stop_before_target_count,a_target_5_stop_3_neither_count,a_target_5_stop_3_ambiguous_count,a_target_5_stop_3_censored_count,a_target_5_stop_3_rate,b_observations,b_complete,b_censored,b_symbols,b_years,b_mean,b_median,b_q10,b_q90,b_positive,b_negative,b_positive_rate,b_trimmed_mean,b_mean_mfe,b_median_mfe,b_mean_mae,b_median_mae,b_mean_without_top_1,b_mean_without_bottom_1,b_top_1_influence,b_mean_without_top_3,b_mean_without_bottom_3,b_top_3_influence,b_mean_without_top_5,b_mean_without_bottom_5,b_top_5_influence,b_target_3_stop_2_resolved,b_target_3_stop_2_target_before_stop_count,b_target_3_stop_2_stop_before_target_count,b_target_3_stop_2_neither_count,b_target_3_stop_2_ambiguous_count,b_target_3_stop_2_censored_count,b_target_3_stop_2_rate,b_target_5_stop_3_resolved,b_target_5_stop_3_target_before_stop_count,b_target_5_stop_3_stop_before_target_count,b_target_5_stop_3_neither_count,b_target_5_stop_3_ambiguous_count,b_target_5_stop_3_censored_count,b_target_5_stop_3_rate,delta_mean,delta_median,delta_trimmed,delta_positive_rate,delta_without_winner_top_1,delta_without_winner_top_3,delta_without_winner_top_5,informative_years,year_agreement,one_year_dependent,informative_symbols,symbol_agreement,one_symbol_dependent,tail_dependent,low_sample
pb_long_fail_trend,SUPPORTED,NOT SAFE FOR ABLATION,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,469,460,9,50,5,0.007760686202209442,0.008076465645123765,-0.08800882808785,0.09677766186860531,253,207,0.55,0.00829151357841412,0.061560554554459704,0.04610152813672397,-0.05260735094856705,-0.03576192288475433,0.00709983179157584,0.00846698689204507,0.0006608544106336024,0.005936750200777831,0.009621142536350071,0.0018239360014316109,0.004903358462326995,0.0106135327181546,0.0028573277398824468,458,206,252,0,8,3,0.4497816593886463,463,203,246,14,2,4,0.43844492440604754,-0.011517116693331445,-0.00339039746937142,-0.005718585374395128,-0.022916666666666585,-0.00923799320151434,-0.006572763357040015,-0.004464963001766365,5,0.6,False,29,0.6206896551724138,False,False,False
pb_long_fail_slow_ema,LOW SAMPLE,NOT SAFE FOR ABLATION,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_rsi,MIXED,NOT SAFE FOR ABLATION,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,194,190,4,47,5,-0.010724913225560538,0.0033540068282150726,-0.12234213129164795,0.07477893532039565,98,92,0.5157894736842106,-0.007549687552597217,0.05163491896651691,0.0433037217564165,-0.06643107017596392,-0.041799268819959545,-0.012137790597681858,-0.009154460211771036,0.0014128773721213198,-0.014550725241560878,-0.006468714331281811,0.0038258120160003396,-0.01652035951208417,-0.0042290644847492185,0.0057954462865236304,188,82,106,0,5,1,0.43617021276595747,192,67,120,5,1,1,0.3489583333333333,-0.030002716121101426,-0.008112856286280112,-0.021559786505406464,-0.057127192982456054,-0.02772359262928432,-0.025058362784809995,-0.022950562429536345,5,0.8,False,12,0.5833333333333334,False,False,False
pb_long_fail_touch,LOW SAMPLE,NOT SAFE FOR ABLATION,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
pb_long_fail_reclaim,MIXED,NOT SAFE FOR ABLATION,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,2497,2463,34,50,5,0.01662291119280938,0.013274095154478527,-0.06899387363083656,0.10687984910503445,1445,1017,0.5866829070239545,0.015036224365373463,0.06504177833317167,0.04879690591443642,-0.04797825737715702,-0.034137564756880456,0.016426002799232703,0.0167657766201324,0.0001969083935766773,0.016080461653651908,0.01704571263071561,0.0005424495391574725,0.015775262028344308,0.017318618992,0.0008476491644650724,2447,1138,1305,4,42,8,0.46505925623212097,2468,1068,1322,78,8,21,0.4327390599675851,-0.002654891702731508,0.001807232039983342,0.0010261254125642147,0.013766240357287907,-0.00037576821091440255,0.002289461633559923,0.004397261988833574,5,0.6,True,31,0.41935483870967744,False,True,False
long_fail_direction,LOW SAMPLE,SAFE FINAL GATE,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
long_fail_volatility,LOW SAMPLE,SAFE FINAL GATE,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
long_fail_candle,LOW SAMPLE,SAFE FINAL GATE,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,7,7,0,6,3,0.03462009071581017,0.07044090344673304,-0.1078467254334079,0.15042247606582398,5,2,0.7142857142857143,0.03462009071581017,0.08771359474747507,0.07842593456671021,-0.05672728585316533,-0.0544384877777333,0.013701439776987087,0.0592259672122634,0.02091865093882308,-0.03407856778318502,0.11227395239753607,0.06869865849899519,-0.10870813257165812,0.15204072944631142,0.1433282232874683,7,2,5,0,0,0,0.2857142857142857,7,2,5,0,0,0,0.2857142857142857,0.01534228782026928,0.058974040332237854,0.02060999176300092,0.14136904761904767,-0.005576363118553801,-0.05335637067872591,-0.127985935467199,1,1.0,True,0,,True,True,True
long_fail_session,LOW SAMPLE,SAFE FINAL GATE,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
long_fail_confirmed,LOW SAMPLE,SAFE FINAL GATE,291,288,3,49,5,0.019277802895540888,0.011466863114495185,-0.06482082696512406,0.10818720169498272,165,123,0.5729166666666666,0.014010098952809249,0.06588364998926147,0.04756077226146582,-0.04912397132180077,-0.031354487653647733,0.016998679403723783,0.020000793404880483,0.0022791234918171054,0.014333449559249457,0.021275314332400406,0.004944353336291431,0.012225649203975807,0.022478957603315527,0.0070521536915650815,284,139,145,0,5,2,0.4894366197183099,287,138,142,7,2,2,0.4808362369337979,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,0,,False,0,,False,False,True
