hypothesis_id,group,group_value,a_n,b_n,a_mean,b_mean,delta,expected_direction
pullback:filter:pb_long_fail_trend,year,2021,17,41,-0.032300640834909855,-0.0014681080998026057,0.03083253273510725,-1
pullback:filter:pb_long_fail_trend,year,2022,42,57,0.009384369342228355,-0.015397809725119425,-0.02478217906734778,-1
pullback:filter:pb_long_fail_trend,year,2023,70,133,0.01470726508109265,0.02062680290016765,0.005919537819074998,-1
pullback:filter:pb_long_fail_trend,year,2024,92,159,0.041232738727103715,0.015149344709606135,-0.026083394017497583,-1
pullback:filter:pb_long_fail_trend,year,2025,67,70,0.013194837271128744,-0.009204676501565931,-0.022399513772694675,-1
pullback:filter:pb_long_fail_trend,symbol,AAPL,10,7,-0.010918353044128026,-0.0218181058429886,-0.010899752798860574,-1
pullback:filter:pb_long_fail_trend,symbol,ABNB,7,11,-0.002239498975915085,-0.010293897544322023,-0.008054398568406937,-1
pullback:filter:pb_long_fail_trend,symbol,AMD,3,11,-0.033851407633318696,0.0023425441870677977,0.0361939518203865,-1
pullback:filter:pb_long_fail_trend,symbol,AMZN,7,4,-0.019926713696024723,0.044702190823243254,0.06462890451926798,-1
pullback:filter:pb_long_fail_trend,symbol,ARM,0,5,,0.06147940906406406,,-1
pullback:filter:pb_long_fail_trend,symbol,ASML,2,6,0.03367599919537784,-0.00967525746327208,-0.04335125665864992,-1
pullback:filter:pb_long_fail_trend,symbol,AVGO,13,13,0.06804041088345304,0.022428027185653125,-0.04561238369779992,-1
pullback:filter:pb_long_fail_trend,symbol,BAC,4,2,0.02619110192201557,0.007730302212070661,-0.01846079970994491,-1
pullback:filter:pb_long_fail_trend,symbol,CAT,4,11,-0.04909966118799475,0.023936888122001707,0.07303654930999645,-1
pullback:filter:pb_long_fail_trend,symbol,COIN,4,14,0.22439267650951533,0.03789932627721056,-0.1864933502323048,-1
pullback:filter:pb_long_fail_trend,symbol,COP,7,8,0.012875441548937272,0.018319599806705708,0.005444158257768436,-1
pullback:filter:pb_long_fail_trend,symbol,COST,8,8,0.005681369787990012,0.02007518545185226,0.014393815663862247,-1
pullback:filter:pb_long_fail_trend,symbol,CRM,2,3,0.05851592629171032,-0.0076954822373770755,-0.0662114085290874,-1
pullback:filter:pb_long_fail_trend,symbol,CRWD,2,9,0.053644323478584444,0.03911904936811978,-0.014525274110464663,-1
pullback:filter:pb_long_fail_trend,symbol,CVX,5,9,0.02448975112789984,-0.02827567926714336,-0.0527654303950432,-1
pullback:filter:pb_long_fail_trend,symbol,DDOG,3,11,0.04462414466594544,-0.04133903535179698,-0.08596318001774242,-1
pullback:filter:pb_long_fail_trend,symbol,DE,7,25,0.01798586479057951,0.011403863599899741,-0.006582001190679768,-1
pullback:filter:pb_long_fail_trend,symbol,ETN,7,8,-0.006798876454413254,-0.021388962368349432,-0.014590085913936178,-1
pullback:filter:pb_long_fail_trend,symbol,GE,7,6,0.029818901101608182,0.013636424074275214,-0.01618247702733297,-1
pullback:filter:pb_long_fail_trend,symbol,GOOGL,6,9,0.07116497668982984,0.0015361091920621764,-0.06962886749776766,-1
pullback:filter:pb_long_fail_trend,symbol,GS,2,5,-0.0008447360372254575,-0.01725588659596542,-0.016411150558739963,-1
pullback:filter:pb_long_fail_trend,symbol,HD,2,7,0.03265664095094567,0.004651906165536441,-0.028004734785409227,-1
pullback:filter:pb_long_fail_trend,symbol,HON,2,21,0.009913607780268563,-0.020610884031581622,-0.030524491811850185,-1
pullback:filter:pb_long_fail_trend,symbol,HOOD,2,7,0.16429390890403123,0.12039629261189622,-0.04389761629213501,-1
pullback:filter:pb_long_fail_trend,symbol,JPM,6,6,0.028417288812946473,-0.00286841588661176,-0.031285704699558235,-1
pullback:filter:pb_long_fail_trend,symbol,LLY,12,11,0.013968666762992854,0.023259308266718112,0.009290641503725258,-1
pullback:filter:pb_long_fail_trend,symbol,MA,6,17,-0.024966439609803086,0.006681158122891384,0.031647597732694474,-1
pullback:filter:pb_long_fail_trend,symbol,META,7,6,0.030025836742604346,0.07823002857063584,0.04820419182803149,-1
pullback:filter:pb_long_fail_trend,symbol,MRVL,3,8,-0.03381300633862124,0.04816675482476111,0.08197976116338235,-1
pullback:filter:pb_long_fail_trend,symbol,MS,10,5,0.004077158559157634,0.016724008194396834,0.0126468496352392,-1
pullback:filter:pb_long_fail_trend,symbol,MSFT,3,3,-0.015670579508813454,0.010422806383537875,0.02609338589235133,-1
pullback:filter:pb_long_fail_trend,symbol,MU,4,10,0.03815400234424571,-0.0005316101210849466,-0.03868561246533066,-1
pullback:filter:pb_long_fail_trend,symbol,NFLX,7,6,0.021582780075569272,0.022854846780767102,0.0012720667051978295,-1
pullback:filter:pb_long_fail_trend,symbol,NKE,1,7,-0.02628581140529207,0.01213200220056611,0.03841781360585818,-1
pullback:filter:pb_long_fail_trend,symbol,NOW,6,11,0.028765421265756725,-0.016413076887702934,-0.04517849815345966,-1
pullback:filter:pb_long_fail_trend,symbol,NVDA,8,7,0.042557643799453926,-0.032477602500894744,-0.07503524630034866,-1
pullback:filter:pb_long_fail_trend,symbol,ORCL,9,3,0.057075939089944315,0.09447091856859968,0.03739497947865537,-1
pullback:filter:pb_long_fail_trend,symbol,PANW,10,16,0.024881694231120022,0.011662275407087579,-0.013219418824032443,-1
pullback:filter:pb_long_fail_trend,symbol,PLTR,8,10,0.05863842367658467,-0.0009433474903726369,-0.05958177116695731,-1
pullback:filter:pb_long_fail_trend,symbol,QCOM,2,8,0.021461931931613554,0.0047252824574521846,-0.01673664947416137,-1
pullback:filter:pb_long_fail_trend,symbol,ROKU,7,5,0.005738062821913851,-0.09242514140995872,-0.09816320423187257,-1
pullback:filter:pb_long_fail_trend,symbol,RTX,6,10,-0.01969558078783849,-0.004631116451746531,0.01506446433609196,-1
pullback:filter:pb_long_fail_trend,symbol,SHOP,4,6,0.019392387971378017,-0.045118146097346955,-0.06451053406872498,-1
pullback:filter:pb_long_fail_trend,symbol,SMCI,9,10,-0.027148363602587433,0.023897059815672063,0.051045423418259496,-1
pullback:filter:pb_long_fail_trend,symbol,TSLA,5,11,0.01736977156508479,0.00602900135497913,-0.01134077021010566,-1
pullback:filter:pb_long_fail_trend,symbol,TSM,5,12,0.017665510998538147,-0.0016674699786624614,-0.019332980977200608,-1
pullback:filter:pb_long_fail_trend,symbol,UBER,7,12,0.026507776658319986,-0.005951013803356349,-0.03245879046167634,-1
pullback:filter:pb_long_fail_trend,symbol,V,10,19,-0.0009536877340088013,0.008544165839505295,0.009497853573514096,-1
pullback:filter:pb_long_fail_trend,symbol,WMT,10,8,0.027548090943123972,0.014837672492304027,-0.012710418450819945,-1
pullback:filter:pb_long_fail_trend,symbol,XOM,7,13,-0.04570341173269584,0.034109723822222875,0.07981313555491872,-1
pullback:filter:pb_long_fail_slow_ema,year,2021,17,0,-0.032300640834909855,,,0
pullback:filter:pb_long_fail_slow_ema,year,2022,42,0,0.009384369342228355,,,0
pullback:filter:pb_long_fail_slow_ema,year,2023,70,0,0.01470726508109265,,,0
pullback:filter:pb_long_fail_slow_ema,year,2024,92,0,0.041232738727103715,,,0
pullback:filter:pb_long_fail_slow_ema,year,2025,67,0,0.013194837271128744,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,AAPL,10,0,-0.010918353044128026,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,ABNB,7,0,-0.002239498975915085,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,AMD,3,0,-0.033851407633318696,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,AMZN,7,0,-0.019926713696024723,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,ASML,2,0,0.03367599919537784,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,AVGO,13,0,0.06804041088345304,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,BAC,4,0,0.02619110192201557,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,CAT,4,0,-0.04909966118799475,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,COIN,4,0,0.22439267650951533,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,COP,7,0,0.012875441548937272,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,COST,8,0,0.005681369787990012,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,CRM,2,0,0.05851592629171032,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,CRWD,2,0,0.053644323478584444,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,CVX,5,0,0.02448975112789984,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,DDOG,3,0,0.04462414466594544,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,DE,7,0,0.01798586479057951,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,ETN,7,0,-0.006798876454413254,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,GE,7,0,0.029818901101608182,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,GOOGL,6,0,0.07116497668982984,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,GS,2,0,-0.0008447360372254575,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,HD,2,0,0.03265664095094567,,,0
pullback:filter:pb_long_fail_slow_ema,symbol,HON,2,0,0.009913607780268563,,,0
