blocker,feature,bin,observations,complete,positive,positive_rate,median_feature,mean
long_fail_candle,rsi,1,0,0,0,,,
long_fail_candle,rsi,2,0,0,0,,,
long_fail_candle,rsi,3,1,1,0,0.0,71.90846207138411,-0.03983058021138175
long_fail_candle,rsi,4,1,1,0,0.0,72.81628853399434,-0.012701598397753866
long_fail_candle,rsi,5,6,5,3,0.6,77.11137079786229,0.023105094553800963
long_fail_candle,rsi_distance_from_avg,1,2,2,1,0.5,3.6656740036407314,0.03922040767609142
long_fail_candle,rsi_distance_from_avg,2,1,1,0,0.0,8.05661915027008,-0.023833241467255517
long_fail_candle,rsi_distance_from_avg,3,0,0,0,,,
long_fail_candle,rsi_distance_from_avg,4,2,2,1,0.5,11.412863317499799,0.01961739066180812
long_fail_candle,rsi_distance_from_avg,5,3,2,1,0.5,16.812604764354845,-0.015424530524337177
long_fail_candle,htf_adx,1,0,0,0,,,
long_fail_candle,htf_adx,2,0,0,0,,,
long_fail_candle,htf_adx,3,2,1,1,1.0,25.08117491678363,0.03682014063747574
long_fail_candle,htf_adx,4,1,1,0,0.0,34.494428304252395,-0.023833241467255517
long_fail_candle,htf_adx,5,5,5,2,0.4,39.496939381249085,0.010001278997929797
long_fail_candle,adx_margin,1,0,0,0,,,
long_fail_candle,adx_margin,2,0,0,0,,,
long_fail_candle,adx_margin,3,2,1,1,1.0,7.081174916783631,0.03682014063747574
long_fail_candle,adx_margin,4,1,1,0,0.0,16.494428304252395,-0.023833241467255517
long_fail_candle,adx_margin,5,5,5,2,0.4,21.496939381249085,0.010001278997929797
long_fail_candle,ema_spread_pct,1,2,2,2,1.0,2.6834972060261473,0.044378260179422924
long_fail_candle,ema_spread_pct,2,0,0,0,,,
long_fail_candle,ema_spread_pct,3,2,1,0,0.0,7.952334621863665,-0.023833241467255517
long_fail_candle,ema_spread_pct,4,2,2,0,0.0,13.642134868357177,-0.04018540004195198
long_fail_candle,ema_spread_pct,5,2,2,1,0.5,29.30871988883882,0.03922040767609142
long_fail_candle,atr_pct,1,0,0,0,,,
long_fail_candle,atr_pct,2,1,1,1,1.0,2.0791430931220467,0.03682014063747574
long_fail_candle,atr_pct,3,2,2,0,0.0,2.2224656570630437,-0.01826741993250469
long_fail_candle,atr_pct,4,2,2,1,0.5,3.0144811871538826,-0.007866410982389993
long_fail_candle,atr_pct,5,3,2,1,0.5,3.6486017198389296,0.03922040767609142
long_fail_candle,candle_range_atr,1,0,0,0,,,
long_fail_candle,candle_range_atr,2,0,0,0,,,
long_fail_candle,candle_range_atr,3,0,0,0,,,
long_fail_candle,candle_range_atr,4,0,0,0,,,
long_fail_candle,candle_range_atr,5,8,7,3,0.42857142857142855,2.4430052407695175,0.008999042022838457
long_fail_candle,volume_ratio,1,0,0,0,,,
long_fail_candle,volume_ratio,2,0,0,0,,,
long_fail_candle,volume_ratio,3,0,0,0,,,
long_fail_candle,volume_ratio,4,0,0,0,,,
long_fail_candle,volume_ratio,5,8,7,3,0.42857142857142855,2.430490483987076,0.008999042022838457
long_fail_candle,distance_to_breakout_atr,1,4,3,2,0.6666666666666666,-2.8590946227898266,0.021641092963863445
long_fail_candle,distance_to_breakout_atr,2,1,1,0,0.0,-0.19566078893597874,-0.0676692016861501
long_fail_candle,distance_to_breakout_atr,3,0,0,0,,,
long_fail_candle,distance_to_breakout_atr,4,2,2,1,0.5,0.3176976537474366,0.05278489858290536
long_fail_candle,distance_to_breakout_atr,5,1,1,0,0.0,0.9793187832291115,-0.03983058021138175
long_fail_candle,bb_width,1,0,0,0,,,
long_fail_candle,bb_width,2,1,1,0,0.0,0.10603199789224335,-0.012701598397753866
long_fail_candle,bb_width,3,0,0,0,,,
long_fail_candle,bb_width,4,3,3,1,0.3333333333333333,0.1429735160667118,-0.018227434171976625
