feature,bin,horizon,median_feature,observations,complete,censored,symbols,years,mean,median,q10,q90,positive,negative,positive_rate,trimmed_mean,mean_mfe,median_mfe,mean_mae,median_mae,mean_without_top_1,mean_without_bottom_1,top_1_influence,mean_without_top_3,mean_without_bottom_3,top_3_influence,mean_without_top_5,mean_without_bottom_5,top_5_influence,target_3_stop_2_resolved,target_3_stop_2_target_before_stop_count,target_3_stop_2_stop_before_target_count,target_3_stop_2_neither_count,target_3_stop_2_ambiguous_count,target_3_stop_2_censored_count,target_3_stop_2_rate,target_5_stop_3_resolved,target_5_stop_3_target_before_stop_count,target_5_stop_3_stop_before_target_count,target_5_stop_3_neither_count,target_5_stop_3_ambiguous_count,target_5_stop_3_censored_count,target_5_stop_3_rate
rsi,1,1,64.47910823764789,46,46,0,29,4,-0.00039284525973055023,-9.34908215645125e-05,-0.022780321391857095,0.02130665764575357,23,23,0.5,-0.0018160313621427763,0.012628175769281958,0.009316832100979555,-0.01151091176445046,-0.008484853011234916,-0.001538394101982764,0.0003207911427163627,0.0011455488422522139,-0.0036658911734255,0.0016087162408365571,0.00327304591369495,-0.004917699968586023,0.0028256403168781447,0.004524854708855473,45,17,28,0,1,0,0.37777777777777777,46,19,27,0,0,0,0.41304347826086957
rsi,1,3,64.47910823764789,46,46,0,29,4,0.007394414742132045,0.005455774237403732,-0.04010208954632277,0.04958599982519951,27,19,0.5869565217391305,0.003201230768072488,0.030234834850263258,0.016010780771673505,-0.02119803002664509,-0.018096377591988344,0.003990787043022742,0.008913665579381629,0.0034036276991093036,-0.0008914592800833456,0.012028812885212008,0.008285874022215391,-0.003737895423662007,0.014666711771505029,0.011132310165794052,45,17,28,0,1,0,0.37777777777777777,46,19,27,0,0,0,0.41304347826086957
rsi,1,5,64.47910823764789,46,43,3,28,4,0.008571109419672745,0.006862941582908455,-0.042756762362906285,0.06141845366761974,25,18,0.5813953488372093,0.005006278713816533,0.034888440050940994,0.025395778690430415,-0.026167438900298254,-0.022914303926259372,0.005030908705804844,0.010858179854960829,0.003540200713867901,0.0005624579605463503,0.01376421063548453,0.008008651459126395,-0.0030514730570357597,0.01680051144740759,0.011622582476708505,45,17,28,0,1,0,0.37777777777777777,46,19,27,0,0,0,0.41304347826086957
rsi,1,10,64.47910823764789,46,43,3,28,4,0.0035788756740882627,-0.00043186380177706596,-0.07235422123907428,0.09405426652540821,21,22,0.4883720930232558,-0.0014728488741860707,0.05036437583514289,0.028029452823474577,-0.04219750813278739,-0.029285660729378216,-0.0021307952875588474,0.008463480990024202,0.00570967096164711,-0.010109755398691578,0.013693728166847408,0.013688631072779841,-0.016395464899531097,0.01839976048560652,0.01997434057361936,45,17,28,0,1,0,0.37777777777777777,46,19,27,0,0,0,0.41304347826086957
rsi,1,20,64.47910823764789,46,43,3,28,4,0.031591043222891385,0.016747759251432237,-0.08566812638017476,0.1433910150948311,26,17,0.6046511627906976,0.020001994194645496,0.09020024690632547,0.05733097312872104,-0.06282492653366745,-0.04370207661519776,0.022422577969092576,0.037561043208026446,0.009168465253798809,0.006886229058769894,0.046727824002674764,0.024704814164121493,-0.0013817611960326042,0.05404621310583655,0.03297280441892399,45,17,28,0,1,0,0.37777777777777777,46,19,27,0,0,0,0.41304347826086957
rsi,2,1,68.12187090096192,45,45,0,26,4,-0.00022645312522937556,7.967925059926273e-05,-0.01899929809336387,0.021630456150327104,23,22,0.5111111111111111,0.00044037511213960425,0.013281721365286976,0.008051173041250914,-0.010052157576436392,-0.006628021891268765,-0.0010378880581664509,0.0012316954590821131,0.0008114349329370753,-0.0027118983246953933,0.0030415121824291513,0.0024854451994660177,-0.004092824233540163,0.004190426608659434,0.0038663711083107874,45,22,23,0,0,0,0.4888888888888889,45,19,23,3,0,0,0.4222222222222222
rsi,2,3,68.12187090096192,45,45,0,26,4,-0.006956583810001339,-0.001395847622177926,-0.04766324572656522,0.02741256512703721,21,24,0.4666666666666667,-0.001510744712500867,0.02092620354873742,0.018201251595765244,-0.026858397431544043,-0.01683164252183278,-0.008063790661418936,-0.0036092947319041765,0.0011072068514175974,-0.010246383600884852,0.0007374704430159222,0.0032897997908835127,-0.012280994155968053,0.0036137487958678603,0.0053244103459667135,45,22,23,0,0,0,0.4888888888888889,45,19,23,3,0,0,0.4222222222222222
rsi,2,5,68.12187090096192,45,45,0,26,4,-0.006398754836647511,0.0009559398310012845,-0.05808286782308622,0.03252865381644119,23,22,0.5111111111111111,-0.002887415006335429,0.027496291696725787,0.026985093308732777,-0.03353727175514021,-0.019058887886354348,-0.008018406753520325,-0.003925894259292212,0.0016196519168728135,-0.010567966397069065,0.0004669130527646339,0.004169211560421554,-0.012860953904490834,0.003699830385650635,0.006462199067843323,45,22,23,0,0,0,0.4888888888888889,45,19,23,3,0,0,0.4222222222222222
rsi,2,10,68.12187090096192,45,45,0,26,4,-0.01439960289318035,-0.00339558257722794,-0.10445869144070237,0.051405873010767246,20,25,0.4444444444444444,-0.010649271444958542,0.03920720803311337,0.03407564470156976,-0.053384970171855194,-0.030772512644483108,-0.01847740380843738,-0.009997670969152182,0.004077800915257029,-0.024088919655330363,-0.0028721556271852407,0.009689316762150013,-0.027963385841989086,0.0033127741597881706,0.013563782948808736,45,22,23,0,0,0,0.4888888888888889,45,19,23,3,0,0,0.4222222222222222
rsi,2,20,68.12187090096192,45,45,0,26,4,-0.003038896145167295,-0.002259098302266338,-0.17700947781819937,0.12332007884956153,21,24,0.4666666666666667,-0.006034368462896088,0.07249921344767929,0.05129794516181185,-0.07765901167514763,-0.050366951748791244,-0.011671016548272527,0.0024236461915216234,0.008632120403105233,-0.0208745394073029,0.011733094236844554,0.017835643262135607,-0.02920671384842293,0.021439106201042644,0.026167817703255637,45,22,23,0,0,0,0.4888888888888889,45,19,23,3,0,0,0.4222222222222222
