filter,horizon,a_observations,a_complete,a_censored,a_symbols,a_years,a_mean,a_median,a_q10,a_q90,a_positive,a_negative,a_positive_rate,a_trimmed_mean,a_mean_mfe,a_median_mfe,a_mean_mae,a_median_mae,a_mean_without_top_1,a_mean_without_bottom_1,a_top_1_influence,a_mean_without_top_3,a_mean_without_bottom_3,a_top_3_influence,a_mean_without_top_5,a_mean_without_bottom_5,a_top_5_influence,a_target_3_stop_2_resolved,a_target_3_stop_2_target_before_stop_count,a_target_3_stop_2_stop_before_target_count,a_target_3_stop_2_neither_count,a_target_3_stop_2_ambiguous_count,a_target_3_stop_2_censored_count,a_target_3_stop_2_rate,a_target_5_stop_3_resolved,a_target_5_stop_3_target_before_stop_count,a_target_5_stop_3_stop_before_target_count,a_target_5_stop_3_neither_count,a_target_5_stop_3_ambiguous_count,a_target_5_stop_3_censored_count,a_target_5_stop_3_rate,b_observations,b_complete,b_censored,b_symbols,b_years,b_mean,b_median,b_q10,b_q90,b_positive,b_negative,b_positive_rate,b_trimmed_mean,b_mean_mfe,b_median_mfe,b_mean_mae,b_median_mae,b_mean_without_top_1,b_mean_without_bottom_1,b_top_1_influence,b_mean_without_top_3,b_mean_without_bottom_3,b_top_3_influence,b_mean_without_top_5,b_mean_without_bottom_5,b_top_5_influence,b_target_3_stop_2_resolved,b_target_3_stop_2_target_before_stop_count,b_target_3_stop_2_stop_before_target_count,b_target_3_stop_2_neither_count,b_target_3_stop_2_ambiguous_count,b_target_3_stop_2_censored_count,b_target_3_stop_2_rate,b_target_5_stop_3_resolved,b_target_5_stop_3_target_before_stop_count,b_target_5_stop_3_stop_before_target_count,b_target_5_stop_3_neither_count,b_target_5_stop_3_ambiguous_count,b_target_5_stop_3_censored_count,b_target_5_stop_3_rate,delta_mean,delta_median,delta_trimmed,delta_positive_rate,delta_without_winner_top_1,delta_without_winner_top_3,delta_without_winner_top_5,informative_years,year_agreement,one_year_dependent,informative_symbols,symbol_agreement,one_symbol_dependent,tail_dependent,low_sample
sq_long_fail_trend,1,228,228,0,47,5,-0.0005393407729142518,-0.0005399555746893325,-0.021861222268355938,0.022127922325241547,107,121,0.4692982456140351,-0.0008520749635091086,0.013489545519495095,0.009193722046756392,-0.012781934740517907,-0.009393523327268838,-0.001074922812480944,-0.0001711891133276521,0.0005355820395666921,-0.0016732626108578003,0.00036716698617008585,0.0011339218379435485,-0.0021191157250083016,0.0008119322946322056,0.0015797749520940498,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,355,353,2,49,4,0.00038485505737658176,0.0006006898996371302,-0.02513014202099282,0.026563031362045388,183,169,0.5184135977337111,-0.0002885553131902811,0.015092779975105974,0.009658423627014523,-0.015191893234163327,-0.011005900401618751,-0.00011285533429223792,0.0006550521451407776,0.0004977103916688197,-0.0008630131828776313,0.0011392011983875135,0.001247868240254213,-0.0013364429680878273,0.0015754757795332687,0.001721298025464409,341,149,192,0,12,2,0.436950146627566,351,144,201,6,2,2,0.41025641025641024,0.0009241958302908335,0.0011406454743264627,0.0005635196503188276,0.04911535211967599,0.0004264854386220139,-0.00032367240996337943,-0.0007971021951735755,4,0.75,True,18,0.6666666666666666,False,True,False
sq_long_fail_trend,3,228,228,0,47,5,0.0006331347621147774,0.0020427011749875046,-0.0414690072368169,0.03587094206895902,119,109,0.5219298245614035,0.00021741249457960088,0.02700011032740328,0.01882085660862709,-0.02517058985458061,-0.01765316200728695,-0.0003305209576932271,0.0013441306293467679,0.0009636557198080044,-0.0019921317014630112,0.002533935162387072,0.0026252664635777884,-0.0029872098601290763,0.0034203550928428583,0.003620344622243854,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,355,353,2,49,4,0.002417806056367221,0.0042028350534997205,-0.044358822785084094,0.0468200689419752,196,156,0.5552407932011332,0.001430658740152689,0.0317550710425991,0.02093434862448551,-0.02886540441384363,-0.01740045693193637,0.001728230104582456,0.0032330168392507297,0.0006895759517847649,0.0003874875209291544,0.004359924422232082,0.0020303185354380664,-0.0006392844645798125,0.005269266555247541,0.0030570905209470335,341,149,192,0,12,2,0.436950146627566,351,144,201,6,2,2,0.41025641025641024,0.0017846712942524436,0.002160133878512216,0.001213246245573088,0.03331096863972971,0.0010950953424676787,-0.00024564724118562295,-0.0012724192266945899,4,0.75,False,18,0.4444444444444444,True,True,False
sq_long_fail_trend,5,228,225,3,47,5,0.0016633216436527758,0.0040323099684469454,-0.046274929000410255,0.049470279119641906,124,101,0.5511111111111111,0.0013180762898707316,0.033854855480124485,0.025809199729732057,-0.03250195670576886,-0.021270104615802032,0.0008985274374151221,0.002694348733495127,0.0007647942062376536,-0.00043000337599353924,0.004034115097460707,0.002093325019646315,-0.001473725278615294,0.005117146451247844,0.0031370469222680697,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,355,352,3,49,4,0.00998715445311757,0.008101256688369807,-0.05438219099456012,0.07219137438315881,209,143,0.59375,0.007654216565520252,0.04410257833045972,0.0296494744644078,-0.03601500364888876,-0.024552571588224437,0.00910232488317977,0.010726247276323998,0.0008848295699377985,0.007473762492539154,0.011923286526140348,0.0025133919605784157,0.005993039681878936,0.012942472031853062,0.003994114771238634,341,149,192,0,12,2,0.436950146627566,351,144,201,6,2,2,0.41025641025641024,0.008323832809464794,0.004068946719922861,0.006336140275649521,0.04263888888888889,0.007439003239526995,0.005810440848886378,0.00432971803822616,4,1.0,False,18,0.5555555555555556,False,False,False
sq_long_fail_trend,10,228,225,3,47,5,0.003910544834304834,0.002293243887924845,-0.07832328647344204,0.07638929238928224,115,110,0.5111111111111111,0.0028625851275911173,0.05063683444770938,0.037223620899974774,-0.04713252581353578,-0.030740407119505653,0.0027187757317841477,0.005004549174854989,0.001191769102520686,0.0005862669909055418,0.007028014312694363,0.003324277843399292,-0.001257678718812279,0.008797387225949055,0.0051682235531171124,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,355,350,5,49,4,0.024049101070035758,0.01950364272539351,-0.06487052527840924,0.10412295159243011,221,129,0.6314285714285715,0.01848811880400305,0.07177217473362556,0.04702215208124849,-0.04739998761718628,-0.03572203948016289,0.02290727350158233,0.024849779056761605,0.0011418275684534282,0.02095678784939866,0.026198966650062515,0.003092313220637098,0.019324283306320543,0.0272328300425767,0.004724817763715215,341,149,192,0,12,2,0.436950146627566,351,144,201,6,2,2,0.41025641025641024,0.020138556235730923,0.017210398837468666,0.01562553367641193,0.12031746031746038,0.018996728667277495,0.017046243015093825,0.01541373847201571,4,1.0,False,18,0.6111111111111112,False,False,False
sq_long_fail_trend,20,228,225,3,47,5,0.018170130318044247,0.010748707255504364,-0.12351126750281964,0.1439977248968312,126,99,0.56,0.011196201183027672,0.08609897754857536,0.056804589420219154,-0.06822064025755425,-0.04487280563530338,0.016391128293203192,0.019424123953997913,0.0017790020248410546,0.013067905539676924,0.02175193486837917,0.005102224778367323,0.009998125988593409,0.023989515066358717,0.008172004329450838,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,355,346,9,49,4,0.0398666708081736,0.029252174134548503,-0.09544952510910015,0.1742728154063925,205,141,0.5924855491329479,0.02972054898311078,0.11752565551684457,0.07358611339706078,-0.06578081097319295,-0.05209256897128517,0.038094293629854344,0.04081303810068251,0.0017723771783192538,0.03472549423699267,0.042550849377530675,0.005141176571180926,0.03221981253742361,0.04421491751457222,0.007646858270749984,341,149,192,0,12,2,0.436950146627566,351,144,201,6,2,2,0.41025641025641024,0.02169654049012935,0.01850346687904414,0.018524347800083107,0.03248554913294788,0.019924163311810097,0.016555363918948424,0.014049682219379366,4,0.75,False,18,0.5555555555555556,False,False,False
sq_long_fail_recent,1,228,228,0,47,5,-0.0005393407729142518,-0.0005399555746893325,-0.021861222268355938,0.022127922325241547,107,121,0.4692982456140351,-0.0008520749635091086,0.013489545519495095,0.009193722046756392,-0.012781934740517907,-0.009393523327268838,-0.001074922812480944,-0.0001711891133276521,0.0005355820395666921,-0.0016732626108578003,0.00036716698617008585,0.0011339218379435485,-0.0021191157250083016,0.0008119322946322056,0.0015797749520940498,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,601,597,4,50,5,4.420737096976114e-05,-0.0008218843642979756,-0.023297186759088075,0.02296867160454492,284,310,0.47571189279731996,-0.0006343436578013316,0.014783778413569402,0.009834333542506624,-0.013610945773238016,-0.00961095310331439,-0.0001909474513836365,0.00037965148225129543,0.00023515482235339765,-0.0005450728505862164,0.0007018377685579209,0.0005892802215559775,-0.0008415266066083605,0.0009474513874031082,0.0008857339775781216,578,254,321,3,17,6,0.43944636678200694,588,226,321,41,4,9,0.3843537414965986,0.0005835481438840129,-0.0002819287896086431,0.000217731305707777,0.006413647183284854,0.0003483933215306153,-5.732077671964609e-06,-0.0003021858336941087,4,0.75,True,23,0.5217391304347826,True,True,False
sq_long_fail_recent,3,228,228,0,47,5,0.0006331347621147774,0.0020427011749875046,-0.0414690072368169,0.03587094206895902,119,109,0.5219298245614035,0.00021741249457960088,0.02700011032740328,0.01882085660862709,-0.02517058985458061,-0.01765316200728695,-0.0003305209576932271,0.0013441306293467679,0.0009636557198080044,-0.0019921317014630112,0.002533935162387072,0.0026252664635777884,-0.0029872098601290763,0.0034203550928428583,0.003620344622243854,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,601,594,7,50,5,0.0013287489022884855,0.002641868997862784,-0.039612990668477635,0.04022514726478136,319,272,0.5370370370370371,0.0017142068072164543,0.028502454149724746,0.019803223781673873,-0.02598265623164161,-0.016771154463893156,0.000911680790357781,0.0017842020927087028,0.00041706811193070454,0.000355195833559048,0.0022436370891405592,0.0009735530687294376,-0.00014651127467117252,0.0026656407062181278,0.001475260176959658,578,254,321,3,17,6,0.43944636678200694,588,226,321,41,4,9,0.3843537414965986,0.0006956141401737081,0.0005991678228752795,0.0014967943126368533,0.015107212475633625,0.0002785460282430036,-0.00027793892855572936,-0.0007796460367859499,4,0.75,True,23,0.391304347826087,True,True,False
sq_long_fail_recent,5,228,225,3,47,5,0.0016633216436527758,0.0040323099684469454,-0.046274929000410255,0.049470279119641906,124,101,0.5511111111111111,0.0013180762898707316,0.033854855480124485,0.025809199729732057,-0.03250195670576886,-0.021270104615802032,0.0008985274374151221,0.002694348733495127,0.0007647942062376536,-0.00043000337599353924,0.004034115097460707,0.002093325019646315,-0.001473725278615294,0.005117146451247844,0.0031370469222680697,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,601,589,12,50,5,0.005094503778087396,0.005291879151585022,-0.04824034208375687,0.05669123428299378,325,264,0.5517826825127334,0.0036301926819865514,0.03871339152805655,0.026653525061519634,-0.03325320158612017,-0.023691436331417792,0.004685287125900121,0.005503067411035154,0.0004092166521872751,0.003986495944575264,0.006027648450646014,0.001108007833512132,0.0033214383497947382,0.006526138603133437,0.0017730654282926577,578,254,321,3,17,6,0.43944636678200694,588,226,321,41,4,9,0.3843537414965986,0.00343118213443462,0.0012595691831380762,0.0023121163921158198,0.0006715714016223284,0.003021965482247345,0.002323174300922488,0.0016581167061419625,4,0.5,True,23,0.4782608695652174,False,False,False
sq_long_fail_recent,10,228,225,3,47,5,0.003910544834304834,0.002293243887924845,-0.07832328647344204,0.07638929238928224,115,110,0.5111111111111111,0.0028625851275911173,0.05063683444770938,0.037223620899974774,-0.04713252581353578,-0.030740407119505653,0.0027187757317841477,0.005004549174854989,0.001191769102520686,0.0005862669909055418,0.007028014312694363,0.003324277843399292,-0.001257678718812279,0.008797387225949055,0.0051682235531171124,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,601,579,22,50,5,0.009107681107777432,0.007316789823933689,-0.07599569100277856,0.08684449738842086,327,252,0.5647668393782384,0.0070936342787038965,0.057225724522096295,0.03722504935819937,-0.047641697739184884,-0.03348567707069383,0.007876636760821327,0.00961082511443727,0.001231044346956105,0.00626494909631879,0.010492468247673414,0.002842732011458642,0.005049084250748958,0.011311870780072274,0.0040585968570284745,578,254,321,3,17,6,0.43944636678200694,588,226,321,41,4,9,0.3843537414965986,0.0051971362734725985,0.005023545936008844,0.004231049151112779,0.05365572826712728,0.0039660919265164934,0.0023544042620139566,0.001138539416444124,4,0.5,True,23,0.5652173913043478,False,False,False
sq_long_fail_recent,20,228,225,3,47,5,0.018170130318044247,0.010748707255504364,-0.12351126750281964,0.1439977248968312,126,99,0.56,0.011196201183027672,0.08609897754857536,0.056804589420219154,-0.06822064025755425,-0.04487280563530338,0.016391128293203192,0.019424123953997913,0.0017790020248410546,0.013067905539676924,0.02175193486837917,0.005102224778367323,0.009998125988593409,0.023989515066358717,0.008172004329450838,223,97,124,2,5,0,0.4349775784753363,228,90,127,11,0,0,0.39473684210526316,601,575,26,50,5,0.028125309005414142,0.015107683008844353,-0.10651682586295834,0.14744917407326616,335,240,0.5826086956521739,0.017777353285537263,0.0959730357628019,0.05789468777222706,-0.06581682170304966,-0.04486335725434987,0.026301945881337378,0.02887466190464538,0.0018233631240767642,0.023441492943465474,0.030177048227682458,0.004683816061948669,0.021318577789794377,0.03136663496060655,0.006806731215619765,578,254,321,3,17,6,0.43944636678200694,588,226,321,41,4,9,0.3843537414965986,0.009955178687369896,0.004358975753339989,0.006581152102509591,0.022608695652173827,0.008131815563293131,0.005271362625421227,0.0031484474717501307,4,0.5,True,23,0.5652173913043478,False,False,False
