hypothesis_id,group,group_value,a_n,b_n,a_mean,b_mean,delta,expected_direction
squeeze:filter:sq_long_fail_trend,year,2021,1,0,-0.005718531333074095,,,1
squeeze:filter:sq_long_fail_trend,year,2022,19,98,0.022368509338590258,0.026688622345424656,0.004320113006834398,1
squeeze:filter:sq_long_fail_trend,year,2023,66,120,-0.000553064516499157,0.028522705539854285,0.029075770056353444,1
squeeze:filter:sq_long_fail_trend,year,2024,103,88,0.0078795473214197,0.01483014243382051,0.0069505951124008095,1
squeeze:filter:sq_long_fail_trend,year,2025,36,44,-0.008736157622189948,0.024407345129595016,0.033143502751784966,1
squeeze:filter:sq_long_fail_trend,symbol,AAPL,1,3,-0.016896986011756154,-0.02789290268023714,-0.010995916668480987,1
squeeze:filter:sq_long_fail_trend,symbol,ABNB,2,5,0.011723074296247415,-0.02089728445572514,-0.032620358751972556,1
squeeze:filter:sq_long_fail_trend,symbol,AMD,4,14,-0.007300528097967496,-0.0006156140769279109,0.006684914021039585,1
squeeze:filter:sq_long_fail_trend,symbol,AMZN,1,13,-0.0564110986558547,0.012061416815235596,0.06847251547109029,1
squeeze:filter:sq_long_fail_trend,symbol,ARM,0,4,,0.034772665808439907,,1
squeeze:filter:sq_long_fail_trend,symbol,ASML,1,8,-0.047864478871109006,-0.00021634084318376823,0.04764813802792524,1
squeeze:filter:sq_long_fail_trend,symbol,AVGO,4,5,-0.02490122788299301,-0.013568673180118696,0.011332554702874314,1
squeeze:filter:sq_long_fail_trend,symbol,BAC,5,11,-0.03281532532571847,-0.014410714774789946,0.018404610550928527,1
squeeze:filter:sq_long_fail_trend,symbol,CAT,8,4,0.009517465782158605,0.03693453175746003,0.027417065975301427,1
squeeze:filter:sq_long_fail_trend,symbol,COIN,2,12,0.21220770811950218,0.0846725868044187,-0.1275351213150835,1
squeeze:filter:sq_long_fail_trend,symbol,COP,2,5,-0.002596337281651928,0.02676218680175262,0.029358524083404548,1
squeeze:filter:sq_long_fail_trend,symbol,COST,4,9,0.02664253940666339,0.02008571493934351,-0.00655682446731988,1
squeeze:filter:sq_long_fail_trend,symbol,CRM,7,5,-0.04722844390997928,0.0020717836993325413,0.049300227609311825,1
squeeze:filter:sq_long_fail_trend,symbol,CRWD,3,8,0.008179351134339319,0.002103569200560776,-0.006075781933778543,1
squeeze:filter:sq_long_fail_trend,symbol,CVX,2,10,-0.02352353218170622,-0.008880561383933472,0.014642970797772747,1
squeeze:filter:sq_long_fail_trend,symbol,DDOG,4,6,0.0745747331001001,0.13786312892834782,0.06328839582824772,1
squeeze:filter:sq_long_fail_trend,symbol,DE,5,3,-0.02124147596946324,0.01033186993359266,0.031573345903055904,1
squeeze:filter:sq_long_fail_trend,symbol,ETN,10,6,-0.03177359141173223,0.033091592987045094,0.06486518439877732,1
squeeze:filter:sq_long_fail_trend,symbol,GE,7,4,0.006427169327232878,0.0663353832866504,0.05990821395941752,1
squeeze:filter:sq_long_fail_trend,symbol,GOOGL,6,7,0.018489664563192048,0.021623228814380866,0.003133564251188818,1
squeeze:filter:sq_long_fail_trend,symbol,GS,8,8,0.013154689682319712,0.014204639985150022,0.0010499503028303103,1
squeeze:filter:sq_long_fail_trend,symbol,HD,4,3,0.009712336628687646,-0.0400253651748359,-0.04973770180352355,1
squeeze:filter:sq_long_fail_trend,symbol,HON,2,16,-0.015796062616943995,0.01020938707425445,0.026005449691198446,1
squeeze:filter:sq_long_fail_trend,symbol,HOOD,8,6,0.11071901302656502,0.027610612565161008,-0.08310840046140401,1
squeeze:filter:sq_long_fail_trend,symbol,JPM,6,10,0.0023902942971229524,-0.006431545890829948,-0.0088218401879529,1
squeeze:filter:sq_long_fail_trend,symbol,LLY,7,4,-9.133358169371204e-05,0.03897075904443298,0.03906209262612669,1
