experiment_id,registered,signals,disposition,reason,hashes
50STOCK-5Y-DYNAMIC-VS-LOCKED-ATR-001,False,1968,context_only,Broad stream does not establish pure-only replay or frozen snapshot equivalence,"{""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""module_exit_summary.csv"": ""24568e73db4bbd678518d9199c7ce333e71e495bb6a6c936381957cff660e055"", ""paired_signals.csv"": ""e691d4c02e12170a7ab450e1a43514f2213b571af19c316be172fb1adc911aff"", ""paired_signals_with_module.csv"": ""1cd91090665fa16986de8ca0d1374b1423a2b540115d7b7fd77ed40574edd464"", ""symbol_module_exit_summary.csv"": ""fe17995688418eaec488d9cc88961446265b3045e0c69d23af59201f357b1dc5"", ""symbol_summary.csv"": ""43a6599cf7a375be7320d62a351496fe1d405d59abd645da684196e13f7f6c46"", ""year_module_exit_summary.csv"": ""4b9fcf7596bd6e1a60e4199ea3ea9ec80c51aae24b9cb7b5ea11887b6fd3243c"", ""yearly_paired_summary.csv"": ""da08920436602dc3e687b6b69f64a36a0dc551203d7a0c853c8f0d3cb0230eaa""}"
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.5-VS-2.0-001,True,57,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""077908839456e5e85d68c67f5eb5b99a8df8d85503e1dbe82a945c7c9a18f198"", ""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""paired_signals.csv"": ""42b75f318fef7b27fa819511f13b3f3b51976935c3515527a717978c0a17153c"", ""symbol_summary.csv"": ""80f4623c1d396d55e00fa045e5129ac25397f9b61ee75840378580be63341219""}"
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.75-VS-2.0-001,True,57,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""de5611fc1d21e2b6dbdb615e23201ad0aa4a299184b56d6054ec7fca3f10c4fa"", ""paired_signals.csv"": ""efeacbda1caa6288b30f9fff3b503182993e34f87c4423d98d4f301622e78484"", ""symbol_summary.csv"": ""ea63b35363836c9deda53c3909cba2d547b79f15f2f5e5e30d6b5cea88c4d943"", ""year_summary.csv"": ""9a68a21a011784c9a723d88e31f9646c876d9d6b9493358edb4a4313924870b1""}"
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.25-001,True,57,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""dffa5a0803f70f5b9c48a607f7e560bb54882b22168feff7d6e391ad789d1e3c"", ""paired_signals.csv"": ""3d51804d35aa776174b54d38dba9383ad6db30feab1af59d7c83da1aaae1e544"", ""symbol_summary.csv"": ""10cf4154f29ebf8a573a47323f45f462ac3536094752c42ba35615c436055287"", ""year_summary.csv"": ""eb12eb1f9d9a60406477b002e80bfcbf259645b81730c29ad11a51e4d4dceebc""}"
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.5-001,True,57,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""290e3f3226e0622174d8be7737b04015affe734c24ac1096a505f57438f4fd4a"", ""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""paired_signals.csv"": ""210a1c189b9d7a9f7307a7e500692fe38711b3bb55b3287d0ae5bfb3f4010de8"", ""symbol_summary.csv"": ""811570c818838c352d20576a886c1364b81173ec44579052f5bc16b874a900e0""}"
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-VS-LOCKED-ATR-001,True,57,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""d216de1752769309429a35db41b920d7aa4561a2b1e1ebee2492f7a4c1ba4a8a"", ""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""paired_signals.csv"": ""e24ef5491ef11071f32f894e2f51e1cdafadcfcd19f8164d0d60b935ce379370"", ""symbol_summary.csv"": ""88646a75dedd8044fcda1e8b973d9fe0213c0c9434c03d59ebe29a2145c3145e"", ""year_summary.csv"": ""dfccc50e95ed89bd4db5c6a94762a65034ceb4aa64d4824b9b843cc0fe1a545f""}"
50STOCK-5Y-PURE-PULLBACK-ATR1.5-DYNAMIC-TREND-ON-VS-OFF-001,True,380,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""d03b10902c819cdbcaff65917c56a9a959eb07ec15345e46a1642c6d3bfb84d1"", ""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""paired_signals.csv"": ""a7c600e8294c0a32f1940b0a53de6fc9447cbbe13d6666a371b20cda6fe979ac"", ""symbol_summary.csv"": ""2fa2e159c529a4875e06dc08a1e251fc2b33ae09babf21418658f6a8dc0ba67e"", ""year_summary.csv"": ""ab0a456c6a10f3d96f09e150f6afa64b47b264f30d08ed4f136a2bfa3dc828d5""}"
50STOCK-5Y-PURE-PULLBACK-ATR1.5-TRENDON-DYNAMIC-VS-LOCKED-001,True,380,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""f36c7ab2849bb1ad22fbe94e8a078f8f6a4a4c4a0b204b2a81eca518a4aa3928"", ""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""paired_signals.csv"": ""79423249bdea6a19b50ef95a1c320b1383b1c4e0c7433d853c84a196e6d147fd"", ""symbol_summary.csv"": ""f9c05e231159e4462e3608fdd256483750936e918f086809a165bc20f03d2cf9"", ""year_summary.csv"": ""506eb4c92fe8d627d5e6b66c378c9eba432d37b270acf9a34b508368eaa05ebc""}"
50STOCK-5Y-PURE-PULLBACK-DYNAMIC-VS-LOCKED-ATR-001,True,382,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""eb3cba74b668eafc6b73a9d565c5f74c0935d92a9df5588ecbcf10564850b3e1"", ""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""paired_signals.csv"": ""29c4ee98c34e64515c8dda5c462c4261668dbf83cf80cca2d8ea88a8a35525f9"", ""symbol_summary.csv"": ""bf7e99c7908e983a5b91d8d743f0b7151d07b5a8493ac0583d8648522461ac1c"", ""year_summary.csv"": ""7b0b4f3bc9edbf8eba87457fbd006c5fec89368ebab5768cd7a781e168d9461b""}"
50STOCK-5Y-PURE-PULLBACK-TREND-ON-VS-OFF-001,True,382,reused_historical_evidence,Completed module evidence; no rerun,"{""experiment_metadata.csv"": ""b6210e4ad007ebf52635b57a7807d2bd589e518704416b504fc6f7776b6aec4f"", ""failures.csv"": ""01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b"", ""paired_signals.csv"": ""dcb6df38634a1fdf956cb9cc4a7f485aea96ed24c5774a7536f4beb230647fd5"", ""symbol_summary.csv"": ""fca9badd5add9599c9fc8fde2162c58610d914855be4106bb7ba23ccaf92d388"", ""year_summary.csv"": ""3db819567cfb02e855500f47c1a7799d7a3370d5a9ae6a3e6a43f3c4762968fd""}"
