experiment_id,total_signals,comparable_pairs,fill_status_changes,one_sided_fills,a_only_fills,b_only_fills,a_wins,b_wins,ties,b_win_rate_excluding_ties,a_win_rate_excluding_ties,mean_paired_delta,median_paired_delta,trimmed_mean_paired_delta,mean_paired_delta_R,median_paired_delta_R,comparable_R_pairs,symbols_with_pairs,years_with_pairs,wins_a,losses_a,win_rate_a,mean_return_a,median_return_a,average_win_a,average_loss_a,profit_factor_a,expectancy_a,trades_a,fills_a,censored_a,mean_R_a,median_R_a,valid_R_a,average_bars_held_a,trimmed_mean_return_a,mean_without_top_1_a,mean_without_top_3_a,mean_without_top_5_a,wins_b,losses_b,win_rate_b,mean_return_b,median_return_b,average_win_b,average_loss_b,profit_factor_b,expectancy_b,trades_b,fills_b,censored_b,mean_R_b,median_R_b,valid_R_b,average_bars_held_b,trimmed_mean_return_b,mean_without_top_1_b,mean_without_top_3_b,mean_without_top_5_b,paired_mean_without_top_1,paired_mean_without_bottom_1,top_1_delta_share_of_net,top_1_delta_share_of_positive,paired_mean_without_top_3,paired_mean_without_bottom_3,top_3_delta_share_of_net,top_3_delta_share_of_positive,paired_mean_without_top_5,paired_mean_without_bottom_5,top_5_delta_share_of_net,top_5_delta_share_of_positive,largest_year_share_of_net,largest_year_share_of_positive_advantage,year_concentrated,mean_trim_disagree,top5_reverse_advantage,majority_mean_disagree,label
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.5-VS-2.0-001,57,55,0,0,0,0,35,18,2,0.33962264150943394,0.660377358490566,0.004706188197043962,-0.009399091139847502,-0.002138497682715821,0.07149110839455307,-0.03473728317530289,55,32,5,23,32,0.41818181818181815,0.008705225449465242,-0.0111394396463113,0.06652788230537499,-0.03285480916571988,1.4554007958408592,0.008705225449465242,55,55,0,0.16268586660728776,-0.2577190488740629,55,7.163636363636364,-0.0019519398672510377,0.002722034141188545,-0.003754932760268138,-0.00818236407515159,27,28,0.4909090909090909,0.013411413646509203,-0.0001165454175152,0.07108032497114868,-0.042197893702250286,1.6242929663764158,0.013411413646509203,55,55,0,0.23417697500184084,-0.0019441173248006,55,11.49090909090909,0.0042113661649647175,0.007787055028885186,0.0005967360205852487,-0.004464101248345302,0.0012879790060425658,0.006274536577600511,0.7312982071717841,0.22161768971696041,-0.0033488421939538915,0.007730659526935155,1.6727691162610983,0.5069275752902045,-0.005880816307995641,0.00913297541029976,2.135992956463245,0.6473061462762311,0.6841677284622935,0.42190630891633013,False,True,True,True,LOW SAMPLE
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.75-VS-2.0-001,57,55,0,0,0,0,40,10,5,0.2,0.8,0.005811256831246137,-0.0056295228298959,-0.0009230796985313026,0.09788391826605718,-0.0414487004256087,55,32,5,23,32,0.41818181818181815,0.007600156815263066,-0.0132662812182181,0.07040885123567552,-0.037543592299408374,1.347936058490579,0.007600156815263066,55,55,0,0.13629305673578365,-0.2372226712362507,55,8.818181818181818,-0.004555223933988989,0.0017175422570530079,-0.006010248953110767,-0.011112325133211287,27,28,0.4909090909090909,0.013411413646509203,-0.0001165454175152,0.07108032497114868,-0.042197893702250286,1.6242929663764158,0.013411413646509203,55,55,0,0.23417697500184084,-0.0019441173248006,55,11.49090909090909,0.0042113661649647175,0.007787055028885186,0.0005967360205852487,-0.004464101248345302,0.003544531498082096,0.006347975202846019,0.40114753625542543,0.20177656368971117,-6.644537874351376e-05,0.007246150087982722,1.0108102407416804,0.5084359206667507,-0.0025410865607317186,0.008102697346424296,1.3975179137073055,0.7029492564130402,0.7058766019597503,0.556500402721883,False,True,True,True,LOW SAMPLE
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.25-001,57,55,0,0,0,0,46,5,4,0.09803921568627451,0.9019607843137255,0.0021955681836811907,-0.0058787672103286,-0.006175685078120401,0.015053477884745165,-0.06790638088636422,55,32,5,27,28,0.4909090909090909,0.013411413646509203,-0.0001165454175152,0.07108032497114868,-0.042197893702250286,1.6242929663764158,0.013411413646509203,55,55,0,0.23417697500184084,-0.0019441173248006,55,11.49090909090909,0.0042113661649647175,0.007787055028885186,0.0005967360205852487,-0.004464101248345302,25,30,0.45454545454545453,0.015606981830190396,-0.0004963715124737,0.08520745908191468,-0.04239341587957986,1.6749349970592482,0.015606981830190396,55,55,0,0.24923045288658605,-0.0108318325179486,55,14.2,0.00353520836322577,0.00983298603456293,0.0009164442899472544,-0.005793787464366202,-0.0007480535447752368,0.0027265839529147743,1.3345159474858355,0.32597213579203926,-0.0057963297287548,0.00361580785778274,3.4960127996645673,0.8539446540222492,-0.007472293204955842,0.00432930163669679,4.093957123799126,1.0,0.9836581957696007,0.40570407539424097,False,True,True,True,LOW SAMPLE
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.5-001,57,54,1,1,1,0,44,8,2,0.15384615384615385,0.8461538461538461,-0.0007005989761648517,-0.0115706534860732,-0.009593779990486065,-0.043113700898245844,-0.12323691901043317,54,32,5,27,28,0.4909090909090909,0.013411413646509203,-0.0001165454175152,0.07108032497114868,-0.042197893702250286,1.6242929663764158,0.013411413646509203,55,55,0,0.23417697500184084,-0.0019441173248006,55,11.49090909090909,0.0042113661649647175,0.007787055028885186,0.0005967360205852487,-0.004464101248345302,26,28,0.48148148148148145,0.013639600573266995,-0.0013016479215586499,0.0798469169487652,-0.04783862177540991,1.5498683487627254,0.013639600573266995,54,54,0,0.21391840327029576,-0.0101136027628118,54,15.925925925925926,0.002544109587910388,0.007882073048209448,-0.0008688145035530885,-0.007470328951947584,-0.003613474220886408,2.0459769688452573e-05,-4.062179866469323,0.23644972339066497,-0.008603270233047763,0.0012967209465460055,-10.597662931417595,0.6168644794399869,-0.011931455404865348,0.0025445438886553713,-14.453478214873144,0.84130221661261,,0.8660937405436953,True,False,True,False,LOW SAMPLE
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-VS-LOCKED-ATR-001,57,53,1,1,1,0,31,14,8,0.3111111111111111,0.6888888888888889,0.00795322049835878,-0.000587146906060293,-0.0030518187183860876,0.05772023811054495,-0.011181350614437258,53,32,5,26,28,0.48148148148148145,0.013639600573266995,-0.0013016479215586499,0.0798469169487652,-0.04783862177540991,1.5498683487627254,0.013639600573266995,54,54,0,0.21391840327029576,-0.0101136027628118,54,15.925925925925926,0.002544109587910388,0.007882073048209448,-0.0008688145035530885,-0.007470328951947584,25,28,0.4716981132075472,0.02063574320318006,-0.0010797763596528,0.10134957938204561,-0.05143018195652134,1.759486208960461,0.02063574320318006,53,53,0,0.2533140977923051,-0.0145536134196547,53,18.169811320754718,0.0037418275817294048,0.01302374510199348,0.0013482425526873466,-0.007116418219178539,0.0014045890129222556,0.009091927181053458,0.8267258736611747,0.4388580487932285,-0.003884169841906538,0.011071089896362003,1.4607330039907866,0.7754135395573668,-0.0064208769119806835,0.012468636943697634,1.731167180424188,0.9189704533757033,1.225789996045559,0.8700355383251097,True,True,True,True,LOW SAMPLE
50STOCK-5Y-PURE-PULLBACK-ATR1.5-DYNAMIC-TREND-ON-VS-OFF-001,380,333,36,36,36,0,65,38,230,0.36893203883495146,0.6310679611650486,0.0005702563647805795,0.0,-0.000837285302521983,0.030898289837249772,0.0,333,50,6,159,210,0.43089430894308944,0.00969294130000484,-0.0067862712861235,0.058113251440895165,-0.02696815066381212,1.6315554515520843,0.00969294130000484,369,369,0,0.21809143320097932,-0.1832217810159211,369,5.8346883468834685,-2.429976637360111e-05,0.008694069290098447,0.006943652188494084,0.005356844545494351,151,182,0.45345345345345345,0.010984326274599108,-0.0048139704476541,0.06459728034326558,-0.033496751002151645,1.5999894101598464,0.010984326274599108,333,333,0,0.2641883823271223,-0.1250012270437251,333,7.177177177177177,0.0021373693883749057,0.009881032555710675,0.007946854577965306,0.006192002208230674,8.043693077016475e-05,0.000840743080722214,0.8593696039563411,0.1058336479916958,-0.0005668773176689682,0.0012689045099930501,1.9851188860000546,0.2444726604657412,-0.0010851339612295767,0.0016121189312598245,2.8743160524296387,0.35397965195563674,1.0722656954858507,0.3592425187502139,False,True,True,True,TAIL-SENSITIVE
50STOCK-5Y-PURE-PULLBACK-ATR1.5-TRENDON-DYNAMIC-VS-LOCKED-001,380,369,0,0,0,0,131,66,172,0.3350253807106599,0.6649746192893401,0.0006291737654793672,0.0,-0.0006502510648903493,0.010648469572383454,0.0,369,50,6,159,210,0.43089430894308944,0.00969294130000484,-0.0067862712861235,0.058113251440895165,-0.02696815066381212,1.6315554515520843,0.00969294130000484,369,369,0,0.21809143320097932,-0.1832217810159211,369,5.8346883468834685,-2.429976637360111e-05,0.008694069290098447,0.006943652188494084,0.005356844545494351,155,214,0.42005420054200543,0.010322115065484208,-0.007225873163293,0.06201549625855629,-0.0271193526210867,1.6562993449459673,0.010322115065484208,369,369,0,0.22873990277336273,-0.1874028602259656,369,6.260162601626016,-0.00042075143060321956,0.009263477769137815,0.007378639434357682,0.0057039247204990155,0.0002383330660928863,0.00084809312122455,0.6222233187936719,0.12843718274251523,-0.0003934368450148085,0.0012797718143966197,1.620239102278494,0.33444414469930367,-0.0009190046535170819,0.0014304529017527784,2.4408611192566934,0.5038340996780085,1.0766391074068604,0.6792547139093847,True,True,True,True,TAIL-SENSITIVE
50STOCK-5Y-PURE-PULLBACK-DYNAMIC-VS-LOCKED-ATR-001,382,370,0,0,0,0,79,63,228,0.44366197183098594,0.5563380281690141,0.003720660677472848,0.0,-0.0002181791893941271,0.01718762629975201,0.0,370,50,6,139,231,0.37567567567567567,0.011321125640894497,-0.011175415867282601,0.0822819758950439,-0.031378260442771144,1.5778970679164017,0.011321125640894497,370,370,0,0.1496074009838134,-0.14571463469078028,370,9.37027027027027,-0.003614834439057387,0.009310665149627854,0.006530101830154222,0.004922447231961002,139,231,0.37567567567567567,0.015041786318367344,-0.01114521706312465,0.09223308804236187,-0.031406659307759224,1.767127259748722,0.015041786318367344,370,370,0,0.16679502728356543,-0.14571463469078028,370,10.486486486486486,-0.00413644487066039,0.012588247849497977,0.008865903724043075,0.006080780904815137,0.0018454826252955628,0.004087499458304614,0.5053311779921599,0.2860986548004589,6.769878859323667e-05,0.004507495244422946,0.9819521624470886,0.5559427262548055,-0.0005955354235637483,0.004749441278997653,1.1578987439318646,0.6555567664562093,0.9331038842133971,0.8409261260564359,True,True,True,True,TAIL-SENSITIVE
50STOCK-5Y-PURE-PULLBACK-TREND-ON-VS-OFF-001,382,304,66,66,66,0,111,50,143,0.3105590062111801,0.6894409937888198,-0.0022177277607667314,0.0,-0.005409421973748201,0.011043896282988653,0.0,304,50,6,139,231,0.37567567567567567,0.011321125640894497,-0.011175415867282601,0.0822819758950439,-0.031378260442771144,1.5778970679164017,0.011321125640894497,370,370,0,0.1496074009838134,-0.14571463469078028,370,9.37027027027027,-0.003614834439057387,0.009310665149627854,0.006530101830154222,0.004922447231961002,130,174,0.4276315789473684,0.011215199297267213,-0.016052610586862602,0.09748618100372801,-0.05324013186273224,1.3680376156195435,0.011215199297267213,304,304,0,0.1758527977832283,-0.2422989425294593,304,14.345394736842104,-0.0013928854282911505,0.008766467126900816,0.005372596248853384,0.00340233223713724,-0.0031404241627060064,-0.00160967406423911,-0.4113967798208747,0.08329132857996703,-0.004726871013455885,-0.0006961757556679157,-1.1103691547854977,0.2248051677909765,-0.005836398172901592,7.870724096334038e-05,-1.5884172455483434,0.3215907105025428,,0.2901386589529792,False,False,True,False,TAIL-SENSITIVE
50STOCK-5Y-PURE-PULLBACK-TRENDON-DYNAMIC-ATR-1.5-VS-1.75-001,380,368,1,1,1,0,184,42,142,0.18584070796460178,0.8141592920353983,0.002398713105809104,-0.0006010007440720999,-0.0028876480055315067,-0.0020158646123976834,-0.019029882613885954,368,50,6,159,210,0.43089430894308944,0.00969294130000484,-0.0067862712861235,0.058113251440895165,-0.02696815066381212,1.6315554515520843,0.00969294130000484,369,369,0,0.21809143320097932,-0.1832217810159211,369,5.8346883468834685,-2.429976637360111e-05,0.008694069290098447,0.006943652188494084,0.005356844545494351,146,222,0.3967391304347826,0.012202140428247587,-0.00740684461388875,0.07307102671809988,-0.027828748753366984,1.726837260990811,0.012202140428247587,368,368,0,0.2192704789086257,-0.15877279229689822,368,7.010869565217392,-0.0007596997401968629,0.009974446168398158,0.008115656914695167,0.006418285476830806,0.0007048785720869758,0.002624789049928377,0.7069415515001943,0.2421946905970197,-0.00038369386601842,0.003047035749413204,1.1586542075297086,0.39694921978499054,-0.001316919343566157,0.0032640920316006658,1.5415513904337113,0.528127907113684,0.9139970317569825,0.6958858461319922,True,True,True,True,TAIL-SENSITIVE
