stage,experiment_id,total_signals,comparable_pairs,fill_status_changes,one_sided_fills,a_only_fills,b_only_fills,a_wins,b_wins,ties,b_win_rate_excluding_ties,a_win_rate_excluding_ties,mean_paired_delta,median_paired_delta,trimmed_mean_paired_delta,mean_paired_delta_R,median_paired_delta_R,comparable_R_pairs,symbols_with_pairs,years_with_pairs,wins_a,losses_a,win_rate_a,mean_return_a,median_return_a,average_win_a,average_loss_a,profit_factor_a,expectancy_a,trades_a,fills_a,censored_a,mean_R_a,median_R_a,valid_R_a,average_bars_held_a,trimmed_mean_return_a,mean_without_top_1_a,mean_without_top_3_a,mean_without_top_5_a,wins_b,losses_b,win_rate_b,mean_return_b,median_return_b,average_win_b,average_loss_b,profit_factor_b,expectancy_b,trades_b,fills_b,censored_b,mean_R_b,median_R_b,valid_R_b,average_bars_held_b,trimmed_mean_return_b,mean_without_top_1_b,mean_without_top_3_b,mean_without_top_5_b,paired_mean_without_top_1,paired_mean_without_bottom_1,top_1_delta_share_of_net,top_1_delta_share_of_positive,paired_mean_without_top_3,paired_mean_without_bottom_3,top_3_delta_share_of_net,top_3_delta_share_of_positive,paired_mean_without_top_5,paired_mean_without_bottom_5,top_5_delta_share_of_net,top_5_delta_share_of_positive,largest_year_share_of_net,largest_year_share_of_positive_advantage,year_concentrated,mean_trim_disagree,top5_reverse_advantage,majority_mean_disagree,label,supported_winner
A-trend,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR2.5-DYNAMIC-TRENDON-VS-ATR2.5-DYNAMIC-TRENDOFF,282,194,0,0,0,0,5,0,189,0.0,1.0,-0.0006443378161296775,0.0,0.0,-0.008130350399915878,0.0,194,49,6,66,128,0.3402061855670103,0.003497202386202064,-0.01926292279803754,0.08178889565987402,-0.036871951958035026,1.1437528279658233,0.003497202386202064,194,195,1,-0.0032343317734657615,-0.35094815264976104,194,11.95360824742268,-0.008826639718665636,0.0014130307726945267,-0.0021416065366583015,-0.005152572737928044,66,128,0.3402061855670103,0.0028528645700723865,-0.01996861362832958,0.08178889565987402,-0.037848526460606574,1.1142415113179196,0.0028528645700723865,194,195,1,-0.011364682173381636,-0.36091152442739993,194,12.015463917525773,-0.009433416157189334,0.0007653544186574471,-0.0027960648420465592,-0.005813956528029405,-0.0006476763540370853,-0.0002596932391591552,-0.0,,-0.0006544583053882589,-6.123917252962702e-05,-0.0,,-0.0006613837901013621,-0.0,-0.0,,,0.599038566808191,False,False,True,False,TAIL-SENSITIVE,INCONCLUSIVE
B-mode,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR2.5-DYNAMIC-TRENDON-VS-ATR2.5-LOCKED-TRENDON,282,192,4,3,1,2,79,85,28,0.5182926829268293,0.4817073170731707,0.001248286037603203,0.0,0.0007140445618253621,0.009749042136765598,0.0,192,48,6,66,128,0.3402061855670103,0.003497202386202064,-0.01926292279803754,0.08178889565987402,-0.036871951958035026,1.1437528279658233,0.003497202386202064,194,195,1,-0.0032343317734657615,-0.35094815264976104,194,11.95360824742268,-0.008826639718665636,0.0014130307726945267,-0.0021416065366583015,-0.005152572737928044,73,121,0.37628865979381443,0.003679088698217785,-0.017785418409465625,0.07367072642989222,-0.038547271255602325,1.1530252077954672,0.003679088698217785,194,196,2,-0.006177722353905995,-0.3109697961344655,194,11.829896907216495,-0.007846574843209556,0.0013393303423192618,-0.0018836725478869258,-0.004114140784711675,0.0005793848584357406,0.0023779907780893043,0.5382731108076906,0.11750155759836065,-0.0005630941965011449,0.003334342872364721,1.4440455416333116,0.31522585278368725,-0.0012673882523552417,0.00396921177545481,1.9888625785803549,0.4341559073638659,1.0735673040718514,0.5476118404960205,False,False,True,False,TAIL-SENSITIVE,INCONCLUSIVE
C-grid-1.5-1.75,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR1.5-DYNAMIC-TRENDON-VS-ATR1.75-DYNAMIC-TRENDON,282,203,2,2,2,0,150,27,26,0.15254237288135594,0.847457627118644,0.0027448161873813363,-0.0046581075678194805,-0.004129175444493,0.022382436711948957,-0.07363844001242542,203,49,6,66,139,0.32195121951219513,-0.0022072535056433047,-0.00910524178715233,0.042617006918640316,-0.02349071528983553,0.8614217620613763,-0.0022072535056433047,205,205,0,-0.07701765588698728,-0.2663130583704888,205,5.453658536585366,-0.0073860306256687295,-0.003262903826020077,-0.005324949379342607,-0.00693983003001883,69,134,0.3399014778325123,0.0005059876837213019,-0.012132380174898705,0.05554967236843202,-0.02783740219124168,1.0275361032361001,0.0005059876837213019,203,203,0,-0.055530464990961224,-0.3046608143832961,203,6.970443349753695,-0.006655221205166073,-0.0012264601809950657,-0.0032895825442712102,-0.0052615437435535655,0.0005646886053589068,0.003928268490300197,0.7952843288106624,0.25119558946534787,-0.0012732712087603886,0.004285728691636495,1.4570267395807577,0.460211118787049,-0.002380325438380109,0.004480170187196156,1.8458477998179834,0.5830227119299642,0.592561188770367,0.519271920281387,False,True,True,True,TAIL-SENSITIVE,INCONCLUSIVE
C-grid-1.5-2.5,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR1.5-DYNAMIC-TRENDON-VS-ATR2.5-DYNAMIC-TRENDON,282,194,11,10,10,0,136,50,8,0.26881720430107525,0.7311827956989247,0.005401749659203697,-0.016281242052439582,-0.007643668327190274,0.06402208851472002,-0.07286541972585357,194,49,6,66,139,0.32195121951219513,-0.0022072535056433047,-0.00910524178715233,0.042617006918640316,-0.02349071528983553,0.8614217620613763,-0.0022072535056433047,205,205,0,-0.07701765588698728,-0.2663130583704888,205,5.453658536585366,-0.0073860306256687295,-0.003262903826020077,-0.005324949379342607,-0.00693983003001883,66,128,0.3402061855670103,0.003497202386202064,-0.01926292279803754,0.08178889565987402,-0.036871951958035026,1.1437528279658233,0.003497202386202064,194,195,1,-0.0032343317734657615,-0.35094815264976104,194,11.95360824742268,-0.008826639718665636,0.0014130307726945267,-0.0021416065366583015,-0.005152572737928044,0.0032611269861076357,0.0058514683761532295,0.3993951482624212,0.10305738944570593,-0.00012219619332871833,0.006535601147451598,1.0222717765656053,0.2637805217595024,-0.0023923940594403835,0.007176910945827459,1.4314776814512256,0.369369416583961,0.98913110643863,0.8186007867544083,True,True,True,True,TAIL-SENSITIVE,INCONCLUSIVE
C-grid-1.75-2,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR1.75-DYNAMIC-TRENDON-VS-ATR2-DYNAMIC-TRENDON,282,201,2,2,2,0,158,17,26,0.09714285714285714,0.9028571428571428,-0.002224635824299154,-0.004948557998246228,-0.0047416789144396985,-0.02701794029794147,-0.05725494621866001,201,49,6,69,134,0.3399014778325123,0.0005059876837213019,-0.012132380174898705,0.05554967236843202,-0.02783740219124168,1.0275361032361001,0.0005059876837213019,203,203,0,-0.055530464990961224,-0.3046608143832961,203,6.970443349753695,-0.006655221205166073,-0.0012264601809950657,-0.0032895825442712102,-0.0052615437435535655,65,136,0.32338308457711445,-0.001476986178104053,-0.01529465167594346,0.060705214600276586,-0.031196420373653628,0.93002727032293,-0.001476986178104053,201,201,0,-0.07560245414753819,-0.33858158710328473,201,8.189054726368159,-0.009270684940717892,-0.003122532705893355,-0.005102391173605699,-0.006958001332955768,-0.0026587497105437907,-0.0020174566426062164,-0.18919333724072082,0.12576646188198679,-0.003443910630990157,-0.0016774593887342603,-0.5249727360882178,0.34897615616513666,-0.004171263386031518,-0.0014656978113162477,-0.8283894248246828,0.5506727062385715,,0.4264841341077349,False,False,False,False,ROBUST,A
C-grid-1.75-2.5,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR1.75-DYNAMIC-TRENDON-VS-ATR2.5-DYNAMIC-TRENDON,282,194,9,8,8,0,143,42,9,0.22702702702702704,0.772972972972973,0.0011857330927864868,-0.013469933374818888,-0.008649748051209896,0.01443558764266484,-0.10896691949555062,194,49,6,69,134,0.3399014778325123,0.0005059876837213019,-0.012132380174898705,0.05554967236843202,-0.02783740219124168,1.0275361032361001,0.0005059876837213019,203,203,0,-0.055530464990961224,-0.3046608143832961,203,6.970443349753695,-0.006655221205166073,-0.0012264601809950657,-0.0032895825442712102,-0.0052615437435535655,66,128,0.3402061855670103,0.003497202386202064,-0.01926292279803754,0.08178889565987402,-0.036871951958035026,1.1437528279658233,0.003497202386202064,194,195,1,-0.0032343317734657615,-0.35094815264976104,194,11.95360824742268,-0.008826639718665636,0.0014130307726945267,-0.0021416065366583015,-0.005152572737928044,-0.0010187440071603307,0.0015467182949771652,1.8547393638223777,0.1456715238607726,-0.003366652193947252,0.0022083750020277194,3.795393484627102,0.2980908063640069,-0.0051556810082791955,0.0027038330281034697,5.2360314157830485,0.4112387380122701,1.849458240864884,0.5831126272560216,False,True,True,True,TAIL-SENSITIVE,INCONCLUSIVE
C-grid-2-2.25,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR2-DYNAMIC-TRENDON-VS-ATR2.25-DYNAMIC-TRENDON,282,199,2,1,1,0,158,16,25,0.09195402298850575,0.9080459770114943,-0.00023928329776741453,-0.005088114676217059,-0.004798136521313811,0.011883911402572464,-0.053361425652826755,199,49,6,65,136,0.32338308457711445,-0.001476986178104053,-0.01529465167594346,0.060705214600276586,-0.031196420373653628,0.93002727032293,-0.001476986178104053,201,201,0,-0.07560245414753819,-0.33858158710328473,201,8.189054726368159,-0.009270684940717892,-0.003122532705893355,-0.005102391173605699,-0.006958001332955768,67,132,0.33668341708542715,-0.0014894217577828583,-0.017317605916902123,0.06505552716973353,-0.03526602462250708,0.9363291961916722,-0.0014894217577828583,199,200,1,-0.06116177196685378,-0.31952937631075173,199,9.743718592964823,-0.010538112514423213,-0.003153686486631096,-0.006384230267019361,-0.008297051646225302,-0.0012490671189252466,-0.00010134333852480928,-4.193803375874026,0.19482428611106128,-0.002813721633419208,0.0001339972096504378,-10.581684744420787,0.49157506716786364,-0.0037503617020151737,0.00035383502445478004,-14.279509863872724,0.6633585473389221,,0.41642385314179475,False,False,True,False,TAIL-SENSITIVE,INCONCLUSIVE
C-grid-2-2.5,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR2-DYNAMIC-TRENDON-VS-ATR2.5-DYNAMIC-TRENDON,282,194,7,6,6,0,147,32,15,0.1787709497206704,0.8212290502793296,0.003393194511444701,-0.009759310992658532,-0.007396637120914113,0.04390893375928137,-0.08371941294259166,194,49,6,65,136,0.32338308457711445,-0.001476986178104053,-0.01529465167594346,0.060705214600276586,-0.031196420373653628,0.93002727032293,-0.001476986178104053,201,201,0,-0.07560245414753819,-0.33858158710328473,201,8.189054726368159,-0.009270684940717892,-0.003122532705893355,-0.005102391173605699,-0.006958001332955768,66,128,0.3402061855670103,0.003497202386202064,-0.01926292279803754,0.08178889565987402,-0.036871951958035026,1.1437528279658233,0.003497202386202064,194,195,1,-0.0032343317734657615,-0.35094815264976104,194,11.95360824742268,-0.008826639718665636,0.0014130307726945267,-0.0021416065366583015,-0.005152572737928044,0.001167720653044425,0.003647336835096452,0.6576378187273819,0.17036762646109896,-0.0012690480594822525,0.00410910189517055,1.3682145543793824,0.354449606578625,-0.0031275420986309954,0.0044945846574161044,1.8979548131516821,0.4916840963811916,0.8178716515633095,0.5555302602991481,False,True,True,True,TAIL-SENSITIVE,INCONCLUSIVE
C-grid-2.25-2.5,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR2.25-DYNAMIC-TRENDON-VS-ATR2.5-DYNAMIC-TRENDON,282,194,5,5,5,0,150,20,24,0.11764705882352941,0.8823529411764706,0.0035994539487955468,-0.0048596633781630705,-0.004480617294785066,0.03423065567419172,-0.04467756456912153,194,49,6,67,132,0.33668341708542715,-0.0014894217577828583,-0.017317605916902123,0.06505552716973353,-0.03526602462250708,0.9363291961916722,-0.0014894217577828583,199,200,1,-0.06116177196685378,-0.31952937631075173,199,9.743718592964823,-0.010538112514423213,-0.003153686486631096,-0.006384230267019361,-0.008297051646225302,66,128,0.3402061855670103,0.003497202386202064,-0.01926292279803754,0.08178889565987402,-0.036871951958035026,1.1437528279658233,0.003497202386202064,194,195,1,-0.0032343317734657615,-0.35094815264976104,194,11.95360824742268,-0.008826639718665636,0.0014130307726945267,-0.0021416065366583015,-0.005152572737928044,0.001372432985611268,0.003739550818178957,0.62067618916611,0.2571793304956704,-0.0008448996856756866,0.0040047640605404425,1.2311001164210464,0.5101106007299598,-0.0020517645896635794,0.00423115763767675,1.5553298048641562,0.6444562960475912,0.6926768201584212,0.5136104576615869,False,True,True,True,TAIL-SENSITIVE,INCONCLUSIVE
C-grid-2.5-3,EXIT-V1-20260923-CLOSED-PURE-SQUEEZE-ATR2.5-DYNAMIC-TRENDON-VS-ATR3-DYNAMIC-TRENDON,282,186,8,8,8,0,125,43,18,0.25595238095238093,0.7440476190476191,0.006248881308733521,-0.00837338314944952,-0.002765399583723101,0.10704138638515051,-0.055320044434022164,186,49,6,66,128,0.3402061855670103,0.003497202386202064,-0.01926292279803754,0.08178889565987402,-0.036871951958035026,1.1437528279658233,0.003497202386202064,194,195,1,-0.0032343317734657615,-0.35094815264976104,194,11.95360824742268,-0.008826639718665636,0.0014130307726945267,-0.0021416065366583015,-0.005152572737928044,71,115,0.3817204301075269,0.010831809408421673,-0.02071537534353257,0.10348957817891355,-0.04637429131075157,1.377779883042061,0.010831809408421673,186,187,1,0.11668080034980666,-0.29667872692359043,186,18.49462365591398,-0.002438926448622739,0.007527815840710478,0.004026499526324043,0.001140624115693157,0.0045436150724476095,0.0076257739202799215,0.2768006286008954,0.10145071500841953,0.002279952114148143,0.008692169042878003,0.6410271563620342,0.23494405948950925,0.0005121909441159667,0.009252244707468799,0.9202381441214433,0.3372781997318031,0.9577812377840077,0.8618781068052522,True,True,False,True,TAIL-SENSITIVE,INCONCLUSIVE
