experiment_id,experiment_name,experiment_type,module_scope,symbols_requested,period,timeframe,direction,baseline_config,variant_config,changed_parameter,created_at,result_path,module,trend_exit,atr_mode,baseline_atr_multiplier,variant_atr_multiplier,label_a,label_b,atr_multiplier
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-VS-LOCKED-ATR-001,MeanRev Trend Exit OFF - Dynamic vs Locked ATR,A/B exit rule,MeanRev,50.0,5y,1d,Long,"{""atr_multiplier"": 2.5, ""use_locked_atr"": false, ""use_trend_exit"": false}","{""atr_multiplier"": 2.5, ""use_locked_atr"": true, ""use_trend_exit"": false}",use_locked_atr,2026-09-16T11:24:43.703587+02:00,results/ab_tests/50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-VS-LOCKED-ATR-001,,,,,,,,
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.5-001,,,,,5y,1d,,,,,2026-09-16T11:29:29.289372+02:00,results/ab_tests/50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.5-001,MeanRev,False,Dynamic,2.0,2.5,,,
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.5-VS-2.0-001,,,,,5y,1d,,,,,2026-09-16T11:34:28.102446+02:00,results/ab_tests/50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.5-VS-2.0-001,MeanRev,False,Dynamic,1.5,2.0,,,
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.75-VS-2.0-001,,ATR multiplier A/B,,,5y,1d,,,,,2026-09-16T11:51:01.686670+02:00,results/ab_tests/50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-1.75-VS-2.0-001,MeanRev,False,Dynamic,1.75,2.0,,,
50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.25-001,,ATR multiplier A/B,,,5y,1d,,,,,2026-09-16T11:51:32.961177+02:00,results/ab_tests/50STOCK-5Y-MEANREV-TRENDOFF-DYNAMIC-ATR-2.0-VS-2.25-001,MeanRev,False,Dynamic,2.0,2.25,,,
50STOCK-5Y-PURE-PULLBACK-TREND-ON-VS-OFF-001,Pure Pullback Trend Exit ON vs OFF,Pullback exit A/B,,,5y,1d,Long,,,use_trend_exit,2026-09-16T13:46:16.755121+02:00,results/ab_tests/50STOCK-5Y-PURE-PULLBACK-TREND-ON-VS-OFF-001,Pure Pullback,,,,,Trend ON,Trend OFF,
50STOCK-5Y-PURE-PULLBACK-DYNAMIC-VS-LOCKED-ATR-001,Pure Pullback Dynamic vs Locked ATR,Pullback exit A/B,,,5y,1d,Long,,,use_locked_atr,2026-09-16T13:47:08.237408+02:00,results/ab_tests/50STOCK-5Y-PURE-PULLBACK-DYNAMIC-VS-LOCKED-ATR-001,Pure Pullback,,,,,Dynamic,Locked,
50STOCK-5Y-PURE-PULLBACK-TRENDON-DYNAMIC-ATR-2.0-VS-2.5-001,,ATR multiplier A/B,,,5y,1d,Long,,,,2026-09-16T13:57:56.886681+02:00,results/ab_tests/50STOCK-5Y-PURE-PULLBACK-TRENDON-DYNAMIC-ATR-2.0-VS-2.5-001,Pure Pullback,True,Dynamic,2.0,2.5,,,
50STOCK-5Y-PURE-PULLBACK-TRENDON-DYNAMIC-ATR-2.5-VS-3.0-001,,ATR multiplier A/B,,,5y,1d,Long,,,,2026-09-16T13:58:48.963906+02:00,results/ab_tests/50STOCK-5Y-PURE-PULLBACK-TRENDON-DYNAMIC-ATR-2.5-VS-3.0-001,Pure Pullback,True,Dynamic,2.5,3.0,,,
50STOCK-5Y-PURE-PULLBACK-TRENDON-DYNAMIC-ATR-1.5-VS-2.0-001,,ATR multiplier A/B,,,5y,1d,Long,,,,2026-09-16T14:15:48.747709+02:00,results/ab_tests/50STOCK-5Y-PURE-PULLBACK-TRENDON-DYNAMIC-ATR-1.5-VS-2.0-001,Pure Pullback,True,Dynamic,1.5,2.0,,,
