module,exit_reason,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,ATR_STOP,513,0,219,294,0,0.4269005847953216,0.07137457386076844,0.04001896200604449,-0.04449027166885795,-0.040605313668437504,0.004972498644959162,-0.011702672274488068,0.004972498644959162,1.1950202237966137,12.600389863547758,10.0,-0.21953813037602288,-0.08364250603125944,-0.11171485658850008,0.14114432649503977
breakout,CENSORED_AT_END,0,2,0,0,0,,,,,,,,,,,,,,,
breakout,TREND_AND_STOP_AT_OPEN,2,0,0,2,0,0.0,,,-0.08379678666583806,-0.08379678666583806,-0.08379678666583806,-0.08379678666583806,-0.08379678666583806,0.0,3.0,3.0,-0.11205946390479227,-0.10923319618089684,-0.11205946390479227,
breakout,TREND_EXIT,32,0,4,28,0,0.125,0.02329473818149802,0.022180665946243905,-0.031164276102368375,-0.033382133269678815,-0.024356899316885075,-0.031403323093296076,-0.024356899316885075,0.10678315547207914,4.09375,2.0,-0.0903728255254288,-0.059266044245656346,-0.07503103948225243,1.0
meanrev,ATR_STOP,55,0,27,28,0,0.4909090909090909,0.07108036438966457,0.0490759380865573,-0.04219863723405393,-0.03617615528855134,0.013411054472135153,-0.00011654540743621933,0.013411054472135153,1.6242652474062345,11.49090909090909,10.0,-0.10417027794415878,-0.07655268796579942,-0.09004899240364495,0.5006502257849995
meanrev,CENSORED_AT_END,0,1,0,0,0,,,,,,,,,,,,,,,
pullback,ATR_STOP,241,0,133,108,0,0.5518672199170125,0.06759242518666814,0.03695141717298611,-0.028028234898211674,-0.02257145621227047,0.02474167294946059,0.004471099520242827,0.02474167294946059,2.969820261892956,7.564315352697095,6.0,-0.1245550227332578,-0.06112939844854692,-0.07920475842490339,0.18096123087658705
pullback,TREND_AND_STOP_AT_OPEN,11,0,0,11,0,0.0,,,-0.05602999642106452,-0.04789171616940058,-0.05602999642106452,-0.04789171616940058,-0.05602999642106452,0.0,2.272727272727273,2.0,-0.1126027235719641,-0.10572995646604155,-0.1126027235719641,
pullback,TREND_EXIT,111,0,22,89,0,0.1981981981981982,0.008638607748618687,0.004789175514745891,-0.022840851142272897,-0.01737031535232403,-0.01660167910984394,-0.012704890080386222,-0.01660167910984394,0.09348978160887036,2.5045045045045047,2.0,-0.08548078352458766,-0.06192561724228124,-0.07241443283422565,0.6524320996163722
squeeze,ATR_STOP,188,0,66,122,0,0.35106382978723405,0.081788895659874,0.053582172636585046,-0.03718918448978938,-0.03237518657659588,0.0045797159882839346,-0.018665808726065547,0.0045797159882839346,1.1897666581683686,12.196808510638299,9.0,-0.14879647972730503,-0.07524934973086565,-0.09352004371755626,0.3060898420924718
squeeze,CENSORED_AT_END,0,1,0,0,0,,,,,,,,,,,,,,,
squeeze,TREND_AND_STOP_AT_OPEN,1,0,0,1,0,0.0,,,-0.028735613382223968,-0.028735613382223968,-0.028735613382223968,-0.028735613382223968,-0.028735613382223968,0.0,6.0,6.0,-0.028735613382223968,-0.028735613382223968,-0.028735613382223968,
squeeze,TREND_EXIT,5,0,0,5,0,0.0,,,-0.030758745898391116,-0.02239344937207366,-0.030758745898391116,-0.02239344937207366,-0.030758745898391116,0.0,4.0,4.0,-0.07159693392805822,-0.06296469598822947,-0.07159693392805822,
