module,holding_bucket,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,1-3,71,0,5,66,0,0.07042253521126761,0.022414002424314194,0.01889105939557889,-0.05331163756549122,-0.04828530279908977,-0.04797884601691338,-0.04702385352053784,-0.04797884601691338,0.03185102848518781,2.436619718309859,2.0,-0.21953813037602288,-0.12514224505573757,-0.16343882137808424,1.0
breakout,11-15,113,2,58,55,0,0.5132743362831859,0.04571864044967804,0.023295043199498933,-0.030716486836982086,-0.03105722379823639,0.008515702389799219,0.0021099623476730223,0.008515702389799219,1.5695930569819954,12.716814159292035,12.0,-0.10093068652950499,-0.049261772215858216,-0.06748474655555652,0.40275476575117686
breakout,16+,146,0,113,33,0,0.773972602739726,0.09828136267165223,0.06857781933072116,-0.025862203020188854,-0.02169424753313387,0.07022151563171555,0.04862342802639874,0.07022151563171555,13.01278206307151,24.465753424657535,22.0,-0.09035692227349579,-0.03620125741863475,-0.058295676501144617,0.19180553060264532
breakout,4-5,80,0,11,69,0,0.1375,0.027242584010254308,0.006275847945275581,-0.05379303634621414,-0.04926283568358192,-0.04265063854719973,-0.04548445947871582,-0.04265063854719973,0.08073574080042718,4.575,5.0,-0.1415971387436179,-0.09943656542037566,-0.11855521660701701,0.9516969535721791
breakout,6-10,137,0,36,101,0,0.26277372262773724,0.043194362889496754,0.022844431900304052,-0.04304144665278005,-0.03799857974554577,-0.020380941955539432,-0.023237023704987925,-0.020380941955539432,0.35770197640129037,7.686131386861314,7.0,-0.16202942358134653,-0.0909595387604681,-0.10880876670056468,0.5024642119475055
meanrev,1-3,7,1,0,7,0,0.0,,,-0.05855183847206694,-0.06005137675699679,-0.05855183847206694,-0.06005137675699679,-0.05855183847206694,0.0,2.7142857142857144,3.0,-0.10417027794415878,-0.09892623597162925,-0.10417027794415878,
meanrev,11-15,9,0,7,2,0,0.7777777777777778,0.019566589844136967,0.018658578840074824,-0.021944827341514317,-0.021944827341514317,0.010341830469547793,0.007077589132747919,0.010341830469547793,3.1206927896363967,12.666666666666666,13.0,-0.02330407598334827,-0.02221667706988111,-0.02330407598334827,0.9291650897168985
meanrev,16+,15,0,14,1,0,0.9333333333333333,0.10762294048668375,0.09169390328269156,-0.0429881023642531,-0.0429881023642531,0.09758220429662129,0.08109252348947749,0.09758220429662129,35.04972501569391,21.8,21.0,-0.0429881023642531,-0.009937651264520505,-0.0429881023642531,0.6376978263385318
meanrev,4-5,7,0,0,7,0,0.0,,,-0.055381701080513435,-0.059085511977824745,-0.055381701080513435,-0.059085511977824745,-0.055381701080513435,0.0,4.428571428571429,4.0,-0.07928656123104905,-0.07811490126022777,-0.07928656123104905,
meanrev,6-10,17,0,6,11,0,0.35294117647058826,0.0459137571330687,0.0462702623958372,-0.027013573512560517,-0.024303293320019015,-0.0012745156376325567,-0.014430185704441323,-0.0012745156376325567,0.9270845827000164,8.294117647058824,9.0,-0.057948482864196516,-0.05476801583708028,-0.057948482864196516,0.9347183952015136
pullback,1-3,173,0,22,151,0,0.12716763005780346,0.008923830969448791,0.005567095537205913,-0.03187647319723762,-0.024933490899937016,-0.026687995210722584,-0.02205736494675714,-0.026687995210722584,0.040787473427534665,2.208092485549133,2.0,-0.1245550227332578,-0.07954129251508495,-0.09608506978049552,0.6315790841947877
pullback,11-15,34,0,33,1,0,0.9705882352941176,0.07261738097078889,0.0623029544804401,-0.0036443660071846518,-0.0036443660071846518,0.07037438841261319,0.06103186441640762,0.07037438841261319,657.5556811011091,12.735294117647058,12.5,-0.0036443660071846518,0.006530611148639421,-0.0007444098994572879,0.3906945630999983
pullback,16+,26,0,26,0,0,1.0,0.1270136756944946,0.10161402000432818,,,0.1270136756944946,0.10161402000432818,0.1270136756944946,inf,20.076923076923077,19.0,0.021173079117949856,0.04379156034469178,0.03204664719479888,0.3490850319883067
