module,partition,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,BOUNDARY / CENSORED,12,0,6,6,0,0.5,0.07328093585663986,0.019337056424044707,-0.02802340169741313,-0.023627060126588773,0.022628767079613366,-0.006243952356289328,0.022628767079613366,2.6149907369526986,12.916666666666666,11.5,-0.04580156887576692,-0.043803831178199346,-0.04580156887576692,0.9983064418745318
breakout,ENTRY HOLDOUT / EXIT-USED HISTORY,124,2,44,80,0,0.3548387096774194,0.07909804150898929,0.04304738144011577,-0.04922847705909767,-0.04602000918134164,-0.0036932607930023004,-0.020237842604293788,-0.0036932607930023004,0.883714578001644,11.209677419354838,9.0,-0.21953813037602288,-0.08968605167514226,-0.12290598073343549,0.380054357949233
breakout,IN-SAMPLE,411,0,173,238,0,0.4209245742092457,0.06823243460519603,0.0387848477951076,-0.042075271428277036,-0.03794997738174871,0.004355952765861258,-0.011702672274488068,0.004355952765861258,1.1787808922178649,12.30170316301703,10.0,-0.16202942358134653,-0.08031121657386336,-0.1065324993013672,0.18045701434600192
meanrev,ENTRY HOLDOUT / EXIT-USED HISTORY,10,1,3,7,0,0.3,0.16178625562555707,0.128912119821051,-0.06171434863831027,-0.0611915456711396,0.005335832640849936,-0.04062627942377239,0.005335832640849936,1.1235145185284379,10.8,6.5,-0.10417027794415878,-0.09630421498536448,-0.10417027794415878,1.0
meanrev,IN-SAMPLE,45,0,24,21,0,0.5333333333333333,0.05974212798517801,0.0462702623958372,-0.03569340009930182,-0.03529946125913064,0.015205548212420757,0.004226827778222031,0.015205548212420757,1.9128667346735013,11.644444444444444,10.0,-0.07538102799497814,-0.05985820380116238,-0.06754031259806936,0.502476713901576
pullback,BOUNDARY / CENSORED,2,0,1,1,0,0.5,0.005770653987696273,0.005770653987696273,-0.0020724554346799318,-0.0020724554346799318,0.0018490992765081704,0.0018490992765081704,0.0018490992765081704,2.7844526309862423,5.0,5.0,-0.0020724554346799318,-0.0016802999635611216,-0.0020724554346799318,1.0
pullback,ENTRY HOLDOUT / EXIT-USED HISTORY,82,0,29,53,0,0.35365853658536583,0.05221633961845925,0.027472009792860907,-0.027201560075253144,-0.02239454032517796,0.0008852581091085487,-0.012271701598742357,0.0008852581091085487,1.0503516937208943,5.024390243902439,3.0,-0.1245550227332578,-0.05878848612728655,-0.08417384478301271,0.5016393479944483
pullback,IN-SAMPLE,279,0,125,154,0,0.44802867383512546,0.06127837933898768,0.03172888715842115,-0.027483506116089358,-0.0210106501500526,0.012284363711454116,-0.005836987939969229,0.012284363711454116,1.809774344603752,6.10752688172043,4.0,-0.1126027235719641,-0.06712365165070505,-0.0818990279842723,0.2123821083638621
squeeze,BOUNDARY / CENSORED,2,0,1,1,0,0.5,0.07279109136876061,0.07279109136876061,-0.04485025275260601,-0.04485025275260601,0.013970419308077298,0.013970419308077298,0.013970419308077298,1.62298062778545,15.0,15.0,-0.04485025275260601,-0.03896818554653768,-0.04485025275260601,1.0
squeeze,ENTRY HOLDOUT / EXIT-USED HISTORY,37,1,12,25,0,0.32432432432432434,0.04810887167312831,0.0260947639146476,-0.04470432582314588,-0.041923657297584516,-0.014602748256786683,-0.030821786052953493,-0.014602748256786683,0.5165553439829632,10.594594594594595,8.0,-0.08562873252134862,-0.08403058528315241,-0.08513325000467409,0.8169189872346198
squeeze,IN-SAMPLE,155,0,53,102,0,0.3419354838709677,0.08958433136047896,0.05643379863429354,-0.03487403384605128,-0.029087570962208764,0.007682697482633245,-0.016525115457086015,0.007682697482633245,1.3347673344184194,12.238709677419354,9.0,-0.14879647972730503,-0.07286597340718362,-0.09448979965919886,0.34800002164692184
