module,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,2021,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.04245396112348273,-0.04565287177665278,-0.024277280398524934,-0.021360495159926107,-0.024277280398524934,0.24756632472652998,8.28,7.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,2022,34,0,12,22,0,0.35294117647058826,0.05680469095695936,0.03219103192603101,-0.03255033878194272,-0.031756478360826235,-0.0010132694623302227,-0.00915943562442384,-0.0010132694623302227,0.9518910722613664,11.117647058823529,8.5,-0.09928727415436644,-0.07395134458876339,-0.0932861727078606,0.7757343309942017
breakout,2023,112,0,47,65,0,0.41964285714285715,0.07510718112119383,0.03297491520671181,-0.04149094192316621,-0.03862984407277825,0.007438627568663443,-0.012768430247553864,0.007438627568663443,1.3089186918596158,13.107142857142858,11.0,-0.13822502620668287,-0.07470160775492567,-0.09689099909293325,0.5455455611591891
breakout,2024,167,0,79,88,0,0.47305389221556887,0.06559648697689852,0.03592261275129083,-0.041633054849804674,-0.03556261565268093,0.009092297271809406,-0.0037972524447712486,0.009092297271809406,1.414447139819658,12.718562874251496,10.0,-0.1437077899233894,-0.08125779390168215,-0.10268151347446852,0.25152016744710326
breakout,2025,115,0,44,71,0,0.3826086956521739,0.0720715057395262,0.0492907889911286,-0.04528403972917983,-0.042169318516553145,-0.00038278754984883686,-0.021477284207526592,-0.00038278754984883686,0.9863084652565404,11.808695652173913,10.0,-0.16202942358134653,-0.08153605622139481,-0.11196985404928012,0.32600526098779636
breakout,2026,94,2,35,59,0,0.3723404255319149,0.08455870997021357,0.04353303278555676,-0.051217179453100566,-0.045906824214916764,-0.0006623270082495445,-0.013887027002933539,-0.0006623270082495445,0.9793968962783812,11.340425531914894,8.0,-0.21953813037602288,-0.09372006510507426,-0.13583164708244005,0.4469281713831135
meanrev,2022,7,0,2,5,0,0.2857142857142857,0.02117834707888544,0.02117834707888544,-0.02627654609990282,-0.019046627706606145,-0.012718005191677604,-0.009731563084107941,-0.012718005191677604,0.3223916415554138,7.714285714285714,7.0,-0.06718853304223316,-0.0576218115073024,-0.06718853304223316,1.0
meanrev,2023,8,0,5,3,0,0.625,0.07142260506430902,0.07284205647065445,-0.0418068330550696,-0.03560928546578934,0.028961565769542036,0.02832623505416898,0.028961565769542036,2.8473258175375444,14.25,12.0,-0.07538102799497814,-0.061460918109762064,-0.07538102799497814,1.0
meanrev,2024,19,0,11,8,0,0.5789473684210527,0.069993063294018,0.06977126698815361,-0.038290279660841836,-0.03450588848378383,0.024400076786708594,0.004226827778222031,0.024400076786708594,2.5134436959387525,13.421052631578947,15.0,-0.05701756489586263,-0.05427736566185737,-0.05701756489586263,0.8424571786066712
meanrev,2025,13,0,6,7,0,0.46153846153846156,0.044069609321793046,0.0462702623958372,-0.04428793883094172,-0.0429881023642531,-0.003507531991217979,-0.0037253653351255744,-0.003507531991217979,0.8529173369626418,8.461538461538462,9.0,-0.10417027794415878,-0.07769893723186158,-0.10417027794415878,0.9319866049619718
meanrev,2026,8,1,3,5,0,0.375,0.16178625562555707,0.128912119821051,-0.061684160757092085,-0.0611915456711396,0.02211724538640135,-0.04062627942377239,0.02211724538640135,1.5736901042975364,12.375,8.5,-0.086690138035727,-0.08409888615408972,-0.086690138035727,1.0
pullback,2021,17,0,5,12,0,0.29411764705882354,0.035682627103743106,0.01867307468150603,-0.03477511867383897,-0.02809896884130192,-0.014052252268667772,-0.02156208713716512,-0.014052252268667772,0.4275402028868182,4.235294117647059,4.0,-0.07314156735452881,-0.07216889043370918,-0.07314156735452881,1.0
pullback,2022,42,0,20,22,0,0.47619047619047616,0.05531397177635709,0.019054722503397126,-0.03101187890925806,-0.0265610886836668,0.010095669036272967,-0.003296137199256588,0.010095669036272967,1.6214892697967267,5.095238095238095,3.0,-0.07398908190423958,-0.06679335308529322,-0.07150250685368409,0.7786984833660939
pullback,2023,63,0,29,34,0,0.4603174603174603,0.045620923999027715,0.019817539768247627,-0.026192869941452382,-0.016996673889954184,0.006864273300990837,-0.0031816407767758514,0.006864273300990837,1.4855937770234406,6.079365079365079,4.0,-0.09911242688951127,-0.0696314599425128,-0.08239356666908176,0.5647248934961031
pullback,2024,90,0,40,50,0,0.4444444444444444,0.07027820755914546,0.03374846097120965,-0.026484488379101556,-0.020760846334079208,0.016521154260119342,-0.006811499508822372,0.016521154260119342,2.1228488631738345,6.7555555555555555,4.0,-0.1126027235719641,-0.05999450343966072,-0.08778214474959971,0.4592990633313434
pullback,2025,92,0,43,49,0,0.4673913043478261,0.06134937328551239,0.03597058959969446,-0.023696459573893595,-0.018438750013052396,0.016053223175611375,-0.0034415516949455327,0.016053223175611375,2.271951426339452,6.108695652173913,4.0,-0.08548078352458766,-0.043440652734572024,-0.061067480511271824,0.44656445948916784
pullback,2026,59,0,18,41,0,0.3050847457627119,0.06238839997977565,0.04191123792932605,-0.02928643427136265,-0.022402631923971295,-0.0013178407710153753,-0.012607520561398577,-0.0013178407710153753,0.9352462988707598,4.864406779661017,3.0,-0.1245550227332578,-0.0636684936634212,-0.1001729635369335,0.6679397202652976
squeeze,2021,1,0,0,1,0,0.0,,,-0.031503395797918055,-0.031503395797918055,-0.031503395797918055,-0.031503395797918055,-0.031503395797918055,0.0,16.0,16.0,-0.031503395797918055,-0.031503395797918055,-0.031503395797918055,
squeeze,2022,13,0,4,9,0,0.3076923076923077,0.16828221403781557,0.15598184533004045,-0.04636290900137089,-0.043202486040971766,0.01968174424145571,-0.028853616937904558,0.01968174424145571,1.613188144119829,12.307692307692308,9.0,-0.0754572496724687,-0.07314106022582241,-0.0754572496724687,1.0
