trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2021-11-02,signal bar close,2021-11-03,53.904998779296875,0.9630407338496221,51.49739694467282,2,1,2021-11-22,55.447434765004665,ATR_STOP,14,True,False,0.028613969402410788,2021-11-22,INTRABAR_STOP,TRAILING_STOP,True,True,0.07079124345617172,-0.009795007696623448,0.07079124345617172,0.07079124345617172,-0.009795007696623448,-0.009795007696623448,2021-11-19,12,0.4042021019185272,0.04217727405376093,20,True,6,0.054596064559922386,0.04466379536490655,0.6406524382586056,1.5849804719415796,-0.009795007696623448,0.03825248717842755,1.0,0.0,False,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,ADX 25-40,breakout,AVGO,IN-SAMPLE,2021,11-15
2,Long,2021-12-07,signal bar close,2021-12-08,59.09400177001953,1.3320809453487508,55.76379940664766,2,1,2022-01-06,63.97276356085026,ATR_STOP,21,True,False,0.08255934011404009,2022-01-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.14691845105246615,-0.014400814194541423,0.14691845105246615,0.14691845105246615,-0.014400814194541423,-0.014400814194541423,2021-12-28,13,0.5619399028686823,0.06435911093842606,20,True,0,,0.0563543213122081,1.4650046028707149,2.607048539162143,-0.014400814194541423,0.0910582553715551,3.0,-0.014400814194541423,False,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,ADX 25-40,breakout,AVGO,IN-SAMPLE,2021,16+
3,Long,2022-03-16,signal bar close,2022-03-17,60.47200012207031,2.22310983837259,54.914225526138836,2,1,2022-04-06,60.044877703579715,ATR_STOP,15,True,False,-0.00706314356443305,2022-04-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.06712194238187186,-0.026226989878864848,0.06712194238187186,0.06712194238187186,-0.026226989878864848,-0.026226989878864848,2022-03-29,8,-0.1052285335285626,0.07418508594630491,20,True,5,0.0048286780047805955,0.09190657799828701,-0.07685133880803065,0.7303279465276458,-0.026226989878864848,0.014039539319415484,2.0,-0.011724428369457862,False,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,7.0,ADX 18-25,breakout,AVGO,IN-SAMPLE,2022,11-15
4,Long,2023-01-06,signal bar close,2023-01-09,59.22999954223633,1.5534240333703913,55.34643945881035,2,1,2023-01-10,55.82672972852842,ATR_STOP,2,True,False,-0.057458548708599455,2023-01-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.015819690729358182,,0.015819690729358182,0.015819690729358182,-0.07143337878810618,-0.057458548708599455,2023-01-09,0,-3.6320905188094406,0.07327823943795764,20,True,18,0.03518486661987863,0.06556745084316011,-0.8763273235380545,0.24127353627334844,-0.057458548708599455,0.015819690729358182,,-0.05358770573877192,False,1.0,1.0,1.0,1.0,,,,,,,ADX 25-40,breakout,AVGO,IN-SAMPLE,2023,1-3
5,Long,2023-01-26,signal bar close,2023-01-27,59.332000732421875,1.4760517941872848,55.64187124695366,2,1,2023-02-21,58.48115866813985,ATR_STOP,17,True,False,-0.014340356869460558,2023-02-21,INTRABAR_STOP,TRAILING_STOP,True,True,0.03992785431061052,-0.022854428911562752,0.03992785431061052,0.03992785431061052,-0.022854428911562752,-0.022854428911562752,2023-02-07,7,-0.3591567119510782,0.05426821118007108,20,True,3,0.0,0.06219459043881099,-0.23057241422900043,0.6419827516975583,-0.022854428911562752,0.009994581293710336,4.0,-0.022854428911562752,False,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,,,ADX 25-40,breakout,AVGO,IN-SAMPLE,2023,16+
6,Long,2023-03-03,signal bar close,2023-03-06,63.5,1.4459307448885692,59.88517313777858,2,1,2023-03-13,60.70899963378906,ATR_STOP,6,True,False,-0.043952761672613194,2023-03-13,OPEN,TRAILING_STOP,False,True,0.014251949280265741,-0.043952761672613194,0.014251949280265741,0.014251949280265741,-0.043952761672613194,-0.043952761672613194,2023-03-06,0,-3.0839824650143335,0.058204710952878935,20,True,15,0.02125981849009606,0.05692640727907749,-0.7720979379067089,0.2503574344749462,-0.018094460795244793,0.014251949280265741,,-0.03492911030927037,False,1.0,1.0,1.0,1.0,,,,,,,ADX 25-40,breakout,AVGO,IN-SAMPLE,2023,6-10
7,Long,2023-07-10,signal bar close,2023-07-11,88.11100006103516,2.175450759736274,82.67237316169447,2,1,2023-08-04,87.42942417418809,ATR_STOP,19,True,False,-0.007735423345268333,2023-08-04,INTRABAR_STOP,TRAILING_STOP,True,True,0.04774660064586311,-0.018703710358186076,0.04774660064586311,0.04774660064586311,-0.018703710358186076,-0.018703710358186076,2023-07-25,10,-0.1620099282594383,0.055482023991131446,20,True,1,0.018453989281216332,0.06172472104020284,-0.12532131721146314,0.7735409709630696,-0.018703710358186076,0.020235806313769755,1.0,0.0,False,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,11.0,11.0,ADX 40+,breakout,AVGO,IN-SAMPLE,2023,16+
8,Long,2023-12-12,signal bar close,2023-12-13,106.80000305175781,3.028582152790809,99.2285476697808,2,1,2024-01-02,108.7185666473247,ATR_STOP,13,True,False,0.01796407809686218,2024-01-02,INTRABAR_STOP,TRAILING_STOP,True,True,0.07848310782091494,-0.005112408552636727,0.07848310782091494,0.07848310782091494,-0.005112408552636727,-0.005112408552636727,2023-12-18,3,0.22889101356502267,0.060519029724052764,20,True,7,0.031179720098382102,0.07089377495904856,0.25339429459411694,1.1070521758257383,-0.005112408552636727,0.07666662618610998,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,ADX 25-40,breakout,AVGO,IN-SAMPLE,2023,11-15
9,Long,2024-01-18,signal bar close,2024-01-19,115.73100280761719,2.629087912461143,109.15828302646433,2,1,2024-01-26,120.73857082151233,ATR_STOP,6,True,False,0.04326902811184796,2024-01-26,INTRABAR_STOP,TRAILING_STOP,True,True,0.10994460183317467,-0.0011319726807679231,0.10994460183317467,0.10994460183317467,-0.0011319726807679231,-0.0011319726807679231,2024-01-24,3,0.3935530020610068,0.06667557372132671,20,True,14,0.11981229729343101,0.05679307723686511,0.7618715205620429,1.9358803428564395,-0.0011319726807679231,0.06395866490114699,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,breakout,AVGO,IN-SAMPLE,2024,6-10
10,Long,2024-02-22,signal bar close,2024-02-23,130.83700561523438,3.6584251098411498,121.6909428406315,2,1,2024-03-05,134.20963346830138,ATR_STOP,8,True,False,0.025777323756439596,2024-03-05,INTRABAR_STOP,TRAILING_STOP,True,True,0.09920737383512623,-0.01941353314360872,0.09920737383512623,0.09920737383512623,-0.01941353314360872,-0.01941353314360872,2024-03-04,6,0.25983273984531835,0.07343005007868664,20,True,12,0.08097093089840213,0.06990425018973329,0.368751881129904,1.4191894422135816,-0.014942269749003256,0.008598484768968184,2.0,-0.014942269749003256,False,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,ADX 25-40,breakout,AVGO,IN-SAMPLE,2024,6-10
