trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2022-11-22,signal bar close,2022-11-23,429.5199890136719,9.513571417557484,405.7360604697782,2,1,2022-12-15,426.1532283557021,ATR_STOP,16,True,False,-0.007838426019941558,2022-12-15,INTRABAR_STOP,TRAILING_STOP,True,True,0.043956056448426484,,0.043956056448426484,0.043956056448426484,-0.00803217959046676,-0.007838426019941558,2022-11-23,0,-0.1783241412736459,0.05179448246836804,20,True,4,0.03489947181823938,0.05537327517285031,-0.14155612062811054,0.7938135555683777,-0.001489998480231347,0.043956056448426484,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,breakout,DE,IN-SAMPLE,2022,16+
2,Long,2023-04-03,signal bar close,2023-04-04,413.4800109863281,9.578752693984883,389.5331292513659,2,1,2023-04-05,393.3699951171875,TREND_EXIT,2,True,False,-0.048636004969550006,2023-04-05,OPEN,,False,True,0.0033858804761681682,-0.048636004969550006,0.0033858804761681682,0.0033858804761681682,-0.048636004969550006,-0.048636004969550006,2023-04-04,0,-14.364359673024198,0.052021885445718175,20,True,19,0.0,0.057915452013843655,-0.8397759713232392,0.05846247173135822,-0.048636004969550006,0.0033858804761681682,,-0.04292831461830182,False,,,,,,,,,,,ADX 18-25,breakout,DE,IN-SAMPLE,2023,1-3
3,Long,2023-07-17,signal bar close,2023-07-18,421.32000732421875,8.335720129423835,400.48070700065915,2,1,2023-07-27,429.4599978936961,ATR_STOP,8,True,False,0.019320208933760297,2023-07-27,INTRABAR_STOP,TRAILING_STOP,True,True,0.06807175585590253,-0.0013766663812796454,0.06807175585590253,0.06807175585590253,-0.0013766663812796454,-0.0013766663812796454,2023-07-25,5,0.2838212220448407,0.04875154692214223,20,True,12,0.04782586524778609,0.04946192908309506,0.39060767123139756,1.3762454703605136,-0.0013766663812796454,0.04436058605454196,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,ADX 18-25,breakout,DE,IN-SAMPLE,2023,6-10
4,Long,2024-09-27,signal bar close,2024-09-30,416.0,8.091138393912308,395.77215401521926,2,1,2024-10-08,401.73474729766707,ATR_STOP,7,True,False,-0.03429147284214651,2024-10-08,INTRABAR_STOP,TRAILING_STOP,True,True,0.010745195242074734,,0.010745195242074734,0.010745195242074734,-0.04139423370361328,-0.03429147284214651,2024-10-01,1,-3.1913308292316653,0.04503666808422124,20,True,13,0.0,0.048624629771107555,-0.7052284614519015,0.2209825615671723,-0.01173078096829927,0.010745195242074734,1.0,0.0,False,2.0,2.0,2.0,2.0,,,,,,,ADX 25-40,breakout,DE,IN-SAMPLE,2024,6-10
5,Long,2024-11-22,signal bar close,2024-11-25,448.0,10.837013784786906,420.90746553803274,2,1,2024-12-06,444.280892126992,ATR_STOP,9,True,False,-0.008301580073678538,2024-12-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.04774556841169075,,0.04774556841169075,0.04774556841169075,-0.011227675846644858,-0.008301580073678538,2024-11-25,0,-0.1738712167398944,0.05604714848536929,20,True,11,0.01171875,0.06047440728117692,-0.13727426934637296,0.789516930520655,-0.0029017584664481344,0.04774556841169075,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 18-25,breakout,DE,IN-SAMPLE,2024,6-10
6,Long,2025-02-14,signal bar close,2025-02-18,481.0,11.117481645952457,453.20629588511883,2,1,2025-02-24,484.0186828616775,ATR_STOP,5,True,False,0.006275847945275581,2025-02-24,INTRABAR_STOP,TRAILING_STOP,True,True,0.07078999541157738,-0.0020790020790020236,0.07078999541157738,0.07078999541157738,-0.0020790020790020236,-0.0020790020790020236,2025-02-19,1,0.08865444769119445,0.0645141474663018,20,True,15,0.04985449269506881,0.05778316863800658,0.10861031150077281,1.2250971533779065,-0.0020790020790020236,0.07078999541157738,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,breakout,DE,IN-SAMPLE,2025,4-5
7,Long,2025-03-07,signal bar close,2025-03-10,497.6199951171875,13.964723174350295,462.70818718131176,2,1,2025-03-12,468.1993994756293,ATR_STOP,3,True,False,-0.059122615510314724,2025-03-12,INTRABAR_STOP,TRAILING_STOP,True,True,0.01479043435022609,,0.01479043435022609,0.01479043435022609,-0.0691491579915432,-0.059122615510314724,2025-03-10,0,-3.997354919425403,0.07391304986054081,20,True,17,0.0,0.07015756657377514,-0.8427118897880178,0.21081737968595315,-0.059122615510314724,0.01479043435022609,,-0.05005828525086331,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,breakout,DE,IN-SAMPLE,2025,1-3
8,Long,2025-05-15,signal bar close,2025-05-16,515.7999877929688,14.624191073500928,479.23951010921644,2,1,2025-05-29,503.11860767814994,ATR_STOP,9,True,False,-0.02458584803206476,2025-05-29,INTRABAR_STOP,TRAILING_STOP,True,True,0.034858553566160744,,0.034858553566160744,0.034858553566160744,-0.02659946015006509,-0.02458584803206476,2025-05-16,0,-0.7053031614005836,0.059444401598225505,20,True,11,0.01977513076468962,0.07088111389879853,-0.346860350800462,0.49178902035781374,0.0,0.034858553566160744,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,ADX 18-25,breakout,DE,IN-SAMPLE,2025,6-10
9,Long,2025-06-06,signal bar close,2025-06-09,520.0,11.330598568535773,491.6735035786606,2,1,2025-06-25,504.9972736027567,ATR_STOP,12,True,False,-0.028851396917775607,2025-06-25,INTRABAR_STOP,TRAILING_STOP,True,True,0.021884624774639372,,0.021884624774639372,0.021884624774639372,-0.03282693716195917,-0.028851396917775607,2025-06-18,7,-1.3183409455212391,0.05073602169241498,20,True,8,0.0068846482496995876,0.05447403157949887,-0.5296357930782148,0.40174417314241123,-0.02123078566331127,0.010769183819110628,1.0,0.0,False,1.0,1.0,1.0,1.0,8.0,8.0,,,,,ADX 25-40,breakout,DE,IN-SAMPLE,2025,11-15
10,Long,2026-02-03,signal bar close,2026-02-04,548.0,11.982635157889437,518.0434121052764,2,1,2026-02-25,625.4714490519673,ATR_STOP,15,True,False,0.14137125739410084,2026-02-25,INTRABAR_STOP,TRAILING_STOP,True,True,0.2302737270828581,0.0,0.2302737270828581,0.2302737270828581,0.0,0.0,2026-02-19,10,0.6139269954284973,0.08890246968875726,20,True,5,0.16140513176465565,0.05466530637723287,2.58612393788722,4.212429095225249,0.0,0.06580291525290827,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,breakout,DE,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
