trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2021-11-02,signal bar close,2021-11-03,423.1199951171875,8.62977630360983,401.5455543581629,2,1,2021-11-09,401.92373314494034,ATR_STOP,5,True,False,-0.050095155551267756,2021-11-09,INTRABAR_STOP,TRAILING_STOP,True,True,0.00207979980376205,,0.00207979980376205,0.00207979980376205,-0.05449990032309171,-0.050095155551267756,2021-11-03,0,-24.086527684372808,0.052174955355029806,20,True,15,0.0,0.050988941690286504,-0.9824709807776023,0.040789232622144345,-0.047480612047952286,0.00207979980376205,,-0.047480612047952286,False,,,,,,,,,,,ADX 18-25,breakout,GS,IN-SAMPLE,2021,4-5
2,Long,2023-12-13,signal bar close,2023-12-14,366.5,6.107688459090646,351.2307788522734,2,1,2024-01-19,373.55541792370184,ATR_STOP,24,True,False,0.019250799246116834,2024-01-19,INTRABAR_STOP,TRAILING_STOP,True,True,0.0626739460319321,-0.004092769440654842,0.0626739460319321,0.0626739460319321,-0.004092769440654842,-0.004092769440654842,2024-01-05,14,0.3071579255007916,0.04342314678581527,20,True,0,,0.04166226779734414,0.4620679637449794,1.5043335215642633,-0.004092769440654842,0.05375173862764315,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,breakout,GS,IN-SAMPLE,2023,16+
3,Long,2024-04-22,signal bar close,2024-04-23,417.7099914550781,9.12712012475268,394.89219114319644,2,1,2024-05-29,453.18958709086394,ATR_STOP,26,True,False,0.08493834565027725,2024-05-29,INTRABAR_STOP,TRAILING_STOP,True,True,0.12872572031122353,-0.006846820545517329,0.12872572031122353,0.12872572031122353,-0.006846820545517329,-0.006846820545517329,2024-05-20,19,0.6598397386700933,0.04378737466094629,20,True,0,,0.05462593851872366,1.554908674404993,2.356494438390314,-0.006846820545517329,0.01829023677844943,1.0,0.0,False,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,9.0,9.0,ADX 18-25,breakout,GS,IN-SAMPLE,2024,16+
4,Long,2024-11-11,signal bar close,2024-11-12,598.0499877929688,14.931157816125905,560.722093252654,2,1,2024-12-10,584.3190075887009,ATR_STOP,20,True,False,-0.022959586129146836,2024-12-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.024546430859326618,-0.03768912045383499,0.024546430859326618,0.024546430859326618,-0.03768912045383499,-0.03768912045383499,2024-11-29,12,-0.935353341621279,0.047506016988473454,20,True,0,,0.06241601087238355,-0.36784770138691264,0.39327138207397644,-0.019747509070566327,0.009196555659664929,9.0,-0.03768912045383499,False,1.0,1.0,10.0,10.0,10.0,10.0,,,,,ADX 25-40,breakout,GS,IN-SAMPLE,2024,16+
5,Long,2025-01-15,signal bar close,2025-01-16,609.989990234375,14.46344867994265,573.8313685345183,2,1,2025-02-20,640.9851626327975,ATR_STOP,24,True,False,0.050812591836979726,2025-02-20,INTRABAR_STOP,TRAILING_STOP,True,True,0.10196890638013967,-0.006541074932790214,0.10196890638013967,0.10196890638013967,-0.006541074932790214,-0.006541074932790214,2025-02-18,21,0.49831457098844023,0.05115631454315994,20,True,0,,0.059277401725827544,0.8572000519186109,1.7201986492554238,-0.006541074932790214,0.041705606401232,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 18-25,breakout,GS,IN-SAMPLE,2025,16+
6,Long,2025-05-13,signal bar close,2025-05-14,603.7999877929688,19.13509242134404,555.9622567396086,2,1,2025-07-16,691.9637920680674,ATR_STOP,43,True,False,0.14601491563018754,2025-07-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.20238491996944408,-0.035276562145728496,0.20238491996944408,0.20238491996944408,-0.035276562145728496,-0.035276562145728496,2025-07-03,34,0.7214713213426809,0.05637000433925654,20,True,0,,0.07922777744368348,1.842976293686612,2.5544692341433266,-0.002153010631418706,0.02813844083779693,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,20.0,20.0,20.0,20.0,ADX 18-25,breakout,GS,IN-SAMPLE,2025,16+
7,Long,2025-08-12,signal bar close,2025-08-13,745.780029296875,14.583467835900851,709.3213597071228,2,1,2025-08-20,713.4166952849642,ATR_STOP,6,True,False,-0.04339528110242241,2025-08-20,INTRABAR_STOP,TRAILING_STOP,True,True,0.004384615258706592,,0.004384615258706592,0.004384615258706592,-0.05394357575092934,-0.04339528110242241,2025-08-15,2,-9.897169658444213,0.047779896361129004,20,True,14,0.03846970994020715,0.04888662629398319,-0.8876718315856328,0.08968946296967596,-0.022258623144876033,0.004384615258706592,2.0,-0.01764599970864711,False,,,,,,,,,,,ADX 18-25,breakout,GS,IN-SAMPLE,2025,6-10
8,Long,2025-09-10,signal bar close,2025-09-11,772.0,15.627633938163637,732.9309151545909,2,1,2025-09-25,786.0,ATR_STOP,11,True,False,0.0181347150259068,2025-09-25,OPEN,TRAILING_STOP,False,True,0.06897668393782386,-0.0008420005363504179,0.06897668393782386,0.06897668393782386,-0.0008420005363504179,-0.0008420005363504179,2025-09-23,8,0.2629107981220666,0.05084196891191706,20,True,10,0.04873056362329997,0.0506076228567475,0.35833959396274834,1.362970241322592,-0.0008420005363504179,0.02742225765564288,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,ADX 18-25,breakout,GS,BOUNDARY / CENSORED,2025,11-15
9,Long,2025-11-12,signal bar close,2025-11-13,833.0599975585938,20.440841047634347,781.9578949395079,2,1,2025-11-14,787.3530751210051,ATR_STOP,2,True,False,-0.0548663032333081,2025-11-14,INTRABAR_STOP,TRAILING_STOP,True,True,0.00986727458090808,,0.00986727458090808,0.00986727458090808,-0.06609367598967097,-0.0548663032333081,2025-11-13,0,-5.560431381879998,0.06473357781421618,20,True,18,0.1032818503823214,0.06134264370975457,-0.8944235187011248,0.1608550591264949,-0.0548663032333081,0.00986727458090808,,-0.033659013887978095,False,1.0,1.0,,,,,,,,,ADX 18-25,breakout,GS,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
10,Long,2026-01-02,signal bar close,2026-01-05,914.4000244140625,19.18311566148478,866.4422352603506,2,1,2026-01-23,927.1179358279954,ATR_STOP,14,True,False,0.013908476678007986,2026-01-23,INTRABAR_STOP,TRAILING_STOP,True,True,0.07688099947068161,-0.0019685572835351772,0.07688099947068161,0.07688099947068161,-0.0019685572835351772,-0.0019685572835351772,2026-01-16,9,0.1809091553669506,0.06297252279267362,20,True,6,0.04481625040967119,0.05244727457705697,0.2651896936526849,1.465872156192329,-0.0019685572835351772,0.051716947467982166,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,breakout,GS,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
