trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2023-12-12,signal bar close,2023-12-13,160.52000427246094,1.8338359001087932,155.93541452218895,2,1,2024-01-16,164.8699951171875,ATR_STOP,22,True,False,0.027099369106314164,2024-01-16,OPEN,TRAILING_STOP,False,True,0.09836776019100668,-0.004672314851966841,0.09836776019100668,0.09836776019100668,-0.004672314851966841,-0.004672314851966841,2024-01-12,20,0.27549035429589597,0.07126839108469252,20,True,0,,0.02856086237382768,0.9488288116659676,3.4441453098820975,-0.004672314851966841,0.029653590706093524,1.0,0.0,False,1,1,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,ADX 40+,breakout,JPM,IN-SAMPLE,2023,16+
2,Long,2024-02-22,signal bar close,2024-02-23,183.80999755859375,2.5232932187920825,177.50176451161354,2,1,2024-04-10,194.36800429038567,ATR_STOP,33,True,False,0.057439784951992756,2024-04-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.09319408688502873,-0.008541385595357553,0.09319408688502873,0.09319408688502873,-0.008541385595357553,-0.008541385595357553,2024-04-01,25,0.6163458098243381,0.03575430193303597,20,True,0,,0.03431931413289589,1.6736868554414184,2.7154996898874484,-0.008541385595357553,0.007562153354609302,1.0,0.0,False,1,1,5.0,5.0,7.0,7.0,9.0,9.0,14.0,14.0,ADX 40+,breakout,JPM,IN-SAMPLE,2024,16+
3,Long,2024-05-14,signal bar close,2024-05-15,202.00999450683594,3.1378543236224252,194.16535869777988,2,1,2024-05-20,197.44595401650525,ATR_STOP,4,True,False,-0.022593141995141397,2024-05-20,INTRABAR_STOP,TRAILING_STOP,True,True,,,0.015048802671092654,0.019157519336725715,-0.03272115632936112,-0.022593141995141397,,,,,20,True,16,0.00638586495718263,0.03883290937266274,-0.5818039997550718,,-0.011088511931518275,0.015048802671092654,1.0,0.0,False,2,2,2.0,2.0,,,,,,,ADX 18-25,breakout,JPM,IN-SAMPLE,2024,4-5
4,Long,2024-07-16,signal bar close,2024-07-17,213.8000030517578,3.9004788076178074,204.0488060327133,2,1,2024-08-01,208.1499644537164,ATR_STOP,12,True,False,-0.026426747041129017,2024-08-01,INTRABAR_STOP,TRAILING_STOP,True,True,0.017586503522760477,,0.017586503522760477,0.017586503522760477,-0.034705323026347434,-0.026894293348574072,2024-07-17,0,-1.5026720352301688,0.044013250563889494,20,True,8,0.0,0.04560896576172595,-0.5794200021809258,0.3855931225153693,-0.022825092671449276,0.017586503522760477,1.0,0.0,False,1,1,1.0,1.0,,,,,,,ADX 18-25,breakout,JPM,IN-SAMPLE,2024,11-15
5,Long,2024-11-25,signal bar close,2024-11-26,250.49000549316406,5.287940633718668,237.2701539088674,2,1,2024-12-13,241.15198226798412,ATR_STOP,13,True,False,-0.037279025192223814,2024-12-13,INTRABAR_STOP,TRAILING_STOP,True,True,0.005109979445195201,,0.005109979445195201,0.005109979445195201,-0.04531121344011213,-0.037726104833708196,2024-11-29,2,-7.295337602047782,0.042389004637419014,20,True,7,0.0,0.05277596428755492,-0.7063636959640464,0.09682399012840365,-0.008583213334362405,0.005109979445195201,,-0.037726104833708196,False,3,3,,,,,,,,,ADX 40+,breakout,JPM,IN-SAMPLE,2024,11-15
6,Long,2025-01-21,signal bar close,2025-01-22,262.8999938964844,5.139137206898197,250.0521508792389,2,1,2025-02-20,269.4774849791032,ATR_STOP,21,True,False,0.025018985299819718,2025-02-20,INTRABAR_STOP,TRAILING_STOP,True,True,0.06599469952953707,-0.01007985529861899,0.06599469952953707,0.06599469952953707,-0.01007985529861899,-0.01007985529861899,2025-02-19,19,0.37910598090717934,0.04097571422971735,20,True,0,,0.04886969690194918,0.5119529460151374,1.3504217073813047,-0.01007985529861899,0.01597570294613626,2.0,-0.01007985529861899,False,2,2,2.0,2.0,6.0,6.0,8.0,8.0,12.0,12.0,ADX 18-25,breakout,JPM,IN-SAMPLE,2025,16+
7,Long,2025-06-16,signal bar close,2025-06-17,268.1700134277344,4.742130558884444,256.31468703052326,2,1,2025-07-08,284.7091493596683,ATR_STOP,14,True,False,0.06167406907480655,2025-07-08,INTRABAR_STOP,TRAILING_STOP,True,True,0.10526896765196048,-0.0013798173406339709,0.10526896765196048,0.10526896765196048,-0.0013798173406339709,-0.0013798173406339709,2025-07-03,11,0.5858713203943723,0.04359489857715393,20,True,6,0.08867508516460232,0.04420824776669466,1.395080605779408,2.381206516202784,-0.0013798173406339709,0.03561169151950039,1.0,0.0,False,1,1,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,ADX 18-25,breakout,JPM,IN-SAMPLE,2025,11-15
8,Long,2025-08-22,signal bar close,2025-08-25,296.239990234375,5.184363512499714,283.27908145312574,2,1,2025-09-08,292.17202586274726,ATR_STOP,10,True,False,-0.013731989284800128,2025-09-08,INTRABAR_STOP,TRAILING_STOP,True,True,0.03007697797674136,,0.03007697797674136,0.03007697797674136,-0.016203037912508544,-0.013731989284800128,2025-09-05,8,-0.45656147021882076,0.04380896726154149,20,True,10,0.0660275391688967,0.043751381341172166,-0.31386413100236593,0.6874520770487643,-0.009249224698553382,0.0163044060527493,2.0,-0.0070887647014707955,False,2,2,3.0,3.0,5.0,5.0,9.0,9.0,,,ADX 18-25,breakout,JPM,IN-SAMPLE,2025,6-10
9,Long,2025-09-18,signal bar close,2025-09-19,313.6000061035156,4.912649057585213,301.3183834595526,2,1,2025-10-06,305.7357819232539,ATR_STOP,12,True,False,-0.02507724498470143,2025-10-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.014062511403949651,,0.014062511403949651,0.014062511403949651,-0.027008931938309,-0.02507724498470143,2025-09-29,6,-1.783269308329815,0.03913975638865108,20,True,8,0.0,0.03916333675041134,-0.640324524555177,0.3590733724649228,-0.01428574904060853,0.008641554216627156,1.0,0.0,False,1,1,6.0,6.0,,,,,,,ADX 18-25,breakout,JPM,BOUNDARY / CENSORED,2025,11-15
10,Long,2026-04-20,signal bar close,2026-04-21,317.489990234375,6.849581321928322,300.3660369295542,2,1,2026-05-08,305.4480427844254,ATR_STOP,14,True,False,-0.03792858931098919,2026-05-08,INTRABAR_STOP,TRAILING_STOP,True,True,0.00866169039839626,,0.00866169039839626,0.00866169039839626,-0.05351346737524787,-0.03792858931098919,2026-04-21,0,-4.3788899817998335,0.04659027970938545,20,True,6,0.0,0.053935411608346154,-0.7032223947118258,0.16059375723862873,-0.027087391257875182,0.00866169039839626,,-0.03574908165627144,False,1,1,,,,,,,,,ADX 18-25,breakout,JPM,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
