signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol
2021-11-02,Long,2,1,FLAT,,FILLED,1,2021-11-03,True,False,breakout,LLY
2021-11-03,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2021-11-04,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2021-12-16,Long,2,1,FLAT,,FILLED,2,2021-12-17,True,False,breakout,LLY
2022-04-06,Long,2,1,FLAT,,FILLED,3,2022-04-07,True,False,breakout,LLY
2022-04-07,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2022-05-16,Long,2,1,FLAT,,FILLED,4,2022-05-17,True,False,breakout,LLY
2022-06-24,Long,2,1,FLAT,,FILLED,5,2022-06-27,True,False,breakout,LLY
2022-08-19,Long,2,1,FLAT,,FILLED,6,2022-08-22,True,False,breakout,LLY
2022-10-21,Long,2,1,FLAT,,FILLED,7,2022-10-24,True,False,breakout,LLY
2022-10-24,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-04-21,Long,2,1,FLAT,,FILLED,8,2023-04-24,True,False,breakout,LLY
2023-05-01,Long,2,1,FLAT,,FILLED,9,2023-05-02,True,False,breakout,LLY
2023-05-03,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-06-22,Long,2,1,FLAT,,FILLED,10,2023-06-23,True,False,breakout,LLY
2023-06-30,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-09-07,Long,2,1,FLAT,,FILLED,11,2023-09-08,True,False,breakout,LLY
2023-09-08,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-09-11,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-09-12,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-10-06,Long,2,1,FLAT,,FILLED,12,2023-10-09,True,False,breakout,LLY
2023-10-09,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-10-11,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-10-12,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2023-11-08,Long,2,1,FLAT,,FILLED,13,2023-11-09,True,False,breakout,LLY
2024-05-21,Long,2,1,FLAT,,FILLED,14,2024-05-22,True,False,breakout,LLY
2024-08-09,Long,2,1,FLAT,,FILLED,15,2024-08-12,True,False,breakout,LLY
2025-02-25,Long,2,1,FLAT,,FILLED,16,2025-02-26,True,False,breakout,LLY
2025-03-03,Long,2,1,Long,16,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2025-10-31,Long,2,1,FLAT,,FILLED,17,2025-11-03,True,False,breakout,LLY
2025-11-24,Long,2,1,Long,17,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2026-01-07,Long,2,1,FLAT,,FILLED,18,2026-01-08,True,False,breakout,LLY
2026-04-01,Long,2,1,FLAT,,FILLED,19,2026-04-02,True,False,breakout,LLY
2026-04-30,Long,2,1,FLAT,,FILLED,20,2026-05-01,True,False,breakout,LLY
2026-05-22,Long,2,1,Long,20,IGNORED_POSITION_OPEN,,,,,breakout,LLY
2026-08-19,Long,2,1,FLAT,,FILLED,21,2026-08-20,True,False,breakout,LLY
