trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,initial_risk_pct,realized_R,mfe_R,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2023-07-17,signal bar close,2023-07-18,17.8799991607666,0.8702900635255628,15.704274001952694,2,1,2023-07-21,16.742589979182902,ATR_STOP,4,True,False,-0.06361349188871734,2023-07-21,INTRABAR_STOP,TRAILING_STOP,True,True,0.06236027577190284,,0.06236027577190284,0.06236027577190284,-0.10514537186846251,-0.06361349188871734,2023-07-19,1,-1.020096385099361,0.12597376766062018,20,True,16,0.1319910917853968,0.12168485799417811,-0.5227724544968517,0.5124735879207453,-0.0503355514974021,0.06236027577190284,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,ADX 40+,breakout,PLTR,IN-SAMPLE,2023,4-5
2,Long,2023-11-03,signal bar close,2023-11-06,18.989999771118164,1.021408593378892,16.436478287670933,2,1,2023-11-24,19.295557583299317,ATR_STOP,14,True,False,0.01609045897124628,2023-11-24,INTRABAR_STOP,TRAILING_STOP,True,True,0.150605615841098,-0.055818824577056225,0.150605615841098,0.150605615841098,-0.055818824577056225,-0.055818824577056225,2023-11-21,11,0.10683837306719765,0.13451515686985172,20,True,6,0.06951025332985017,0.13446664108605594,0.11966134381945862,1.120022145453261,-0.055818824577056225,0.009478689170367538,5.0,-0.055818824577056225,False,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,ADX 18-25,breakout,PLTR,IN-SAMPLE,2023,11-15
3,Long,2024-03-06,signal bar close,2024-03-07,27.010000228881836,1.3064837651198957,23.743790816082097,2,1,2024-03-14,24.256041306563162,ATR_STOP,6,True,False,-0.10196071451246647,2024-03-14,INTRABAR_STOP,TRAILING_STOP,True,True,0.018141420472636893,,0.018141420472636893,0.018141420472636893,-0.10625697204417284,-0.10196071451246647,2024-03-07,0,-5.62032695654985,0.12010213498510336,20,True,14,0.0,0.12092593058578269,-0.8431666725122894,0.15002092921474516,-0.06368009251311646,0.018141420472636893,,-0.09848203720367865,False,1.0,1.0,1.0,1.0,,,,,,,ADX 25-40,breakout,PLTR,IN-SAMPLE,2024,6-10
4,Long,2024-06-17,signal bar close,2024-06-18,25.149999618530273,0.9086063583588111,22.878483722633245,2,1,2024-06-21,24.16056784903524,ATR_STOP,3,True,False,-0.03934122403588547,2024-06-21,INTRABAR_STOP,TRAILING_STOP,True,True,0.056461236494322,,0.056461236494322,0.056461236494322,-0.06441347739389891,-0.03934122403588547,2024-06-20,1,-0.6967828988272654,0.09580246053020747,20,True,17,0.16500992769290512,0.09031872486484643,-0.4355821463905292,0.6251332332117286,-0.03934122403588547,0.056461236494322,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,ADX 18-25,breakout,PLTR,IN-SAMPLE,2024,1-3
5,Long,2024-07-05,signal bar close,2024-07-08,27.93000030517578,0.9765340400174833,25.488665205132072,2,1,2024-07-24,26.972801303253526,ATR_STOP,13,True,False,-0.034271356658197916,2024-07-24,INTRABAR_STOP,TRAILING_STOP,True,True,0.06802719648299393,,0.06802719648299393,0.06802719648299393,-0.04833513665302591,-0.039026141807306014,2024-07-18,8,-0.5037890495276457,0.10229855314119185,20,True,7,0.0,0.0874090609870598,-0.39208013758746946,0.7782625246719537,-0.039026141807306014,0.019334013687018814,3.0,-0.039026141807306014,False,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,ADX 25-40,breakout,PLTR,IN-SAMPLE,2024,11-15
6,Long,2024-08-08,signal bar close,2024-08-09,29.280000686645508,1.7578502157010583,24.885375147392864,2,1,2024-08-28,29.791231355606996,ATR_STOP,14,True,False,0.01746006342119588,2024-08-28,INTRABAR_STOP,TRAILING_STOP,True,True,0.1313182794803751,-0.006147551262110418,0.1313182794803751,0.1313182794803751,-0.006147551262110418,-0.006147551262110418,2024-08-22,9,0.1329598856327173,0.11385821605917923,20,True,6,0.08674859797176149,0.15008966653668881,0.1163308828921133,0.8749321822783508,-0.006147551262110418,0.06557377155969979,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,ADX 25-40,breakout,PLTR,IN-SAMPLE,2024,11-15
7,Long,2024-09-16,signal bar close,2024-09-17,37.0,1.4198527855975782,33.450368036006054,2,1,2024-10-16,40.701591821901765,ATR_STOP,22,True,False,0.10004302221356132,2024-10-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.19972971323374145,-0.03486488960884715,0.19972971323374145,0.19972971323374145,-0.03486488960884715,-0.03486488960884715,2024-10-14,19,0.5008920335077139,0.09968669102018013,20,True,0,,0.0959359990268634,1.042810031983384,2.0819058044917464,-0.030540569408519902,0.009459418219488924,4.0,-0.030540569408519902,False,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,13.0,13.0,ADX 18-25,breakout,PLTR,IN-SAMPLE,2024,16+
8,Long,2024-10-25,signal bar close,2024-10-28,45.04999923706055,1.4534566321817033,41.41635765660629,2,1,2024-10-31,41.753370577515916,ATR_STOP,4,True,False,-0.07317710799943022,2024-10-31,INTRABAR_STOP,TRAILING_STOP,True,True,0.0019977836650850733,,0.0019977836650850733,0.0019977836650850733,-0.0921198175685568,-0.07317710799943022,2024-10-28,0,-36.629145226449765,0.0751748916645153,20,True,16,0.4650388705379791,0.080657972075281,-0.9072520188225336,0.024768582865193657,-0.03196445396439351,0.0019977836650850733,,-0.03196445396439351,False,,,,,,,,,,,ADX 25-40,breakout,PLTR,IN-SAMPLE,2024,4-5
9,Long,2024-11-08,signal bar close,2024-11-11,60.132999420166016,2.320452200941027,54.33186891781345,2,1,2024-11-18,59.065789660670994,ATR_STOP,6,True,False,-0.017747489228636892,2024-11-18,INTRABAR_STOP,TRAILING_STOP,True,True,0.09756707026768474,-0.02665758662175699,0.09756707026768474,0.09756707026768474,-0.02665758662175699,-0.02665758662175699,2024-11-15,4,-0.18190040123112164,0.11531455949632163,20,True,14,0.3455175102237733,0.09647166378344857,-0.18396582512016124,1.011354696718977,-0.025992379232918084,0.05416327142979949,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,ADX 25-40,breakout,PLTR,IN-SAMPLE,2024,6-10
10,Long,2024-12-03,signal bar close,2024-12-04,71.12999725341797,3.0567355015221636,63.48815849961256,2,1,2024-12-10,71.60751567123378,ATR_STOP,5,True,False,0.006713319784261262,2024-12-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.13749482337033903,-0.054126228353482686,0.13749482337033903,0.13749482337033903,-0.054126228353482686,-0.054126228353482686,2024-12-09,3,0.04882598209664298,0.13078150358607776,20,True,15,0.1921411548520453,0.10743482424973945,0.06248737158684879,1.2797975361389626,-0.054126228353482686,0.07999441390577067,2.0,-0.054126228353482686,False,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 40+,breakout,PLTR,IN-SAMPLE,2024,4-5
